molecule_id,canonical_smiles,inchikey,activity_id,assay_id,document_id,target_id,target_name,species,construct,assay_type,assay_format,biochemical_or_cellular,activity_type,relation,value,unit,standardized_nM,pActivity,source,DOI,PMID,confidence,notes,assay_description,document_year,document_journal,standard_flag,potential_duplicate,fragment_count,is_valid_smiles,conversion_method,assay_family,assay_cluster,full_length_or_fragment,substrate_cofactor_info,confidence_level,construct_reported,endpoint_type,document_family,medicinal_chemistry_series
CHEMBL399043,C=C/C(C)=C/[C@@]1(C)SC(=O)C(C)=C1O,SYQNUQSGEWNWKV-XUIVZRPNSA-N,1410356,CHEMBL828726,CHEMBL1142684,CHEMBL4158,Fatty acid synthase,Homo sapiens,not_reported_in_ChEMBL_activity_record,B,cell-based format,biochemical_recombinant_or_purified,IC50,=,21.1,ug.mL-1,100333.81201913476,3.998552687131405,ChEMBL REST activity.json snapshot 2026-09-12,10.1021/jm049389h,15715465.0,high_for_record_fields_low_for_cross_assay_comparability,,Inhibitory concentration against purified human fatty acid synthase activity in ZR-75-1 breast cancer cells,2005,J Med Chem,1,0,1,1,derived_from_ug_per_mL_and_RDKit_MW,cell_based_or_cell_extract_other,cell_based_or_cell_extract_other|unknown,unknown,unknown,low,not_reported_in_ChEMBL_activity_record,IC50,CHEMBL1142684,unknown
CHEMBL251749,C=C/C(C)=C/[C@@]1(C)SC(=O)C=C1O,KTIHHBYQAPHEJW-VQCYPWCPSA-N,1410359,CHEMBL828726,CHEMBL1142684,CHEMBL4158,Fatty acid synthase,Homo sapiens,not_reported_in_ChEMBL_activity_record,B,cell-based format,biochemical_recombinant_or_purified,IC50,=,8.4,ug.mL-1,42797.96811551376,4.368576849144942,ChEMBL REST activity.json snapshot 2026-09-12,10.1021/jm049389h,15715465.0,high_for_record_fields_low_for_cross_assay_comparability,,Inhibitory concentration against purified human fatty acid synthase activity in ZR-75-1 breast cancer cells,2005,J Med Chem,1,0,1,1,derived_from_ug_per_mL_and_RDKit_MW,cell_based_or_cell_extract_other,cell_based_or_cell_extract_other|unknown,unknown,unknown,low,not_reported_in_ChEMBL_activity_record,IC50,CHEMBL1142684,unknown
CHEMBL180272,CCCC/C=C/C=C/[C@@]1(C)SC(O)=CC1=O,YZOPWJNYBIIVLX-WENUQTIISA-N,1410372,CHEMBL828726,CHEMBL1142684,CHEMBL4158,Fatty acid synthase,Homo sapiens,not_reported_in_ChEMBL_activity_record,B,cell-based format,biochemical_recombinant_or_purified,IC50,=,8.7,ug.mL-1,36500.63771229106,4.437699547803534,ChEMBL REST activity.json snapshot 2026-09-12,10.1021/jm049389h,15715465.0,high_for_record_fields_low_for_cross_assay_comparability,,Inhibitory concentration against purified human fatty acid synthase activity in ZR-75-1 breast cancer cells,2005,J Med Chem,1,0,1,1,derived_from_ug_per_mL_and_RDKit_MW,cell_based_or_cell_extract_other,cell_based_or_cell_extract_other|unknown,unknown,unknown,low,not_reported_in_ChEMBL_activity_record,IC50,CHEMBL1142684,unknown
CHEMBL178631,CCCCCCCC[C@@]1(C)SC(O)=CC1=O,CELMYHBQPKDYEU-CYBMUJFWSA-N,1410483,CHEMBL828726,CHEMBL1142684,CHEMBL4158,Fatty acid synthase,Homo sapiens,not_reported_in_ChEMBL_activity_record,B,cell-based format,biochemical_recombinant_or_purified,IC50,=,4.0,ug.mL-1,16502.739454749488,4.782443956917726,ChEMBL REST activity.json snapshot 2026-09-12,10.1021/jm049389h,15715465.0,high_for_record_fields_low_for_cross_assay_comparability,,Inhibitory concentration against purified human fatty acid synthase activity in ZR-75-1 breast cancer cells,2005,J Med Chem,1,0,1,1,derived_from_ug_per_mL_and_RDKit_MW,cell_based_or_cell_extract_other,cell_based_or_cell_extract_other|unknown,unknown,unknown,low,not_reported_in_ChEMBL_activity_record,IC50,CHEMBL1142684,unknown
CHEMBL178580,CCCCCCCC[C@@]1(C)SC(O)=C(C)C1=O,USFWUYMDOFJDDI-CQSZACIVSA-N,1410487,CHEMBL828726,CHEMBL1142684,CHEMBL4158,Fatty acid synthase,Homo sapiens,not_reported_in_ChEMBL_activity_record,B,cell-based format,biochemical_recombinant_or_purified,IC50,=,49.2,ug.mL-1,191879.4435496137,3.716971549658312,ChEMBL REST activity.json snapshot 2026-09-12,10.1021/jm049389h,15715465.0,high_for_record_fields_low_for_cross_assay_comparability,,Inhibitory concentration against purified human fatty acid synthase activity in ZR-75-1 breast cancer cells,2005,J Med Chem,1,0,1,1,derived_from_ug_per_mL_and_RDKit_MW,cell_based_or_cell_extract_other,cell_based_or_cell_extract_other|unknown,unknown,unknown,low,not_reported_in_ChEMBL_activity_record,IC50,CHEMBL1142684,unknown
CHEMBL369087,C=CCC1=C(O)S[C@](C)(CCCCCCCC)C1=O,SSMRDEZFDSLVLM-MRXNPFEDSA-N,1410491,CHEMBL828726,CHEMBL1142684,CHEMBL4158,Fatty acid synthase,Homo sapiens,not_reported_in_ChEMBL_activity_record,B,cell-based format,biochemical_recombinant_or_purified,IC50,=,2.8,ug.mL-1,9913.294081409387,5.003782010129664,ChEMBL REST activity.json snapshot 2026-09-12,10.1021/jm049389h,15715465.0,high_for_record_fields_low_for_cross_assay_comparability,,Inhibitory concentration against purified human fatty acid synthase activity in ZR-75-1 breast cancer cells,2005,J Med Chem,1,0,1,1,derived_from_ug_per_mL_and_RDKit_MW,cell_based_or_cell_extract_other,cell_based_or_cell_extract_other|unknown,unknown,unknown,low,not_reported_in_ChEMBL_activity_record,IC50,CHEMBL1142684,unknown
CHEMBL361991,CCCCCCCC[C@@]1(C)SC(=O)C=C1OC(=O)OC,BQAABGDFSMHCNL-OAHLLOKOSA-N,1410771,CHEMBL828726,CHEMBL1142684,CHEMBL4158,Fatty acid synthase,Homo sapiens,not_reported_in_ChEMBL_activity_record,B,cell-based format,biochemical_recombinant_or_purified,IC50,=,2.1,ug.mL-1,6990.213700818853,5.155509547048633,ChEMBL REST activity.json snapshot 2026-09-12,10.1021/jm049389h,15715465.0,high_for_record_fields_low_for_cross_assay_comparability,,Inhibitory concentration against purified human fatty acid synthase activity in ZR-75-1 breast cancer cells,2005,J Med Chem,1,0,1,1,derived_from_ug_per_mL_and_RDKit_MW,cell_based_or_cell_extract_other,cell_based_or_cell_extract_other|unknown,unknown,unknown,low,not_reported_in_ChEMBL_activity_record,IC50,CHEMBL1142684,unknown
CHEMBL180429,CCCCCCCC[C@@]1(C)SC(=O)C=C1OC(=O)OCC,GJUUXLDVIAJTKK-MRXNPFEDSA-N,1410775,CHEMBL828726,CHEMBL1142684,CHEMBL4158,Fatty acid synthase,Homo sapiens,not_reported_in_ChEMBL_activity_record,B,cell-based format,biochemical_recombinant_or_purified,IC50,=,4.6,ug.mL-1,14628.85637325209,4.8347896239908446,ChEMBL REST activity.json snapshot 2026-09-12,10.1021/jm049389h,15715465.0,high_for_record_fields_low_for_cross_assay_comparability,,Inhibitory concentration against purified human fatty acid synthase activity in ZR-75-1 breast cancer cells,2005,J Med Chem,1,0,1,1,derived_from_ug_per_mL_and_RDKit_MW,cell_based_or_cell_extract_other,cell_based_or_cell_extract_other|unknown,unknown,unknown,low,not_reported_in_ChEMBL_activity_record,IC50,CHEMBL1142684,unknown
CHEMBL178487,C=CCOC(=O)OC1=CC(=O)S[C@]1(C)CCCCCCCC,XDDLDGZVXOBPAM-QGZVFWFLSA-N,1410779,CHEMBL828726,CHEMBL1142684,CHEMBL4158,Fatty acid synthase,Homo sapiens,not_reported_in_ChEMBL_activity_record,B,cell-based format,biochemical_recombinant_or_purified,IC50,=,6.8,ug.mL-1,20829.631989413643,4.681318402946099,ChEMBL REST activity.json snapshot 2026-09-12,10.1021/jm049389h,15715465.0,high_for_record_fields_low_for_cross_assay_comparability,,Inhibitory concentration against purified human fatty acid synthase activity in ZR-75-1 breast cancer cells,2005,J Med Chem,1,0,1,1,derived_from_ug_per_mL_and_RDKit_MW,cell_based_or_cell_extract_other,cell_based_or_cell_extract_other|unknown,unknown,unknown,low,not_reported_in_ChEMBL_activity_record,IC50,CHEMBL1142684,unknown
CHEMBL368889,CCCCCCCC[C@@]1(C)SC(O)=C(C(C)O)C1=O,HABAFGHNQRLVPF-JOPIAHFSSA-N,1410791,CHEMBL828726,CHEMBL1142684,CHEMBL4158,Fatty acid synthase,Homo sapiens,not_reported_in_ChEMBL_activity_record,B,cell-based format,biochemical_recombinant_or_purified,IC50,=,5.7,ug.mL-1,19899.663800416845,4.701154260819297,ChEMBL REST activity.json snapshot 2026-09-12,10.1021/jm049389h,15715465.0,high_for_record_fields_low_for_cross_assay_comparability,,Inhibitory concentration against purified human fatty acid synthase activity in ZR-75-1 breast cancer cells,2005,J Med Chem,1,0,1,1,derived_from_ug_per_mL_and_RDKit_MW,cell_based_or_cell_extract_other,cell_based_or_cell_extract_other|unknown,unknown,unknown,low,not_reported_in_ChEMBL_activity_record,IC50,CHEMBL1142684,unknown
