n,r2,rmse,mae,spearman,bias,method,assay_id,seed,n_cal,n_test
32,-0.23962934879154374,0.9388698190619778,0.77537194462947,0.24020557298478784,-0.011879689939681026,none_canonical_only,CHEMBL4123591,20260912,10,32
32,-0.2465065006627507,0.9414705238561377,0.7240466823924747,,0.4186717346828547,cal_mean_baseline,CHEMBL4123591,20260912,10,32
32,-0.27632284492352444,0.9526639360286605,0.77537194462947,0.24020557298478784,0.1619665548723307,A_assay_offset,CHEMBL4123591,20260912,10,32
32,-0.19346565984622344,0.9212222466384029,0.7364694383972084,0.24020557298478784,0.22120902692490485,B_assay_linear,CHEMBL4123591,20260912,10,32
32,-0.5243096678918213,1.0411086519146386,0.7475792945326565,0.28052805752065346,0.5017082170169916,C_indicator_ridge,CHEMBL4123591,20260912,10,32
32,-0.24241555348734667,0.9399243339774634,0.77537194462947,0.24020557298478784,0.046068899385270146,D_shrunk_offset,CHEMBL4123591,20260912,10,32
32,-0.5212093380625544,1.0400493451303607,0.7458413572014568,0.276861024089011,0.4991419539373484,E_pool_ridge,CHEMBL4123591,20260912,10,32
20,-0.07393859793476265,1.2197325655876388,1.0674142416102583,0.2119729516634823,-0.2349655022058152,none_canonical_only,CHEMBL4402021,20260912,6,20
20,-0.027602531674356445,1.1931292047133821,0.9236430911219179,,0.19554618698028098,cal_mean_baseline,CHEMBL4402021,20260912,6,20
20,-0.1639025368959286,1.2697937960251477,0.92772614608497,0.2119729516634823,0.4240725646581985,A_assay_offset,CHEMBL4402021,20260912,6,20
20,-0.029938582817538917,1.1944846064915773,0.9514312295115053,-0.2119729516634823,0.12074238162902366,B_assay_linear,CHEMBL4402021,20260912,6,20
20,0.2685505414773086,1.0066234765684736,0.7308392153088458,0.5954087348167253,0.4690189252462722,C_indicator_ridge,CHEMBL4402021,20260912,6,20
20,-0.03904429598832726,1.199753221499813,1.0217885072810347,0.2119729516634823,-0.0828797211084031,D_shrunk_offset,CHEMBL4402021,20260912,6,20
20,0.27050165185528996,1.0052800173706324,0.7299779520336993,0.607452400754864,0.4668052087393142,E_pool_ridge,CHEMBL4402021,20260912,6,20
28,-1.605829661736042,0.9128716558891378,0.736198771173328,0.18939253439226125,0.64826773657113,none_canonical_only,CHEMBL5730715,20260912,9,28
28,-0.03319611223183205,0.5748150000649331,0.571370434290497,,-0.10303394372127192,cal_mean_baseline,CHEMBL5730715,20260912,9,28
28,-0.3066623746820756,0.6464253867802624,0.5320501472341354,0.18939253439226125,0.0691532994678586,A_assay_offset,CHEMBL5730715,20260912,9,28
28,-0.34402229801508444,0.655601514319691,0.5419878252987542,0.18939253439226125,0.07572396223881109,B_assay_linear,CHEMBL5730715,20260912,9,28
28,-0.2802106717930555,0.6398489073260367,0.5749948707886704,0.09689965346429334,0.15857305608472347,C_indicator_ridge,CHEMBL5730715,20260912,9,28
28,-0.9781834771854021,0.79537144681514,0.6720112104106502,0.18939253439226125,0.46854256643563197,D_shrunk_offset,CHEMBL5730715,20260912,9,28
28,-0.2802883216303924,0.639868311714434,0.5721486638511529,0.10612819188946415,0.17007934107094697,E_pool_ridge,CHEMBL5730715,20260912,9,28
80,0.10189591658574904,1.0080647939447946,0.8346719081650175,0.4100660509494195,0.16340045627256933,none_canonical_only,POOLED,20260912,25,80
80,0.26991730670527136,0.908889610021951,0.7205090977391434,0.5403879271789628,0.18029336031576695,cal_mean_baseline,POOLED,20260912,25,80
80,0.19365123303893905,0.955182979510073,0.7282978659049779,0.5442960927803314,0.1950084179272324,A_assay_offset,POOLED,20260912,25,80
80,0.251788192846245,0.9201049998882369,0.7221413215913236,0.5015157251315663,0.14517259296080173,B_assay_linear,POOLED,20260912,25,80
80,0.2662958908046932,0.9111409958966393,0.6829897264163087,0.6582525510603472,0.3734385877480179,C_indicator_ridge,POOLED,20260912,25,80
80,0.17396386584717216,0.9667732712529187,0.8007998283157743,0.48397872476575515,0.16169752772947849,D_shrunk_offset,POOLED,20260912,25,80
80,0.2676647690105166,0.9102906371985321,0.6810830632369111,0.6602231904312501,0.3758858531345993,E_pool_ridge,POOLED,20260912,25,80
32,-0.12322590836677616,0.8066328558797311,0.6743731976002307,0.2942742580366206,-0.08420159306035108,none_canonical_only,CHEMBL4123591,20260913,10,32
32,-0.014709971126001031,0.7666785549421213,0.6360267667759865,,-0.09230989601121015,cal_mean_baseline,CHEMBL4123591,20260913,10,32
32,-0.14569053123597286,0.8146592883651078,0.6822238619665271,0.2942742580366206,-0.14178540195927686,A_assay_offset,CHEMBL4123591,20260913,10,32
