n,r2,rmse,mae,spearman,bias,model,subset,coverage_q10,coverage_q20,ad_coverage
105,0.17980242956652226,0.953701070820439,0.7888849501394788,0.48180060623504384,0.11991787616116932,ecfp_ridge_champion,all,0.6285714285714286,0.47619047619047616,0.13333333333333333
105,-0.04288346814644117,1.075402204803832,0.8963714059957608,0.4881210495771131,0.4267230857234291,ecfp_rf_tree_baseline,all,0.6190476190476191,0.44761904761904764,0.13333333333333333
105,-0.19781563023940563,1.152518801529926,0.9555135493834109,,0.4683638130556932,global_mean_baseline,all,0.47619047619047616,0.34285714285714286,0.13333333333333333
42,-0.16255027959183344,0.8630316936165495,0.7123634576518059,0.30549250423639696,-0.050443180417917635,ecfp_ridge_champion,E1,0.7380952380952381,0.5476190476190477,0.3333333333333333
42,-0.002658126129685856,0.801488529550305,0.6552292762082276,0.2197387990238431,-0.024189668969205814,ecfp_rf_tree_baseline,E1,0.8333333333333334,0.6428571428571429,0.3333333333333333
42,-0.004674218326047974,0.8022939203731796,0.651520555645172,,-0.05472368940264878,global_mean_baseline,E1,0.7857142857142857,0.5952380952380952,0.3333333333333333
63,0.08747891261074514,1.0096338039188533,0.839899278464594,0.37721412658760217,0.23349191388056054,ecfp_ridge_champion,E2,0.5555555555555556,0.42857142857142855,0.0
63,-0.3420930092279739,1.2244293615780502,1.0571328258541164,0.4847210115701235,0.7273315888518525,ecfp_rf_tree_baseline,E2,0.47619047619047616,0.31746031746031744,0.0
63,-0.5976592896108417,1.3359324920649187,1.158175545208904,,0.8170888146945877,global_mean_baseline,E2,0.2698412698412698,0.1746031746031746,0.0
14,-1.4568640696660928,0.7579852465712833,0.6873145914393921,0.8795628436783615,-0.6631408763202631,ecfp_ridge_champion,E1_ADin,0.6428571428571429,0.5,1.0
14,-0.7094054955197153,0.6322556747450867,0.5751607380318561,0.6607771112056032,-0.5512214764418261,ecfp_rf_tree_baseline,E1_ADin,0.8571428571428571,0.5714285714285714,1.0
14,-1.0186889824381695,0.687076183254648,0.6028025467869558,,-0.48807997825572436,global_mean_baseline,E1_ADin,0.7142857142857143,0.5714285714285714,1.0
28,-0.1801891578653445,0.91102400586928,0.7248878907580127,0.0787671262438404,0.2559056675332551,ecfp_ridge_champion,E1_OOD,0.7857142857142857,0.5714285714285714,0.0
28,-0.08596544476238921,0.8739005523384128,0.6952635452964132,0.1231506895534131,0.2393262347671043,ecfp_rf_tree_baseline,E1_OOD,0.8214285714285714,0.6785714285714286,0.0
28,-0.03729733288160131,0.8540939416737254,0.6758795600742802,,0.161954455023889,global_mean_baseline,E1_OOD,0.8214285714285714,0.6071428571428571,0.0
63,0.08747891261074514,1.0096338039188533,0.839899278464594,0.37721412658760217,0.23349191388056054,ecfp_ridge_champion,E2_OOD,0.5555555555555556,0.42857142857142855,0.0
63,-0.3420930092279739,1.2244293615780502,1.0571328258541164,0.4847210115701235,0.7273315888518525,ecfp_rf_tree_baseline,E2_OOD,0.47619047619047616,0.31746031746031744,0.0
63,-0.5976592896108417,1.3359324920649187,1.158175545208904,,0.8170888146945877,global_mean_baseline,E2_OOD,0.2698412698412698,0.1746031746031746,0.0
14,-1.4568640696660928,0.7579852465712833,0.6873145914393921,0.8795628436783615,-0.6631408763202631,ecfp_ridge_champion,ADin_all,0.6428571428571429,0.5,1.0
14,-0.7094054955197153,0.6322556747450867,0.5751607380318561,0.6607771112056032,-0.5512214764418261,ecfp_rf_tree_baseline,ADin_all,0.8571428571428571,0.5714285714285714,1.0
14,-1.0186889824381695,0.687076183254648,0.6028025467869558,,-0.48807997825572436,global_mean_baseline,ADin_all,0.7142857142857143,0.5714285714285714,1.0
91,0.11107401506351933,0.9803493380196092,0.8045111591702614,0.4438615930478102,0.24038845346600504,ecfp_ridge_champion,OOD_all,0.6263736263736264,0.4725274725274725,0.0
91,-0.17734084591444033,1.1282339519716174,0.9457884318363614,0.5148942113584557,0.5771760952873146,ecfp_rf_tree_baseline,OOD_all,0.5824175824175825,0.42857142857142855,0.0
91,-0.350406951673057,1.2083156253170106,1.0097767805520963,,0.6155090117189881,global_mean_baseline,OOD_all,0.43956043956043955,0.3076923076923077,0.0
