target_label,target_chembl_id,target_pref_name,target_organism,target_tax_id,activity_id,record_id,molecule_chembl_id,parent_molecule_chembl_id,molecule_pref_name,canonical_smiles,assay_chembl_id,assay_description,assay_type,bao_format,bao_label,assay_variant_accession,assay_variant_mutation,document_chembl_id,document_journal,document_year,standard_type,standard_relation,standard_value,standard_units,standard_upper_value,pchembl_value,relation,value,units,text_value,data_validity_comment,potential_duplicate,standard_flag,src_id
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,152719,212001,CHEMBL1544,CHEMBL1544,LIOTHYRONINE,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,CHEMBL814598,Binding affinity against human Thyroid hormone receptor alpha-1 (hTRalpha1) using radiolabeled T3,B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Kd,=,0.1,nM,,10.00,=,0.1,nM,,,0,1,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,152722,212001,CHEMBL1544,CHEMBL1544,LIOTHYRONINE,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,CHEMBL814594,Activation of human Thyroid hormone receptor alpha1 (hTRalpha1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Activation,=,100.0,%,,,=,100.0,%,,,0,0,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,152723,212001,CHEMBL1544,CHEMBL1544,LIOTHYRONINE,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,CHEMBL814595,Half-maximum activation of human Thyroid hormone receptor alpha-1 (hTRalpha1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,EC50,=,2.0,nM,,8.70,=,2.0,nM,,,0,1,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,156363,212002,CHEMBL111953,CHEMBL111953,,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccccc2)c(O)c(C(C)C)c1,CHEMBL814598,Binding affinity against human Thyroid hormone receptor alpha-1 (hTRalpha1) using radiolabeled T3,B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Kd,=,490.0,nM,,6.31,=,490.0,nM,,,0,1,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,159963,212005,CHEMBL109430,CHEMBL109430,,CCCCCc1ccc(C#Cc2cc(Cc3c(C)cc(OCC(=O)O)cc3C)cc(C(C)C)c2O)cc1,CHEMBL814598,Binding affinity against human Thyroid hormone receptor alpha-1 (hTRalpha1) using radiolabeled T3,B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Kd,=,5.2,nM,,8.28,=,5.2,nM,,,0,1,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,164867,212003,CHEMBL109279,CHEMBL109279,,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,CHEMBL814598,Binding affinity against human Thyroid hormone receptor alpha-1 (hTRalpha1) using radiolabeled T3,B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Kd,=,93.0,nM,,7.03,=,93.0,nM,,,0,1,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,164870,212003,CHEMBL109279,CHEMBL109279,,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,CHEMBL814594,Activation of human Thyroid hormone receptor alpha1 (hTRalpha1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Activation,=,10.0,%,,,=,10.0,%,,,0,0,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,164871,212003,CHEMBL109279,CHEMBL109279,,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,CHEMBL814597,Half-maximum activation of human Thyroid hormone receptor alpha-1 (hTRalpha1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,IC50,=,950.0,nM,,6.02,=,950.0,nM,,,0,1,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,172288,212004,CHEMBL110158,CHEMBL110158,,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc(N)cc2)c(O)c(C(C)C)c1,CHEMBL814598,Binding affinity against human Thyroid hormone receptor alpha-1 (hTRalpha1) using radiolabeled T3,B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Kd,=,330.0,nM,,6.48,=,330.0,nM,,,0,1,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,175865,212007,CHEMBL107400,CHEMBL107400,SOBETIROME,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,CHEMBL814598,Binding affinity against human Thyroid hormone receptor alpha-1 (hTRalpha1) using radiolabeled T3,B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Kd,=,1.8,nM,,8.74,=,1.8,nM,,,0,1,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,175868,212007,CHEMBL107400,CHEMBL107400,SOBETIROME,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,CHEMBL814594,Activation of human Thyroid hormone receptor alpha1 (hTRalpha1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Activation,=,100.0,%,,,=,100.0,%,,,0,0,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,175869,212007,CHEMBL107400,CHEMBL107400,SOBETIROME,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,CHEMBL814595,Half-maximum activation of human Thyroid hormone receptor alpha-1 (hTRalpha1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,EC50,=,45.0,nM,,7.35,=,45.0,nM,,,0,1,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,179660,212006,CHEMBL112087,CHEMBL112087,,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,CHEMBL814598,Binding affinity against human Thyroid hormone receptor alpha-1 (hTRalpha1) using radiolabeled T3,B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Kd,=,200.0,nM,,6.70,=,200.0,nM,,,0,1,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,179663,212006,CHEMBL112087,CHEMBL112087,,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,CHEMBL814594,Activation of human Thyroid hormone receptor alpha1 (hTRalpha1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Activation,=,35.0,%,,,=,35.0,%,,,0,0,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,179664,212006,CHEMBL112087,CHEMBL112087,,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,CHEMBL814597,Half-maximum activation of human Thyroid hormone receptor alpha-1 (hTRalpha1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,IC50,=,5000.0,nM,,5.30,=,5000.0,nM,,,0,1,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,475739,150616,CHEMBL85571,CHEMBL85571,,Cn1c(Cc2nn(C)c(=O)c3ccccc23)ccc1SCc1ccc(Cl)cc1Cl,CHEMBL814592,Inhibitory activity expressed as concentration required to inhibit the binding of [125I]T3 to human thyroid hormone-alpha; NA =Inactive,B,BAO_0000357,single protein format,,,CHEMBL1131011,J Med Chem,1998,IC50,,,nM,,,,,uM,Not Active,,0,0,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,478103,150613,CHEMBL311171,CHEMBL311171,,N=C(c1ccc(Cl)cc1)N(N)S(=O)(=O)c1cc(Cl)c(Oc2ccc([N+](=O)[O-])cc2Cl)c(Cl)c1,CHEMBL814592,Inhibitory activity expressed as concentration required to inhibit the binding of [125I]T3 to human thyroid hormone-alpha; NA =Inactive,B,BAO_0000357,single protein format,,,CHEMBL1131011,J Med Chem,1998,IC50,,,nM,,,,,uM,Not Active,,0,0,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,483167,150621,CHEMBL85385,CHEMBL85385,,Cn1c(Cc2nn(C)c(=O)c3ccccc23)ccc1SCc1ccccc1,CHEMBL814592,Inhibitory activity expressed as concentration required to inhibit the binding of [125I]T3 to human thyroid hormone-alpha; NA =Inactive,B,BAO_0000357,single protein format,,,CHEMBL1131011,J Med Chem,1998,IC50,,,nM,,,,,uM,Not Active,,0,0,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,483168,150618,CHEMBL82517,CHEMBL82517,,Cn1c(Cc2nn(C)c(=O)c3ccccc23)ccc1SCC(=O)Nc1ccccc1,CHEMBL814592,Inhibitory activity expressed as concentration required to inhibit the binding of [125I]T3 to human thyroid hormone-alpha; NA =Inactive,B,BAO_0000357,single protein format,,,CHEMBL1131011,J Med Chem,1998,IC50,,,nM,,,,,uM,Not Active,,0,0,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,487907,150617,CHEMBL313108,CHEMBL313108,,Cn1c(Cc2nn(C)c(=O)c3ccccc23)ccc1SCC(=O)Nc1ccc(Cl)cc1Cl,CHEMBL814592,Inhibitory activity expressed as concentration required to inhibit the binding of [125I]T3 to human thyroid hormone-alpha; NA =Inactive,B,BAO_0000357,single protein format,,,CHEMBL1131011,J Med Chem,1998,IC50,,,nM,,,,,uM,Not Active,,0,0,1
thra,CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens,9606,490232,150615,CHEMBL419492,CHEMBL419492,,N=C(c1cccnc1)N(N)S(=O)(=O)c1cc(Cl)c(Oc2ccc([N+](=O)[O-])cc2Cl)c(Cl)c1,CHEMBL814592,Inhibitory activity expressed as concentration required to inhibit the binding of [125I]T3 to human thyroid hormone-alpha; NA =Inactive,B,BAO_0000357,single protein format,,,CHEMBL1131011,J Med Chem,1998,IC50,,,nM,,,,,uM,Not Active,,0,0,1
