target_label,target_chembl_id,target_pref_name,target_organism,target_tax_id,activity_id,record_id,molecule_chembl_id,parent_molecule_chembl_id,molecule_pref_name,canonical_smiles,assay_chembl_id,assay_description,assay_type,bao_format,bao_label,assay_variant_accession,assay_variant_mutation,document_chembl_id,document_journal,document_year,standard_type,standard_relation,standard_value,standard_units,standard_upper_value,pchembl_value,relation,value,units,text_value,data_validity_comment,potential_duplicate,standard_flag,src_id
thrb,CHEMBL1947,Thyroid hormone receptor beta,Homo sapiens,9606,152718,212001,CHEMBL1544,CHEMBL1544,LIOTHYRONINE,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,CHEMBL811897,Binding affinity against human Thyroid hormone receptor beta 1 (hTRbeta1) using radiolabeled T3,B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Kd,=,0.1,nM,,10.00,=,0.1,nM,,,0,1,1
thrb,CHEMBL1947,Thyroid hormone receptor beta,Homo sapiens,9606,152720,212001,CHEMBL1544,CHEMBL1544,LIOTHYRONINE,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,CHEMBL811712,Activation of human Thyroid hormone receptor beta 1 (hTRbeta1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Activation,=,100.0,%,,,=,100.0,%,,,0,0,1
thrb,CHEMBL1947,Thyroid hormone receptor beta,Homo sapiens,9606,152721,212001,CHEMBL1544,CHEMBL1544,LIOTHYRONINE,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,CHEMBL811714,Half-maximum activation of human Thyroid hormone receptor beta 1 (hTRbeta1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,EC50,=,2.0,nM,,8.70,=,2.0,nM,,,0,1,1
thrb,CHEMBL1947,Thyroid hormone receptor beta,Homo sapiens,9606,156362,212002,CHEMBL111953,CHEMBL111953,,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccccc2)c(O)c(C(C)C)c1,CHEMBL811897,Binding affinity against human Thyroid hormone receptor beta 1 (hTRbeta1) using radiolabeled T3,B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Kd,=,37.0,nM,,7.43,=,37.0,nM,,,0,1,1
thrb,CHEMBL1947,Thyroid hormone receptor beta,Homo sapiens,9606,156364,212002,CHEMBL111953,CHEMBL111953,,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccccc2)c(O)c(C(C)C)c1,CHEMBL811712,Activation of human Thyroid hormone receptor beta 1 (hTRbeta1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Activation,=,70.0,%,,,=,70.0,%,,,0,0,1
thrb,CHEMBL1947,Thyroid hormone receptor beta,Homo sapiens,9606,156365,212002,CHEMBL111953,CHEMBL111953,,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccccc2)c(O)c(C(C)C)c1,CHEMBL811714,Half-maximum activation of human Thyroid hormone receptor beta 1 (hTRbeta1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,EC50,=,500.0,nM,,6.30,=,500.0,nM,,,0,1,1
thrb,CHEMBL1947,Thyroid hormone receptor beta,Homo sapiens,9606,159962,212005,CHEMBL109430,CHEMBL109430,,CCCCCc1ccc(C#Cc2cc(Cc3c(C)cc(OCC(=O)O)cc3C)cc(C(C)C)c2O)cc1,CHEMBL811897,Binding affinity against human Thyroid hormone receptor beta 1 (hTRbeta1) using radiolabeled T3,B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Kd,=,0.52,nM,,9.28,=,0.52,nM,,,0,1,1
thrb,CHEMBL1947,Thyroid hormone receptor beta,Homo sapiens,9606,159964,212005,CHEMBL109430,CHEMBL109430,,CCCCCc1ccc(C#Cc2cc(Cc3c(C)cc(OCC(=O)O)cc3C)cc(C(C)C)c2O)cc1,CHEMBL811712,Activation of human Thyroid hormone receptor beta 1 (hTRbeta1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Activation,=,90.0,%,,,=,90.0,%,,,0,0,1
thrb,CHEMBL1947,Thyroid hormone receptor beta,Homo sapiens,9606,159965,212005,CHEMBL109430,CHEMBL109430,,CCCCCc1ccc(C#Cc2cc(Cc3c(C)cc(OCC(=O)O)cc3C)cc(C(C)C)c2O)cc1,CHEMBL811714,Half-maximum activation of human Thyroid hormone receptor beta 1 (hTRbeta1),B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,EC50,=,380.0,nM,,6.42,=,380.0,nM,,,0,1,1
thrb,CHEMBL1947,Thyroid hormone receptor beta,Homo sapiens,9606,164866,212003,CHEMBL109279,CHEMBL109279,,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,CHEMBL811897,Binding affinity against human Thyroid hormone receptor beta 1 (hTRbeta1) using radiolabeled T3,B,BAO_0000357,single protein format,,,CHEMBL1135520,J Med Chem,2002,Kd,=,20.0,nM,,7.70,=,20.0,nM,,,0,1,1
