target_label,target_chembl_id,target_pref_name,target_organism,target_tax_id,activity_id,record_id,molecule_chembl_id,parent_molecule_chembl_id,molecule_pref_name,canonical_smiles,assay_chembl_id,assay_description,assay_type,bao_format,bao_label,assay_variant_accession,assay_variant_mutation,document_chembl_id,document_journal,document_year,standard_type,standard_relation,standard_value,standard_units,standard_upper_value,pchembl_value,relation,value,units,text_value,data_validity_comment,potential_duplicate,standard_flag,src_id,standard_value_nM,pActivity_nM,endpoint_stratum,quality_flags,training_use
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,77679,92774,CHEMBL1552,CHEMBL1552,GLYCOCHENODEOXYCHOLATE,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL682032,Binding affinity for Farnesoid X Receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1136407,Bioorg Med Chem Lett,2003.0,EC50,=,3000.0,nM,,5.52,=,3.0,uM,,,0,1,1,3000.0,5.522878745280337,fxr|EC50|B|single protein format|CHEMBL682032,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,93258,92773,CHEMBL185878,CHEMBL185878,TAUROCHENODEOXYCHOLATE,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL682032,Binding affinity for Farnesoid X Receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1136407,Bioorg Med Chem Lett,2003.0,EC50,=,3000.0,nM,,5.52,=,3.0,uM,,,0,1,1,3000.0,5.522878745280337,fxr|EC50|B|single protein format|CHEMBL682032,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,437328,226193,CHEMBL318457,CHEMBL318457,,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,CHEMBL682033,Effective concentration against Farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1135586,J Med Chem,2002.0,EC50,=,37.0,nM,,7.43,=,0.037,uM,,,0,1,1,37.0,7.431798275933005,fxr|EC50|B|single protein format|CHEMBL682033,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,450673,226188,CHEMBL3137829,CHEMBL3137829,,C[C@H](CCC(=O)O)C1CC[C@H]2[C@@H]3[C@H](O)[C@H](C)C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL682033,Effective concentration against Farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1135586,J Med Chem,2002.0,EC50,=,750.0,nM,,6.12,=,0.75,uM,,,0,1,1,750.0,6.1249387366083,fxr|EC50|B|single protein format|CHEMBL682033,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,454604,226187,CHEMBL240597,CHEMBL240597,CHENODIOL,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL682033,Effective concentration against Farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1135586,J Med Chem,2002.0,EC50,=,8660.0,nM,,5.06,=,8.66,uM,,,0,1,1,8660.0,5.062482107982653,fxr|EC50|B|single protein format|CHEMBL682033,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,458665,226189,CHEMBL566315,CHEMBL566315,OBETICHOLIC ACID,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,CHEMBL682033,Effective concentration against Farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1135586,J Med Chem,2002.0,EC50,=,99.0,nM,,7.0,=,0.099,uM,,,0,1,1,99.0,7.00436480540245,fxr|EC50|B|single protein format|CHEMBL682033,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,466255,226192,CHEMBL3138184,CHEMBL3138184,,CCC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,CHEMBL682033,Effective concentration against Farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1135586,J Med Chem,2002.0,EC50,=,1110.0,nM,,5.96,=,1.11,uM,,,0,1,1,1110.0,5.954677021213342,fxr|EC50|B|single protein format|CHEMBL682033,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467370,379212,CHEMBL318457,CHEMBL318457,,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,30.0,nM,,7.52,=,0.03,uM,,,0,1,1,30.0,7.522878745280337,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467481,379258,CHEMBL566315,CHEMBL566315,OBETICHOLIC ACID,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,90.0,nM,,7.05,=,0.09,uM,,,0,1,1,90.0,7.045757490560675,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467483,379278,CHEMBL3138060,CHEMBL3138060,,C=CC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,480.0,nM,,6.32,=,0.48,uM,,,0,1,1,480.0,6.318758762624412,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
