target_label,standard_type,bao_label,molecule_chembl_id,scaffold_id,split
fxr,EC50,single protein format,CHEMBL1552,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL240597,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3137829,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL185878,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138184,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL566315,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL318457,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL3137829,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL240597,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL566315,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL3138184,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL101381,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL103394,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL240597,C1CCC2C(C1)CCC1C3CCCC3CCC21,development
fxr,EC50,single protein format,CHEMBL318457,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL101327,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL319606,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL319544,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL319861,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL419721,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
fxr,EC50,single protein format,CHEMBL101547,C(=Cc1ccc(OCc2conc2-c2ccccc2)cc1)c1ccccc1,development
