herb,name,status,smiles,mw_pubchem,cid,mw,logp,hbd,hba,rotb,tpsa,admet_fail,identity_status,source_evidence,reviewer,reviewed_at
Artemisia capillaris(茵陈),scoparone,OK,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,206.19,8417.0,206.19699999999995,1.8101999999999996,0,4,2,48.67,,pending_review,,,
Artemisia capillaris(茵陈),scopoletin,OK,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,192.17,5280460.0,192.16999999999996,1.5071999999999997,1,4,1,59.67,,pending_review,,,
Artemisia capillaris(茵陈),umbelliferone,OK,C1=CC(=CC2=C1C=CC(=O)O2)O,162.14,5281426.0,162.14399999999998,1.4986,1,3,0,50.44,,pending_review,,,
Artemisia capillaris(茵陈),capillarisin,OK,COC1=C(C2=C(C=C1O)OC(=CC2=O)OC3=CC=C(C=C3)O)O,316.26,5281342.0,316.265,2.710700000000001,3,7,3,109.36000000000001,,pending_review,,,
Artemisia capillaris(茵陈),arcapillin,OK,COC1=C(C=C(C(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)O)O,360.3,158311.0,360.31800000000004,2.602600000000001,3,8,4,118.59000000000002,,pending_review,,,
Artemisia capillaris(茵陈),capillin,OK,CC#CC#CC(=O)C1=CC=CC=C1,168.19,10321.0,168.195,1.8960000000000001,0,1,1,17.07,,pending_review,,,
Artemisia capillaris(茵陈),capillene,OK,CC#CC#CCC1=CC=CC=C1,154.21,3083613.0,154.212,2.2558000000000007,0,0,1,0.0,,pending_review,,,
Artemisia capillaris(茵陈),"1,2-dimethoxy-4-vinylbenzene",OK,COC1=C(C=C(C=C1)C=C)OC,164.20,61400.0,164.20399999999995,2.3468,0,2,3,18.46,,pending_review,,,
Artemisia capillaris(茵陈),isorhamnetin,OK,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,316.26,5281654.0,316.26499999999993,2.2910000000000013,4,7,2,120.36000000000001,,pending_review,,,
Crataegus pinnatifida(山楂),vitexin,OK,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,432.4,5280441.0,432.3810000000001,0.09170000000000023,7,10,3,181.04999999999998,,pending_review,,,
Crataegus pinnatifida(山楂),isovitexin,OK,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,432.4,162350.0,432.3810000000001,0.09170000000000023,7,10,3,181.04999999999998,,pending_review,,,
Crataegus pinnatifida(山楂),hyperoside,OK,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,464.4,5281643.0,464.37900000000013,-0.5388999999999997,8,12,4,210.50999999999996,,pending_review,,,
