record_id,preferred_name,brd_id_raw,source_smiles_raw,inchikey,pubchem_cid,automatic_identity_status,manual_tier,review_status,formal_H1Valid_inclusion,formal_brd_id,control_or_candidate,supplementary_full54_summary,identity_risk,calculation_note
NP54-001,scoparone,scoparone,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,GUAFOGOEJLSQBT-UHFFFAOYSA-N,8417.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-002,scopoletin,scopoletin,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,RODXRVNMMDRFIK-UHFFFAOYSA-N,5280460.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-003,umbelliferone,umbelliferone,C1=CC(=CC2=C1C=CC(=O)O2)O,ORHBXUUXSCNDEV-UHFFFAOYSA-N,5281426.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-004,capillarisin,capillarisin,COC1=C(C2=C(C=C1O)OC(=CC2=O)OC3=CC=C(C=C3)O)O,NTKNGUAZSFAKEE-UHFFFAOYSA-N,5281342.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-005,arcapillin,arcapillin,COC1=C(C=C(C(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)O)O,IZWKTABKAJGBFW-UHFFFAOYSA-N,158311.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-006,capillin,capillin,CC#CC#CC(=O)C1=CC=CC=C1,RAZOKRUZEQERLH-UHFFFAOYSA-N,10321.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-007,capillene,capillene,CC#CC#CCC1=CC=CC=C1,WXQYRBLGGSLJHA-UHFFFAOYSA-N,3083613.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-008,"1,2-dimethoxy-4-vinylbenzene",1_2-dimethoxy-4-vinylbenzene,COC1=C(C=C(C=C1)C=C)OC,NJXYTXADXSRFTJ-UHFFFAOYSA-N,61400.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-009,isorhamnetin,isorhamnetin,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,IZQSVPBOUDKVDZ-UHFFFAOYSA-N,5281654.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,yes,ish,disease_candidate,yes,高（来源/部位/分离物真实性未人工签核）,4-seed formal crystal-box result
NP54-010,vitexin,vitexin,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,SGEWCQFRYRRZDC-VPRICQMDSA-N,5280441.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-011,isovitexin,isovitexin,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,MYXNWGACZJSMBT-VJXVFPJBSA-N,162350.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-012,hyperoside,hyperoside,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,OVSQVDMCBVZWGM-DTGCRPNFSA-N,5281643.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-013,isoquercitrin,isoquercitrin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H](O4)[C@@H](CO)O)O)O)O)O,OPJZLUXFQFQYAI-GNPVFZCLSA-N,5484006.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-014,epicatechin,epicatechin,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU-UKRRQHHQSA-N,72276.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-015,procyanidin B2,procyanidin_B2,C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,XFZJEEAOWLFHDH-NFJBMHMQSA-N,122738.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-016,ursolic acid,ursolic_acid,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,WCGUUGGRBIKTOS-GPOJBZKASA-N,64945.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-017,oleanolic acid,oleanolic_acid,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,MIJYXULNPSFWEK-GTOFXWBISA-N,10494.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-018,corosolic acid,corosolic_acid,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,HFGSQOYIOKBQOW-ZSDYHTTISA-N,6918774.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
NP54-019,maslinic acid,maslinic_acid,C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@H]([C@@H](C3(C)C)O)O)C,MDZKJHQSJHYOHJ-LLICELPBSA-N,73659.0,PASS at PubChem/CID/structure layer,B pending,pending_manual_source_review,no,,library_member,yes,高（来源/部位/分离物真实性未人工签核）,WT full54 summary only; incomplete provenance
