compound,CAS,InChIKey,plant species,Chinese medicinal material,medicinal part,isolated part,isolation paper,measured content,database-only or experimental,commercial availability,evidence level,PMID,DOI/URL,search date,remarks
moracin N,135248-05-4,WBSCSIABHGPAMC-UHFFFAOYSA-N,Morus alba,桑叶（桑）,叶,叶（直接分离+定量）,"Yang et al., Chem Pharm Bull 2010;58:257（Morus alba 叶，分离 moracins V–Y 含已知 moracin N）",未给含量,experimental,市售标准品存在（供应商页可检索；批次/纯度未人工核验）,直接分离,20118592,10.1248/cpb.58.257,2026-09-12,叶部位直接分离证据
moracin N,135248-05-4,WBSCSIABHGPAMC-UHFFFAOYSA-N,Morus alba（栽培品种 Iksuppong）,桑叶,叶,叶（10 kg 干叶 UVC 前后分离+HPLC 定量）,"Jeon & Choi, Prev Nutr Food Sci 2019;24:84, PMC6456241",未处理 2.19±0.07 mg/100 g 干重；UVC 后 11.83±0.41 mg/100 g（约5.4倍）；分离得 MCN 126.1 mg（化合物5）,experimental,同上,直接分离+定量,31008101,10.3746/pnf.2019.24.1.84,2026-09-12,桑叶天然含量低（mg/100g 级）；UVC 诱导后升高——提示药材常规含量有限
moracin N,135248-05-4,WBSCSIABHGPAMC-UHFFFAOYSA-N,Morus alba,桑叶,叶,叶（纯化本体，活性导向）,"Tu et al., Food Chem Toxicol 2019;132:110730",摘要未给含量,experimental,同上,直接分离（纯化）,31369850,10.1016/j.fct.2019.110730,2026-09-12,
moracin N,135248-05-4,WBSCSIABHGPAMC-UHFFFAOYSA-N,Morus alba,桑白皮/桑枝/桑椹,根皮/嫩枝/果实,未找到 moracin N 直接分离或定量论文,本轮检索未命中（根皮文献为 moracin M/O/P、桑辛素、氧化白藜芦醇等，不能移植）,—,database-only（检索未证实）,—,未证实,—,—,2026-09-12,禁止把'桑属来源'泛写成桑白皮/全株来源；直接证据仅桑叶
moracin N,135248-05-4,WBSCSIABHGPAMC-UHFFFAOYSA-N,化学合成（非植物）,—,—,全合成路线,CN118772094B（2026-04-28）；KR101558733B1,—,experimental（合成）,—,合成专利,—,https://patents.google.com/patent/CN118772094B/zh,2026-09-12,合成专利非植物分离来源
formononetin,485-72-3,HKQYGTCOTHHOMP-UHFFFAOYSA-N,Pueraria lobata,葛根,根,根（22 化合物直接分离含 formononetin、3'-methoxydaidzein）,《中国中药杂志》2010（李等）,未给含量,experimental,市售标准品广泛可得（批次/纯度未人工核验）,直接分离,21355238,10.4268/cjcmm20102314,2026-09-12,葛根=根；药材部位证据成立
formononetin,485-72-3,HKQYGTCOTHHOMP-UHFFFAOYSA-N,Pueraria lobata,葛藤（药用部位为藤茎）,藤/茎,藤（12 化合物分离含 formononetin、3'-methoxydaidzein）,《中国中药杂志》2009,未给含量,experimental,同上,直接分离,20353004,（文献页无 DOI）,2026-09-12,藤部位同样成立
formononetin,485-72-3,HKQYGTCOTHHOMP-UHFFFAOYSA-N,Pueraria lobata,葛根,根,根提取物 HPLC 分析检测（非纯化分离）,"Kumari et al., J Food Sci Technol 2015",35.19±12.49 μg/mL（鲜根 40% 乙醇提取）,experimental（分析检测）,同上,分析定量,25745227,10.1007/s13197-013-1112-x,2026-09-12,原文摘要存在 diadzin/daidzein 文字错配，引用需谨慎
formononetin,485-72-3,HKQYGTCOTHHOMP-UHFFFAOYSA-N,Astragalus membranaceus 等多种豆科,黄芪等,根,根分离（抗炎成分）,"Taylor et al., Phytother Res 2012（综述+实验）",—,experimental,同上,直接分离,22693074,10.1002/ptr.4759,2026-09-12,豆科广泛成分：'广泛存在'≠本项目葛根特异来源；本项目标签=葛根/葛藤直接证据已成立
3'-methoxydaidzein,21913-98-4,MUYAUELJBWQNDH-UHFFFAOYSA-N,Pueraria lobata,葛根,根,根（22 化合物直接分离含 3'-methoxydaidzein）,《中国中药杂志》2010（李等）,未给含量,experimental,市售标准品存在（TBM/MCE/Ambeed 等；批次/纯度未人工核验）,直接分离,21355238,10.4268/cjcmm20102314,2026-09-12,根（葛根药材）直接证据成立
3'-methoxydaidzein,21913-98-4,MUYAUELJBWQNDH-UHFFFAOYSA-N,Pueraria lobata,葛藤（药用部位为藤茎）,藤/茎,藤（直接分离）,《中国中药杂志》2009,未给含量,experimental,同上,直接分离,20353004,（无 DOI）,2026-09-12,
3'-methoxydaidzein,21913-98-4,MUYAUELJBWQNDH-UHFFFAOYSA-N,Pueraria lobata / Puerariae Radix,葛根,根,根 HPLC-PDA/APCI/ESI-MS 鉴定游离苷元,Hirakura/Morita 等，Phytomedicine 2006,定性鉴定,experimental（分析鉴定）,同上,分析鉴定,17253303,10.1055/s-2006-957534,2026-09-12,鉴定而非全套纯化
3'-methoxydaidzein,21913-98-4,MUYAUELJBWQNDH-UHFFFAOYSA-N,Pueraria lobata,葛根,根,根粗甲醇提取物 HPLC-HRMS-SPE-NMR 联用识别,"Shao et al., J Nat Prod 2015",定性,experimental（联用鉴定）,同上,联用鉴定,25679337,10.1021/np5009416,2026-09-12,
3'-methoxydaidzein,21913-98-4,MUYAUELJBWQNDH-UHFFFAOYSA-N,Pueraria lobata,葛根,根,根靶向代谢定量（OMT4 生物合成研究，茎/叶显著低）,"Li J et al., Front Plant Sci 2016, PMC4937802",133.9±2.7 μg/g 干重（根）；茎/叶几乎无,experimental（靶向定量）,同上,靶向定量,—,https://pmc.ncbi.nlm.nih.gov/articles/PMC4937802/,2026-09-12,不得把属级来源下放为所有葛属物种/部位；证据=lobata 根与藤
biochanin A,491-80-5,WUADCCWRTIWANL-UHFFFAOYSA-N,Pueraria lobata,葛根,根,根 EtOAc 部位生物导向分离（含 biochanin A）,"Kim et al., Arch Pharm Res 2010",未给含量,experimental,市售标准品广泛可得（批次/纯度未人工核验）,直接分离,21052940,10.1007/s12272-010-1014-7,2026-09-12,
biochanin A,491-80-5,WUADCCWRTIWANL-UHFFFAOYSA-N,Pueraria lobata,葛根,根,根提取物 HPLC 检测,"Kumari et al., J Food Sci Technol 2015",7.245±5.82 μg/mL（鲜根 40% 乙醇）,experimental（分析检测）,同上,分析定量,25745227,10.1007/s13197-013-1112-x,2026-09-12,
biochanin A,491-80-5,WUADCCWRTIWANL-UHFFFAOYSA-N,Puerariae Radix,葛根,根,根 HPLC-MS 鉴定,Hirakura/Morita，Phytomedicine 2006,定性,experimental（分析鉴定）,同上,分析鉴定,17253303,10.1055/s-2006-957534,2026-09-12,红车轴草 Trifolium pratense 为更强天然来源（豆科广泛）
biochanin A,491-80-5,WUADCCWRTIWANL-UHFFFAOYSA-N,Morus alba,桑叶/桑白皮,—,本轮未找到 biochanin A 从 Morus 药用部位直接分离的可靠论文,—,—,database-only（检索未证实）,—,未证实,—,—,2026-09-12,禁止把豆科来源错标为桑来源
isorhamnetin,480-19-3,IZQSVPBOUDKVDZ-UHFFFAOYSA-N,（可靠食药源）Hippophae rhamnoides 果实；Ginkgo biloba 叶,沙棘果/银杏叶,果实/叶,大量文献与综述（本行=可靠来源记录）,综述 PMID 32502837（2020）,—,experimental（文献公认来源）,市售标准品广泛可得（批次/纯度未人工核验）,文献公认来源,32502837,https://pubmed.ncbi.nlm.nih.gov/32502837/,2026-09-12,
isorhamnetin,480-19-3,IZQSVPBOUDKVDZ-UHFFFAOYSA-N,Morus alba,桑叶（本项目库表标签）,叶,本轮未找到游离 isorhamnetin 从 Morus 桑叶/桑白皮/根皮/果实直接分离并定量的可靠原始论文,—（Morus 相关网页/专利为化学实体词典、混合提取物或引文偶合）,—,database-only（检索未证实）,—,未证实,—,—,2026-09-12,库表 source_herb_cn=桑叶 不能自动视为实验来源；桑叶已知黄酮为槲皮素/异槲皮苷/芦丁等，需与 isorhamnetin 区分
