source_assay,target_assay,n_shared_identity,n_shared_numeric_pair,source_is_canonical_or_mirror,target_is_canonical_or_mirror,core_metadata_comparable,comparability_reason,source_assay_format,target_assay_format,source_protein_layer,target_protein_layer
CHEMBL3888977,CHEMBL5733207,325,325,False,False,True,comparable_core_metadata,cell-based format,single protein format,cell_extract,cell_extract
CHEMBL3888977,CHEMBL5734012,1,1,False,False,True,comparable_core_metadata,cell-based format,assay format,cell_extract,cell_extract
CHEMBL5733207,CHEMBL5734012,1,1,False,False,True,comparable_core_metadata,single protein format,assay format,cell_extract,cell_extract
CHEMBL2169038,CHEMBL3705868,0,0,False,False,True,comparable_core_metadata,cell-based format,cell-based format,cell_extract,cell_extract
CHEMBL2169038,CHEMBL3888977,0,0,False,False,True,comparable_core_metadata,cell-based format,cell-based format,cell_extract,cell_extract
CHEMBL2169038,CHEMBL4418321,0,0,False,False,True,comparable_core_metadata,cell-based format,cell-based format,cell_extract,cell_extract
CHEMBL2169038,CHEMBL5733207,0,0,False,False,True,comparable_core_metadata,cell-based format,single protein format,cell_extract,cell_extract
CHEMBL2169038,CHEMBL5734012,0,0,False,False,True,comparable_core_metadata,cell-based format,assay format,cell_extract,cell_extract
CHEMBL3705868,CHEMBL3888977,0,0,False,False,True,comparable_core_metadata,cell-based format,cell-based format,cell_extract,cell_extract
CHEMBL3705868,CHEMBL4418321,0,0,False,False,True,comparable_core_metadata,cell-based format,cell-based format,cell_extract,cell_extract
CHEMBL3705868,CHEMBL5733207,0,0,False,False,True,comparable_core_metadata,cell-based format,single protein format,cell_extract,cell_extract
CHEMBL3705868,CHEMBL5734012,0,0,False,False,True,comparable_core_metadata,cell-based format,assay format,cell_extract,cell_extract
CHEMBL3888977,CHEMBL4418321,0,0,False,False,True,comparable_core_metadata,cell-based format,cell-based format,cell_extract,cell_extract
CHEMBL4123591,CHEMBL4402021,0,0,False,False,True,comparable_core_metadata,single protein format,single protein format,full_length,full_length
CHEMBL4123591,CHEMBL5730715,0,0,False,False,True,comparable_core_metadata,single protein format,cell-based format,full_length,full_length
CHEMBL4402021,CHEMBL5730715,0,0,False,False,True,comparable_core_metadata,single protein format,cell-based format,full_length,full_length
CHEMBL4418321,CHEMBL5733207,0,0,False,False,True,comparable_core_metadata,cell-based format,single protein format,cell_extract,cell_extract
CHEMBL4418321,CHEMBL5734012,0,0,False,False,True,comparable_core_metadata,cell-based format,assay format,cell_extract,cell_extract
CHEMBL5731051,CHEMBL5734379,89,89,True,True,False,assay_mirror_excluded,assay format,single protein format,full_length,full_length
CHEMBL2328957,CHEMBL3705868,17,17,False,False,False,protein_layer_mismatch,single protein format,cell-based format,unknown,cell_extract
CHEMBL4402021,CHEMBL4402023,17,17,False,False,False,protein_layer_mismatch,single protein format,cell-based format,full_length,unknown
CHEMBL1839595,CHEMBL4418321,10,10,False,False,False,protein_layer_mismatch,single protein format,cell-based format,unknown,cell_extract
CHEMBL3619925,CHEMBL5731051,6,6,False,True,False,assay_mirror_excluded,single protein format,assay format,unknown,full_length
CHEMBL3619925,CHEMBL5734379,6,6,False,True,False,assay_mirror_excluded,single protein format,single protein format,unknown,full_length
CHEMBL3619925,CHEMBL3619926,4,4,False,False,False,protein_layer_not_qualified,single protein format,single protein format,unknown,unknown
CHEMBL3619926,CHEMBL5731051,4,4,False,True,False,assay_mirror_excluded,single protein format,assay format,unknown,full_length
CHEMBL3619926,CHEMBL5734379,4,4,False,True,False,assay_mirror_excluded,single protein format,single protein format,unknown,full_length
CHEMBL4123591,CHEMBL5731051,3,3,False,True,False,assay_mirror_excluded,single protein format,assay format,full_length,full_length
CHEMBL4123591,CHEMBL5734379,3,3,False,True,False,assay_mirror_excluded,single protein format,single protein format,full_length,full_length
CHEMBL1839595,CHEMBL2169042,1,1,False,False,False,protein_layer_not_qualified,single protein format,cell-based format,unknown,unknown
CHEMBL1839595,CHEMBL4882378,1,1,False,False,False,protein_layer_not_qualified,single protein format,single protein format,unknown,unknown
CHEMBL1839595,CHEMBL4882379,1,1,False,False,False,protein_layer_not_qualified,single protein format,assay format,unknown,unknown
CHEMBL1839595,CHEMBL4882380,1,1,False,False,False,protein_layer_not_qualified,single protein format,cell-based format,unknown,unknown
CHEMBL1839595,CHEMBL5210219,1,1,False,False,False,protein_layer_not_qualified,single protein format,assay format,unknown,unknown
CHEMBL1839595,CHEMBL5210491,1,1,False,False,False,protein_layer_not_qualified,single protein format,single protein format,unknown,unknown
