molecule_id,canonical_smiles,pActivity_calc,scaffold,year_num,assay_id,assay_format,construct,assay_description,scope_note
CHEMBL1093743,CCCCC/C=C\C=C\CCCCCCCCC(=O)O,4.0,CCCCC/C=C\C=C\CCCCCCCCC(=O)O,2011,CHEMBL2169038,cell-based format,not_reported_in_ChEMBL_activity_record,Inhibition of FASN in human SKBR3 cells,"all exact nM IC50; heterogeneous assay family; sensitivity only, not a release dataset"
CHEMBL1219,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,4.2839966563652006,c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1,2015,CHEMBL3411198,single protein format,not_reported_in_ChEMBL_activity_record,Inhibition of purified recombinant FASN TE activity (unknown origin) using 4-MUH as substrate preincubated for 30 mins before substrate addition measured after 1 hr by fluorescence assay,"all exact nM IC50; heterogeneous assay family; sensitivity only, not a release dataset"
CHEMBL1256379,O=C(c1cccc(O)c1)c1cc(O)c(O)c(O)c1,4.830913642512977,O=C(c1ccccc1)c1ccccc1,2010,CHEMBL1260142,single protein format,not_reported_in_ChEMBL_activity_record,Inhibition of FAS,"all exact nM IC50; heterogeneous assay family; sensitivity only, not a release dataset"
CHEMBL1256380,O=C(c1cc(O)cc(O)c1)c1c(O)cc(O)cc1O,5.066006836168758,O=C(c1ccccc1)c1ccccc1,2010,CHEMBL1260142,single protein format,not_reported_in_ChEMBL_activity_record,Inhibition of FAS,"all exact nM IC50; heterogeneous assay family; sensitivity only, not a release dataset"
CHEMBL1257642,C[C@@H]1O[C@@H](O[C@@H]2C(=O)c3c(O)cc(O)cc3O[C@H]2c2cc(O)cc(O)c2)[C@H](O)[C@H](O)[C@H]1O,4.308388125785584,O=C1c2ccccc2OC(c2ccccc2)C1OC1CCCCO1,2010,CHEMBL1260142,single protein format,not_reported_in_ChEMBL_activity_record,Inhibition of FAS,"all exact nM IC50; heterogeneous assay family; sensitivity only, not a release dataset"
CHEMBL1502,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,4.441291429466834,c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1,2015,CHEMBL3411198,single protein format,not_reported_in_ChEMBL_activity_record,Inhibition of purified recombinant FASN TE activity (unknown origin) using 4-MUH as substrate preincubated for 30 mins before substrate addition measured after 1 hr by fluorescence assay,"all exact nM IC50; heterogeneous assay family; sensitivity only, not a release dataset"
CHEMBL1503,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,4.528708288941061,c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1,2015,CHEMBL3411198,single protein format,not_reported_in_ChEMBL_activity_record,Inhibition of purified recombinant FASN TE activity (unknown origin) using 4-MUH as substrate preincubated for 30 mins before substrate addition measured after 1 hr by fluorescence assay,"all exact nM IC50; heterogeneous assay family; sensitivity only, not a release dataset"
CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,4.204119982655925,O=c1cc(-c2ccccc2)oc2ccccc12,2006,CHEMBL862461,single protein format,not_reported_in_ChEMBL_activity_record,Inhibition of FAS,"all exact nM IC50; heterogeneous assay family; sensitivity only, not a release dataset"
CHEMBL175247,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,4.513461485534417,O=C1CCO1,2015,CHEMBL3411205;CHEMBL4020854,cell-based format,not_reported_in_ChEMBL_activity_record,Inhibition of FASN in human PANC1 cells assessed as inhibition of [14C]acetate incorporation preincubated for 4 hrs before [14C]acetate addition measured after 2 hrs by scintillation counting,"all exact nM IC50; heterogeneous assay family; sensitivity only, not a release dataset"
CHEMBL1834044,CC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3ccccc3)cc2)C1,6.318758762624412,O=C(Nc1ccc(-c2ccccc2)cc1)C1CCCC1,2011,CHEMBL1839595,single protein format,not_reported_in_ChEMBL_activity_record,Inhibition of human FAS assessed as synthesis of long chain fatty acids from malonyl CoA after 60 mins by fluorescence assay,"all exact nM IC50; heterogeneous assay family; sensitivity only, not a release dataset"
