assay_id,records,distinct_molecules,distinct_documents,activity_types,units,assay_format,family,document_years,description
CHEMBL3705868,444,442,1,IC50,nM,cell-based format,cell_extract,2014,"Biochemical Assay: The FASN enzyme was isolated from SKBr3 cells. SKBr3 is a human breast cancer cell-line with high levels of FASN expression. It is estimated that FASN comprises about 25% of the cytosolic proteins in this cell line. SKBr3 cells were homogenized in a dounce homogenizer then centrifuged for 15 minutes at 4C. to remove particulate matter. The supernatant was then analyzed for protein content, diluted to the appropriate concentration, and used to measure FASN activity. The presence of FASN was confirmed by western blot analysis. A similar method for isolation of FASN from SKBr3 cells is described in Teresa, P. et al. (Clin. Cancer Res. 2009; 15(24), 7608-7615).FASN activity of the SKBr3 cell extract was determined by measuring either NADPH oxidation or the amount of thiol-containing coenzyme A (CoA) released during the fatty acid synthase reaction. The dye CPM (7-diethylamino-3-(4Ã¢-maleimidyl-phenyl)-4-methylcoumarin) contains a thiol reactive group that increases its fluorescence emission."
CHEMBL3888977,338,334,1,IC50,nM,cell-based format,cell_extract,2016,"Biochemical Assay: The FASN enzyme was isolated from SKBr3 cells. SKBr3 is a human breast cancer cell-line with high levels of FASN expression. It is estimated that FASN comprises about 25% of the cytosolic proteins in this cell line. SKBr3 cells were homogenized in a dounce homogenizer then centrifuged for 15 minutes at 4° C. to remove particulate matter. The supernatant was then analyzed for protein content, diluted to the appropriate concentration, and used to measure FASN activity. The presence of FASN was confirmed by western blot analysis. A similar method for isolation of FASN from SKBr3 cells is described in Teresa, P. et al. (Clin. Cancer Res. 2009; 15(24), 7608-7615). FASN activity of the SKBr3 cell extract was determined by measuring either NADPH oxidation or the amount of thiol-containing coenzyme A (CoA) released during the fatty acid synthase reaction. The dye CPM (7-diethylamino-3-(4'-maleimidyl-phenyl)-4-methylcoumarin) contains a thiol reactive group that increases its fluorescence emission on reaction with the sulfhydryl group of CoA."
CHEMBL5733207,338,335,1,IC50,nM,single protein format,cell_extract,2019,"FASN Inhibition: FASN activity of the SKBr3 cell extract was determined by measuring either NADPH oxidation or the amount of thiol-containing coenzyme A (CoA) released during the fatty acid synthase reaction. The dye CPM (7-diethylamino-3-(4′-maleimidyl-phenyl)-4-methylcoumarin) contains a thiol reactive group that increases its fluorescence emission on reaction with the sulfhydryl group of CoA. The biochemical activities shown in TABLE 31 were determined using the fluorescence measurement of CoA release via a procedure described in Chung C. C. et al. (Assay and Drug Development Technologies, 2008, 6(3), 361-374)."
CHEMBL5731051,97,96,1,IC50,nM,assay format,full_length_stated,2017,"Fatty Acid Synthase (FASN) Inhibition Scintillation Proximity Assay: In this assay, inhibition of FASN activity is measured using 3H-acetyl-CoA and malonyl-CoA as substrates. 3H-Acetyl CoA is converted to 3H-palmitate through a series of reactions by the FASN protein, which contains 7 functional domains and carries out 7 enzymatic reactions to ultimately produce 3H-palmitate. The assay principle is based upon the fact that 3H-acetyl-CoA is hydrophilic and the end product, 3H-palmitate is hydrophobic. The hydrophobic 3H-palmitate binds to scintillation proximity assay (SPA) imaging beads (resulting in light emission from the imaging beads) whereas the hydrophilic 3H-acetyl-CoA does not bind to the imaging beads (and therefore does not result in light emission from the imaging beads).10 μL assay buffer (100 mM KH2PO4 pH 7.5, 1 mM DTT) (20 μL in blanks) was added to a 384-well white Opti Plate plate (Perkin Elmer). 0.9 μL test compound (at concentrations of 30 μM, 10 μM, 3 μM, 1 μM, 0.30 μM, 0.10 μM, 0.03 μM and 0.01 μM)/DMSO and 10 μL hFASN enzyme (full length, 300 ng, purified in house) or 10 μL assay buffer was added to the wells. Then 10 μL 450 μM NADPH (Sigma N7505), 18.75 μM [3H]-acetyl-CoA (Perkin Elmer NET-290L), 150 μM malonyl-CoA (Sigma M4263) were added, mixed and incubated at room temperature for 60 minutes. The reaction was stopped by adding 20 μL Streptavidin coupled imaging beads (25 mg/ml). After incubation for 30 minutes at room temperature in the dark, the 384 well plate was centrifuged at 1500 rpm for 3 minutes and was measured after at least 24 hrs by the LEADseeker, measuring emission using a 610±20 nm pass filter. (Bays, N. W., et al., A simplified scintillation proximity assay for fatty acid synthase activity: development and comparison with other FAS activity assays, J. Biomol. Screen., 2009, pp 636-642, Vol. 14(6).)Raw data generated by the instrument were normalized to % Controlmin values, which were calculated as: % Controlmin=100*(x−mLC)/(mHC−mLC)where mLC and mHC were the means of the low control wells and high control wells on the plate, after manual exclusion of outliers. A plot of Controlmin versus test compound concentration was fitted to a 4-parameter logistic curve using a non-linear least squares regression method. From the plot, an IC50 (concentration at which 50% inhibition is achieved) was calculated. pIC50 values were calculated as −log(IC50), when IC50 is expressed in molar units."
CHEMBL5734379,97,96,1,IC50,nM,single protein format,full_length_stated,2019,"Inhibition Scintillation Proximity Assay: In this assay, inhibition of FASN activity is measured using 3H-acetyl-CoA and malonyl-CoA as substrates. 3H-Acetyl CoA is converted to 3H-palmitate through a series of reactions by the FASN protein, which contains 7 functional domains and carries out 7 enzymatic reactions to ultimately produce 3H-palmitate. The assay principle is based upon the fact that 3H-acetyl-CoA is hydrophilic and the end product, 3H-palmitate is hydrophobic. The hydrophobic 3H-palmitate binds to scintillation proximity assay (SPA) imaging beads (resulting in light emission from the imaging beads) whereas the hydrophilic 3H-acetyl-CoA does not bind to the imaging beads (and therefore does not result in light emission from the imaging beads).10 μL assay buffer (100 mM KH2PO4 pH 7.5, 1 mM DTT) (20 μL in blanks) was added to a 384-well white OptiPlate plate (Perkin Elmer). 0.9 μL test compound (at concentrations of 30 μM, 10 μM, 3 μM, 1 μM, 0.30 μM, 0.10 μM, 0.03 μM and 0.01 μM)/DMSO and 10 μL hFASN enzyme (full length, 300 ng, purified in house) or 10 μL assay buffer was added to the wells. Then 10 μL 450 μM NADPH (Sigma N7505), 18.75 μM [3H]-acetyl-CoA (Perkin Elmer NET-290L), 150 μM malonyl-CoA (Sigma M4263) were added, mixed and incubated at room temperature for 60 minutes. The reaction was stopped by adding 20 μL Streptavidin coupled imaging beads (25 mg/ml). After incubation for 30 minutes at room temperature in the dark, the 384 well plate was centrifuged at 1500 rpm for 3 minutes and was measured after at least 24 hrs by the LEADseeker, measuring emission using a 610±20 nm pass filter."
CHEMBL4123591,45,45,1,IC50,nM,single protein format,full_length_stated,2018,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay
CHEMBL5730715,37,37,1,IC50,nM,cell-based format,full_length_stated,2017,"Biochemical Assay of FASN: The biochemical FASN activity testing was performed as 384 well two-time-point kinetic fluorescence intensity assay format in Greiner low volume medium binding 384-well black microtiter plates in a total assay volume of 8 μl and was used for high throughput screen. In each well 3 μl 40 nM human recombinant full-length fatty acid synthase (produced in-house in SF9 cells) were dispensed in the following assay buffer: 50 mM potassium phosphate buffer pH 7.0, 0.005% (w/v) BSA, 2 mM Glutathione, 0.02% Tween-20. Then 2 μl of 200 μM NADPH in assay buffer were added, followed by the addition of the test compounds in 10 dilution concentrations starting with 30 μM (final concentration) to get a final DMSO content of 1% (v/v). The mixture was incubated for at least 15 min at room temperature. After the pre-incubation the enzymatic reaction was started by the addition of 2 μl substrate solution (80 μM acetyl-CoA, 240 μM malonyl-CoA). A first fluorescence intensity measurement (time point one) was performed with an Envision multimode reader (Perkin Elmer LAS Germany GmbH) at excitation wavelength 340 nm (lamp mode) and emission wavelength 460 nm. The reaction was incubated for 30 minutes at room temperature. After this the fluorescence intensity was measured again in the Envision using the same parameters as described above (second time point measurement). The data were analysed by subtracting the first time point measurement value from the second time point measurement value (after the enzymatic reaction). The differences of the emission signals were determined. These reflect directly the conversion rate of NADPH. The full value used was the inhibitor-free reaction. A pharmacological zero value was used like GSK837149A (Sigma-Aldrich) in a final concentration of 5-10 μM. The inhibitory values (IC50) were determined using either the program Symyx Assay Explorer® or Condosseo® from GeneData."
CHEMBL4402021,26,26,1,IC50,nM,single protein format,full_length_stated,2019,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH
CHEMBL1839595,23,23,1,IC50,nM,single protein format,other_or_unknown,2011,Inhibition of human FAS assessed as synthesis of long chain fatty acids from malonyl CoA after 60 mins by fluorescence assay
CHEMBL2328957,19,19,1,IC50,nM,single protein format,other_or_unknown,2013,Inhibition of human FASN assessed as release of co-enzyme A
CHEMBL4402023,17,17,1,IC50,nM,cell-based format,other_or_unknown,2019,Inhibition of FASN in human BT474 cells preincubated for 1 hr followed by [14C]-acetate addition and measured after 4 hrs by scintillation counting assay
CHEMBL869274,15,15,1,IC50,nM,single protein format,other_or_unknown,2006,Inhibition of human FAS
CHEMBL828726,13,11,1,IC50,ug.mL-1,cell-based format,other_or_unknown,2005,Inhibitory concentration against purified human fatty acid synthase activity in ZR-75-1 breast cancer cells
CHEMBL4020854,13,13,1,IC50,nM,single protein format,TE_domain,2017,Inhibition of human FAS thioster domain preincubated for 30 mins followed by 4-methylumbelliferyl heptanoate substrate addition measured every 5 mins for 60 mins by fluorescence assay
CHEMBL862461,12,12,1,IC50,nM,single protein format,other_or_unknown,2006,Inhibition of FAS
CHEMBL1260142,12,12,1,IC50,nM,single protein format,other_or_unknown,2010,Inhibition of FAS
CHEMBL3706007,12,12,1,IC50,nM,single protein format,other_or_unknown,2014,"Biological Assay: Assay #1:Inhibition of FAS activity can be measured based on the detection of residual NADPH substrate after the FAS assay is quenched. This assay is run as a 10 uL endpoint assay in 384-well format, where the reaction contains 20 uM malonyl-CoA, 2 uM acetyl-CoA, 30 uM NADPH and 40 nM FAS in 50 mM sodium phosphate, pH 7.0. The assay is run by sequentially dispensing 5 ul of a malonyl-CoA solution, then enzyme solution (containing the acetyl-CoA, and NADPH) into a black, low volume assay plate (Greiner 784076) pre-dispensed with 100 nL compound solutions in DMSO. The reaction is incubated at ambient temperature for 60 minutes, then quenched with 5 uL of a developing solution composed of 90 uM resazurin, 0.3 IU/ml diaphorase in 50 mM sodium phosphate, pH 7.0. The developed reaction is read on a Molecular Devices Analyst or Acquest (or equivalent) plate reader using a 530 nm excitation wavelength filter, a 580 nm emission filter, and 561 nm dichroic filter."
CHEMBL4418321,11,11,1,IC50,nM,cell-based format,cell_extract,2017,Inhibition of human HeLa cell derived FAS preincubated for 60 mins in presence of acetyl coenzyme A and NADPH followed by malonyl coenzyme A addition and measured after 10 mins by fluorescence method
CHEMBL682484,11,9,1,Ki,nM,single protein format,other_or_unknown,2004,Inhibition constant against Escherichia coli cyclopropane fatty acid synthase
CHEMBL3411198,8,4,1,IC50;Ki,nM,single protein format,TE_domain,2015,Inhibition of purified recombinant FASN TE activity (unknown origin) using 4-MUH as substrate preincubated for 30 mins before substrate addition measured after 1 hr by fluorescence assay
CHEMBL5734012,8,8,1,IC50,nM,assay format,cell_extract,2018,"Biochemical Activity Assay: The FASN enzyme was isolated from SKBr3 cells. SKBr3 is a human breast cancer cell-line with high levels of FASN expression. It is estimated that FASN comprises about 25% of the cytosolic proteins in this cell line. SKBr3 cells were homogenized in a dounce homogenizer then centrifuged for 15 minutes at 4° C. to remove particulate matter. The supernatant was then analyzed for protein content, diluted to the appropriate concentration, and used to measure FASN activity. The presence of FASN was confirmed by western blot analysis. ASN activity of the SKBr3 cell extract was determined by measuring either NADPH oxidation or the amount of thiol-containing coenzyme A (CoA) released during the fatty acid synthase reaction. The dye CPM (7-diethylamino-3-(4′-maleimidyl-phenyl)-4-methylcoumarin) contains a thiol reactive group that increases its fluorescence emission on reaction with the sulfhydryl group of CoA. CoA is a byproduct of the FASN reaction, 8 molecules of CoA are released for every molecule of palmitate produced. Reaction of the CoA thiol group with CPM results in fluorescence emission at 405/530 nM."
CHEMBL3619925,6,6,1,IC50,nM,single protein format,other_or_unknown,2015,Inhibition of fatty acid synthase (unknown origin) by scintillation proximity assay
CHEMBL3625457,6,6,1,IC50,nM,single protein format,other_or_unknown,2015,Inhibition of fatty acid synthase (unknown origin)
CHEMBL3619926,4,4,1,IC50,nM,single protein format,other_or_unknown,2015,Inhibition of fatty acid synthase keto-reductase domain (unknown origin)
CHEMBL2150656,3,3,1,IC50,nM,single protein format,other_or_unknown,2012,Inhibition of fatty acid synthase
CHEMBL2169026,3,3,1,IC50,nM,single protein format,other_or_unknown,2011,Inhibition of human recombinant FASN thioesterase domain
CHEMBL4020860,3,3,1,IC50,nM,single protein format,TE_domain,2017,Inhibition of FAS thioster domain (unknown origin)
CHEMBL863392,2,2,1,IC50,nM,single protein format,other_or_unknown,2006,Inhibitory activity against human FAS1
CHEMBL2169045,2,2,1,IC50,nM,cell-based format,other_or_unknown,2011,Inhibition of FASN in human HepG2 cells
CHEMBL2169042,2,2,1,IC50,nM,cell-based format,other_or_unknown,2011,Inhibition of FASN in human A375 cells
CHEMBL3411205,2,2,1,IC50,nM,cell-based format,other_or_unknown,2015,Inhibition of FASN in human PANC1 cells assessed as inhibition of [14C]acetate incorporation preincubated for 4 hrs before [14C]acetate addition measured after 2 hrs by scintillation counting
CHEMBL3625458,2,2,1,IC50,nM,single protein format,KR_domain,2015,Inhibition of fatty acid synthase KR domain (unknown origin)
