n,mae,rmse,r2,spearman,roc_auc_at_pActivity_6,pr_auc_at_pActivity_6,scope,split,model,seed,test_size,train_n,test_n,train_scaffolds,test_scaffolds,split_group,cutoff_year,train_years,test_years,note
21,0.3981883660275325,0.5426287046900791,0.07157097738106433,0.6478232618583496,0.8421052631578947,0.9844611528822054,spa_family,random,descriptor_rf,20260912.0,0.2,82,21,40.0,17.0,molecule_id,,,,
21,0.34894238800944977,0.4287395738486455,0.42039740122149016,0.7690809109747806,0.9210526315789473,0.9916743613419512,spa_family,random,ecfp_rf,20260912.0,0.2,82,21,40.0,17.0,molecule_id,,,,
21,0.2684653000271447,0.32661009104065014,0.663641522843986,0.8320883842556537,0.9473684210526315,0.9949874686716789,spa_family,random,ecfp_ridge,20260912.0,0.2,82,21,40.0,17.0,molecule_id,,,,
21,0.19861484728676185,0.2672010774784396,0.7748771436994475,0.8652160248466284,0.9473684210526315,0.9949874686716789,spa_family,random,ecfp_xgb,20260912.0,0.2,82,21,40.0,17.0,molecule_id,,,,
21,0.5695242041613042,0.6228650924891137,-0.22329489838684569,,0.5,0.9047619047619048,spa_family,random,mean,20260912.0,0.2,82,21,40.0,17.0,molecule_id,,,,
21,0.5194648329643081,0.5884133136564964,-0.09171219472625358,,0.5,0.9047619047619048,spa_family,random,median,20260912.0,0.2,82,21,40.0,17.0,molecule_id,,,,
18,0.5196222991639954,0.6513133250738814,0.22498534153696703,0.5253363719049804,0.6964285714285714,0.8923131432060002,spa_family,scaffold,descriptor_rf,20260912.0,0.2,85,18,32.0,8.0,scaffold,,,,
18,0.5492820614552725,0.6595331351707701,0.20529997073760808,0.6363636363636365,0.625,0.8767354785737138,spa_family,scaffold,ecfp_rf,20260912.0,0.2,85,18,32.0,8.0,scaffold,,,,
18,0.3739072971382346,0.5470662855861695,0.4532234353372139,0.7520661157024794,0.8392857142857142,0.9527878983761336,spa_family,scaffold,ecfp_ridge,20260912.0,0.2,85,18,32.0,8.0,scaffold,,,,
18,0.5645156912906875,0.6786323102129731,0.1586066877467277,0.5289256198347108,0.5714285714285714,0.8439236358879216,spa_family,scaffold,ecfp_xgb,20260912.0,0.2,85,18,32.0,8.0,scaffold,,,,
18,0.6049564235603477,0.7399450802139544,-0.00029699438958430413,,0.5,0.7777777777777778,spa_family,scaffold,mean,20260912.0,0.2,85,18,32.0,8.0,scaffold,,,,
18,0.5861088329356515,0.7462405234627577,-0.017390429721930944,,0.5,0.7777777777777778,spa_family,scaffold,median,20260912.0,0.2,85,18,32.0,8.0,scaffold,,,,
42,0.43938910708423795,0.5343475548115334,0.6169225428479401,0.7547751830830363,0.9388888888888889,0.9766155099380905,full_length_stated,random,descriptor_rf,20260912.0,0.2,166,42,95.0,30.0,molecule_id,,,,
42,0.4171611595822291,0.5438797187644672,0.6031332892179013,0.8167850689419921,0.9777777777777779,0.9909537000818981,full_length_stated,random,ecfp_rf,20260912.0,0.2,166,42,95.0,30.0,molecule_id,,,,
