n,mae,rmse,r2,spearman,roc_auc_at_pActivity_6,pr_auc_at_pActivity_6,scope,split,model,seed,train_n,test_n,train_scaffolds,test_scaffolds,split_group,cutoff_year,train_years,test_years,note
20,0.5121214555654371,0.6535184380553815,-0.02165434217767581,,0.5,0.85,canonical_single_assay,random,mean,20260912,76,20,36.0,15.0,molecule_id,,,,
20,0.5454629966027078,0.7000776382662517,-0.17241321901507578,,0.5,0.85,canonical_single_assay,random,median,20260912,76,20,36.0,15.0,molecule_id,,,,
20,0.3882594763522239,0.4773553213176957,0.45490546052120917,0.7203613607674677,0.9117647058823528,0.984640522875817,canonical_single_assay,random,descriptor_rf,20260912,76,20,36.0,15.0,molecule_id,,,,
20,0.41491076174917146,0.5095932676690053,0.37879397582812346,0.7333584572776162,0.9607843137254902,0.9938080495356038,canonical_single_assay,random,ecfp_rf,20260912,76,20,36.0,15.0,molecule_id,,,,
20,0.30922232384980464,0.37746363044849024,0.6591694461426346,0.8815344737737089,0.8627450980392157,0.9777201076509036,canonical_single_assay,random,ecfp_ridge,20260912,76,20,36.0,15.0,molecule_id,,,,
20,0.29227204804312534,0.35101468227362415,0.70526014866103,0.9078601619836745,0.9019607843137256,0.9840397923875432,canonical_single_assay,random,ecfp_xgb,20260912,76,20,36.0,15.0,molecule_id,,,,
18,0.5786285519217317,0.7054389206578814,-0.016005174635312258,,0.5,0.8333333333333334,canonical_single_assay,scaffold,mean,20260912,78,18,31.0,8.0,scaffold,,,,
18,0.5406593783341056,0.7001634164638667,-0.0008659536244501886,,0.5,0.8333333333333334,canonical_single_assay,scaffold,median,20260912,78,18,31.0,8.0,scaffold,,,,
18,0.49864689837806137,0.631172966945325,0.18665675235733603,0.4562870929362303,0.8333333333333333,0.962142857142857,canonical_single_assay,scaffold,descriptor_rf,20260912,78,18,31.0,8.0,scaffold,,,,
18,0.4868879379146378,0.6090554553084434,0.24266023437845907,0.5830753353973168,0.8222222222222222,0.9654108309990662,canonical_single_assay,scaffold,ecfp_rf,20260912,78,18,31.0,8.0,scaffold,,,,
18,0.23508575302974843,0.30059918435463845,0.815518559309874,0.8039215686274509,1.0,1.0,canonical_single_assay,scaffold,ecfp_ridge,20260912,78,18,31.0,8.0,scaffold,,,,
18,0.35913026827934225,0.4634779360336878,0.561433742843203,0.7192982456140351,0.9333333333333333,0.9877124183006536,canonical_single_assay,scaffold,ecfp_xgb,20260912,78,18,31.0,8.0,scaffold,,,,
20,0.5619000249920758,0.6459270977712165,-0.046627838445158165,,0.5,0.9,canonical_single_assay,random,mean,20260913,76,20,34.0,16.0,molecule_id,,,,
20,0.5217061184211929,0.6323920112965012,-0.0032242547604939276,,0.5,0.9,canonical_single_assay,random,median,20260913,76,20,34.0,16.0,molecule_id,,,,
20,0.37424672382000707,0.4732420825381971,0.4381867377347133,0.6596465302897122,0.9444444444444444,0.9939896036387265,canonical_single_assay,random,descriptor_rf,20260913,76,20,34.0,16.0,molecule_id,,,,
20,0.40670072236452803,0.515109200211801,0.3343837947432212,0.7654135338345864,0.8055555555555556,0.9781525914459352,canonical_single_assay,random,ecfp_rf,20260913,76,20,34.0,16.0,molecule_id,,,,
