molecule_id,canonical_smiles,pActivity_calc,scaffold,document_year,assay_id,assay_format,construct,assay_description,scope
CHEMBL3617741,CC1(C)N=C(c2ccc(-c3ccc4[nH]ccc4c3)cc2)N(C[C@@H]2CCN(C(=O)C3CC3)C2)C1=O,7.319664486585437,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc4[nH]ccc4c3)cc2)C1,2017,CHEMBL5731051,assay format,full_length_human_FASN_stated_in_assay_description,"Fatty Acid Synthase (FASN) Inhibition Scintillation Proximity Assay: In this assay, inhibition of FASN activity is measured using 3H-acetyl-CoA and malonyl-CoA as substrates. 3H-Acetyl CoA is converted to 3H-palmitate through a series of reactions by the FASN protein, which contains 7 functional domains and carries out 7 enzymatic reactions to ultimately produce 3H-palmitate. The assay principle is based upon the fact that 3H-acetyl-CoA is hydrophilic and the end product, 3H-palmitate is hydrophobic. The hydrophobic 3H-palmitate binds to scintillation proximity assay (SPA) imaging beads (resulting in light emission from the imaging beads) whereas the hydrophilic 3H-acetyl-CoA does not bind to the imaging beads (and therefore does not result in light emission from the imaging beads).10 μL assay buffer (100 mM KH2PO4 pH 7.5, 1 mM DTT) (20 μL in blanks) was added to a 384-well white Opti Plate plate (Perkin Elmer). 0.9 μL test compound (at concentrations of 30 μM, 10 μM, 3 μM, 1 μM, 0.30 μM, 0.10 μM, 0.03 μM and 0.01 μM)/DMSO and 10 μL hFASN enzyme (full length, 300 ng, purified in house) or 10 μL assay buffer was added to the wells. Then 10 μL 450 μM NADPH (Sigma N7505), 18.75 μM [3H]-acetyl-CoA (Perkin Elmer NET-290L), 150 μM malonyl-CoA (Sigma M4263) were added, mixed and incubated at room temperature for 60 minutes. The reaction was stopped by adding 20 μL Streptavidin coupled imaging beads (25 mg/ml). After incubation for 30 minutes at room temperature in the dark, the 384 well plate was centrifuged at 1500 rpm for 3 minutes and was measured after at least 24 hrs by the LEADseeker, measuring emission using a 610±20 nm pass filter. (Bays, N. W., et al., A simplified scintillation proximity assay for fatty acid synthase activity: development and comparison with other FAS activity assays, J. Biomol. Screen., 2009, pp 636-642, Vol. 14(6).)Raw data generated by the instrument were normalized to % Controlmin values, which were calculated as: % Controlmin=100*(x−mLC)/(mHC−mLC)where mLC and mHC were the means of the low control wells and high control wells on the plate, after manual exclusion of outliers. A plot of Controlmin versus test compound concentration was fitted to a 4-parameter logistic curve using a non-linear least squares regression method. From the plot, an IC50 (concentration at which 50% inhibition is achieved) was calculated. pIC50 values were calculated as −log(IC50), when IC50 is expressed in molar units.",canonical_single_assay_CHEMBL5731051
CHEMBL3617742,CC1(C)N=C(c2ccc(-c3ccc4cccnc4c3)cc2)N(C[C@@H]2CCN(C(=O)C3CC3)C2)C1=O,7.250263684430939,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc4cccnc4c3)cc2)C1,2017,CHEMBL5731051,assay format,full_length_human_FASN_stated_in_assay_description,"Fatty Acid Synthase (FASN) Inhibition Scintillation Proximity Assay: In this assay, inhibition of FASN activity is measured using 3H-acetyl-CoA and malonyl-CoA as substrates. 3H-Acetyl CoA is converted to 3H-palmitate through a series of reactions by the FASN protein, which contains 7 functional domains and carries out 7 enzymatic reactions to ultimately produce 3H-palmitate. The assay principle is based upon the fact that 3H-acetyl-CoA is hydrophilic and the end product, 3H-palmitate is hydrophobic. The hydrophobic 3H-palmitate binds to scintillation proximity assay (SPA) imaging beads (resulting in light emission from the imaging beads) whereas the hydrophilic 3H-acetyl-CoA does not bind to the imaging beads (and therefore does not result in light emission from the imaging beads).10 μL assay buffer (100 mM KH2PO4 pH 7.5, 1 mM DTT) (20 μL in blanks) was added to a 384-well white Opti Plate plate (Perkin Elmer). 0.9 μL test compound (at concentrations of 30 μM, 10 μM, 3 μM, 1 μM, 0.30 μM, 0.10 μM, 0.03 μM and 0.01 μM)/DMSO and 10 μL hFASN enzyme (full length, 300 ng, purified in house) or 10 μL assay buffer was added to the wells. Then 10 μL 450 μM NADPH (Sigma N7505), 18.75 μM [3H]-acetyl-CoA (Perkin Elmer NET-290L), 150 μM malonyl-CoA (Sigma M4263) were added, mixed and incubated at room temperature for 60 minutes. The reaction was stopped by adding 20 μL Streptavidin coupled imaging beads (25 mg/ml). After incubation for 30 minutes at room temperature in the dark, the 384 well plate was centrifuged at 1500 rpm for 3 minutes and was measured after at least 24 hrs by the LEADseeker, measuring emission using a 610±20 nm pass filter. (Bays, N. W., et al., A simplified scintillation proximity assay for fatty acid synthase activity: development and comparison with other FAS activity assays, J. Biomol. Screen., 2009, pp 636-642, Vol. 14(6).)Raw data generated by the instrument were normalized to % Controlmin values, which were calculated as: % Controlmin=100*(x−mLC)/(mHC−mLC)where mLC and mHC were the means of the low control wells and high control wells on the plate, after manual exclusion of outliers. A plot of Controlmin versus test compound concentration was fitted to a 4-parameter logistic curve using a non-linear least squares regression method. From the plot, an IC50 (concentration at which 50% inhibition is achieved) was calculated. pIC50 values were calculated as −log(IC50), when IC50 is expressed in molar units.",canonical_single_assay_CHEMBL5731051
CHEMBL3617743,CC1(C)N=C(c2ccc(-c3ccc4cccc(F)c4c3)cc2)N(CC2CN(C(=O)C3CC3)C2)C1=O,6.749579997691106,O=C(C1CC1)N1CC(CN2C(=O)CN=C2c2ccc(-c3ccc4ccccc4c3)cc2)C1,2017,CHEMBL5731051,assay format,full_length_human_FASN_stated_in_assay_description,"Fatty Acid Synthase (FASN) Inhibition Scintillation Proximity Assay: In this assay, inhibition of FASN activity is measured using 3H-acetyl-CoA and malonyl-CoA as substrates. 3H-Acetyl CoA is converted to 3H-palmitate through a series of reactions by the FASN protein, which contains 7 functional domains and carries out 7 enzymatic reactions to ultimately produce 3H-palmitate. The assay principle is based upon the fact that 3H-acetyl-CoA is hydrophilic and the end product, 3H-palmitate is hydrophobic. The hydrophobic 3H-palmitate binds to scintillation proximity assay (SPA) imaging beads (resulting in light emission from the imaging beads) whereas the hydrophilic 3H-acetyl-CoA does not bind to the imaging beads (and therefore does not result in light emission from the imaging beads).10 μL assay buffer (100 mM KH2PO4 pH 7.5, 1 mM DTT) (20 μL in blanks) was added to a 384-well white Opti Plate plate (Perkin Elmer). 0.9 μL test compound (at concentrations of 30 μM, 10 μM, 3 μM, 1 μM, 0.30 μM, 0.10 μM, 0.03 μM and 0.01 μM)/DMSO and 10 μL hFASN enzyme (full length, 300 ng, purified in house) or 10 μL assay buffer was added to the wells. Then 10 μL 450 μM NADPH (Sigma N7505), 18.75 μM [3H]-acetyl-CoA (Perkin Elmer NET-290L), 150 μM malonyl-CoA (Sigma M4263) were added, mixed and incubated at room temperature for 60 minutes. The reaction was stopped by adding 20 μL Streptavidin coupled imaging beads (25 mg/ml). After incubation for 30 minutes at room temperature in the dark, the 384 well plate was centrifuged at 1500 rpm for 3 minutes and was measured after at least 24 hrs by the LEADseeker, measuring emission using a 610±20 nm pass filter. (Bays, N. W., et al., A simplified scintillation proximity assay for fatty acid synthase activity: development and comparison with other FAS activity assays, J. Biomol. Screen., 2009, pp 636-642, Vol. 14(6).)Raw data generated by the instrument were normalized to % Controlmin values, which were calculated as: % Controlmin=100*(x−mLC)/(mHC−mLC)where mLC and mHC were the means of the low control wells and high control wells on the plate, after manual exclusion of outliers. A plot of Controlmin versus test compound concentration was fitted to a 4-parameter logistic curve using a non-linear least squares regression method. From the plot, an IC50 (concentration at which 50% inhibition is achieved) was calculated. pIC50 values were calculated as −log(IC50), when IC50 is expressed in molar units.",canonical_single_assay_CHEMBL5731051
CHEMBL3617744,Cn1ncc2cc(-c3ccc(C4=NC(C)(C)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)c(F)c3)ccc21,7.0301183562535,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,2017,CHEMBL5731051,assay format,full_length_human_FASN_stated_in_assay_description,"Fatty Acid Synthase (FASN) Inhibition Scintillation Proximity Assay: In this assay, inhibition of FASN activity is measured using 3H-acetyl-CoA and malonyl-CoA as substrates. 3H-Acetyl CoA is converted to 3H-palmitate through a series of reactions by the FASN protein, which contains 7 functional domains and carries out 7 enzymatic reactions to ultimately produce 3H-palmitate. The assay principle is based upon the fact that 3H-acetyl-CoA is hydrophilic and the end product, 3H-palmitate is hydrophobic. The hydrophobic 3H-palmitate binds to scintillation proximity assay (SPA) imaging beads (resulting in light emission from the imaging beads) whereas the hydrophilic 3H-acetyl-CoA does not bind to the imaging beads (and therefore does not result in light emission from the imaging beads).10 μL assay buffer (100 mM KH2PO4 pH 7.5, 1 mM DTT) (20 μL in blanks) was added to a 384-well white Opti Plate plate (Perkin Elmer). 0.9 μL test compound (at concentrations of 30 μM, 10 μM, 3 μM, 1 μM, 0.30 μM, 0.10 μM, 0.03 μM and 0.01 μM)/DMSO and 10 μL hFASN enzyme (full length, 300 ng, purified in house) or 10 μL assay buffer was added to the wells. Then 10 μL 450 μM NADPH (Sigma N7505), 18.75 μM [3H]-acetyl-CoA (Perkin Elmer NET-290L), 150 μM malonyl-CoA (Sigma M4263) were added, mixed and incubated at room temperature for 60 minutes. The reaction was stopped by adding 20 μL Streptavidin coupled imaging beads (25 mg/ml). After incubation for 30 minutes at room temperature in the dark, the 384 well plate was centrifuged at 1500 rpm for 3 minutes and was measured after at least 24 hrs by the LEADseeker, measuring emission using a 610±20 nm pass filter. (Bays, N. W., et al., A simplified scintillation proximity assay for fatty acid synthase activity: development and comparison with other FAS activity assays, J. Biomol. Screen., 2009, pp 636-642, Vol. 14(6).)Raw data generated by the instrument were normalized to % Controlmin values, which were calculated as: % Controlmin=100*(x−mLC)/(mHC−mLC)where mLC and mHC were the means of the low control wells and high control wells on the plate, after manual exclusion of outliers. A plot of Controlmin versus test compound concentration was fitted to a 4-parameter logistic curve using a non-linear least squares regression method. From the plot, an IC50 (concentration at which 50% inhibition is achieved) was calculated. pIC50 values were calculated as −log(IC50), when IC50 is expressed in molar units.",canonical_single_assay_CHEMBL5731051
CHEMBL3617745,CC1(C)N=C(c2ccc(-c3nc4ccccc4[nH]3)cc2)N(C[C@@H]2CCN(C(=O)C3CC3)C2)C1=O,5.230032198670558,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3nc4ccccc4[nH]3)cc2)C1,2017,CHEMBL5731051,assay format,full_length_human_FASN_stated_in_assay_description,"Fatty Acid Synthase (FASN) Inhibition Scintillation Proximity Assay: In this assay, inhibition of FASN activity is measured using 3H-acetyl-CoA and malonyl-CoA as substrates. 3H-Acetyl CoA is converted to 3H-palmitate through a series of reactions by the FASN protein, which contains 7 functional domains and carries out 7 enzymatic reactions to ultimately produce 3H-palmitate. The assay principle is based upon the fact that 3H-acetyl-CoA is hydrophilic and the end product, 3H-palmitate is hydrophobic. The hydrophobic 3H-palmitate binds to scintillation proximity assay (SPA) imaging beads (resulting in light emission from the imaging beads) whereas the hydrophilic 3H-acetyl-CoA does not bind to the imaging beads (and therefore does not result in light emission from the imaging beads).10 μL assay buffer (100 mM KH2PO4 pH 7.5, 1 mM DTT) (20 μL in blanks) was added to a 384-well white Opti Plate plate (Perkin Elmer). 0.9 μL test compound (at concentrations of 30 μM, 10 μM, 3 μM, 1 μM, 0.30 μM, 0.10 μM, 0.03 μM and 0.01 μM)/DMSO and 10 μL hFASN enzyme (full length, 300 ng, purified in house) or 10 μL assay buffer was added to the wells. Then 10 μL 450 μM NADPH (Sigma N7505), 18.75 μM [3H]-acetyl-CoA (Perkin Elmer NET-290L), 150 μM malonyl-CoA (Sigma M4263) were added, mixed and incubated at room temperature for 60 minutes. The reaction was stopped by adding 20 μL Streptavidin coupled imaging beads (25 mg/ml). After incubation for 30 minutes at room temperature in the dark, the 384 well plate was centrifuged at 1500 rpm for 3 minutes and was measured after at least 24 hrs by the LEADseeker, measuring emission using a 610±20 nm pass filter. (Bays, N. W., et al., A simplified scintillation proximity assay for fatty acid synthase activity: development and comparison with other FAS activity assays, J. Biomol. Screen., 2009, pp 636-642, Vol. 14(6).)Raw data generated by the instrument were normalized to % Controlmin values, which were calculated as: % Controlmin=100*(x−mLC)/(mHC−mLC)where mLC and mHC were the means of the low control wells and high control wells on the plate, after manual exclusion of outliers. A plot of Controlmin versus test compound concentration was fitted to a 4-parameter logistic curve using a non-linear least squares regression method. From the plot, an IC50 (concentration at which 50% inhibition is achieved) was calculated. pIC50 values were calculated as −log(IC50), when IC50 is expressed in molar units.",canonical_single_assay_CHEMBL5731051
CHEMBL3617746,Cn1cc(-c2ccc(-c3ccc(C4=NC(C)(C)C(=O)N4C[C@@H]4CCN(C(=O)C5(O)CC5)C4)c(F)c3)cc2)cn1,7.519993057042849,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc(-c4cn[nH]c4)cc3)cc2)C1,2017,CHEMBL5731051,assay format,full_length_human_FASN_stated_in_assay_description,"Fatty Acid Synthase (FASN) Inhibition Scintillation Proximity Assay: In this assay, inhibition of FASN activity is measured using 3H-acetyl-CoA and malonyl-CoA as substrates. 3H-Acetyl CoA is converted to 3H-palmitate through a series of reactions by the FASN protein, which contains 7 functional domains and carries out 7 enzymatic reactions to ultimately produce 3H-palmitate. The assay principle is based upon the fact that 3H-acetyl-CoA is hydrophilic and the end product, 3H-palmitate is hydrophobic. The hydrophobic 3H-palmitate binds to scintillation proximity assay (SPA) imaging beads (resulting in light emission from the imaging beads) whereas the hydrophilic 3H-acetyl-CoA does not bind to the imaging beads (and therefore does not result in light emission from the imaging beads).10 μL assay buffer (100 mM KH2PO4 pH 7.5, 1 mM DTT) (20 μL in blanks) was added to a 384-well white Opti Plate plate (Perkin Elmer). 0.9 μL test compound (at concentrations of 30 μM, 10 μM, 3 μM, 1 μM, 0.30 μM, 0.10 μM, 0.03 μM and 0.01 μM)/DMSO and 10 μL hFASN enzyme (full length, 300 ng, purified in house) or 10 μL assay buffer was added to the wells. Then 10 μL 450 μM NADPH (Sigma N7505), 18.75 μM [3H]-acetyl-CoA (Perkin Elmer NET-290L), 150 μM malonyl-CoA (Sigma M4263) were added, mixed and incubated at room temperature for 60 minutes. The reaction was stopped by adding 20 μL Streptavidin coupled imaging beads (25 mg/ml). After incubation for 30 minutes at room temperature in the dark, the 384 well plate was centrifuged at 1500 rpm for 3 minutes and was measured after at least 24 hrs by the LEADseeker, measuring emission using a 610±20 nm pass filter. (Bays, N. W., et al., A simplified scintillation proximity assay for fatty acid synthase activity: development and comparison with other FAS activity assays, J. Biomol. Screen., 2009, pp 636-642, Vol. 14(6).)Raw data generated by the instrument were normalized to % Controlmin values, which were calculated as: % Controlmin=100*(x−mLC)/(mHC−mLC)where mLC and mHC were the means of the low control wells and high control wells on the plate, after manual exclusion of outliers. A plot of Controlmin versus test compound concentration was fitted to a 4-parameter logistic curve using a non-linear least squares regression method. From the plot, an IC50 (concentration at which 50% inhibition is achieved) was calculated. pIC50 values were calculated as −log(IC50), when IC50 is expressed in molar units.",canonical_single_assay_CHEMBL5731051
CHEMBL3623462,CC1(C)N=C(c2ccc(-c3c[nH]c4ccccc34)cc2)N(C[C@@H]2CCN(C(=O)C3CC3)C2)C1=O,6.640164517660112,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3c[nH]c4ccccc34)cc2)C1,2017,CHEMBL5731051,assay format,full_length_human_FASN_stated_in_assay_description,"Fatty Acid Synthase (FASN) Inhibition Scintillation Proximity Assay: In this assay, inhibition of FASN activity is measured using 3H-acetyl-CoA and malonyl-CoA as substrates. 3H-Acetyl CoA is converted to 3H-palmitate through a series of reactions by the FASN protein, which contains 7 functional domains and carries out 7 enzymatic reactions to ultimately produce 3H-palmitate. The assay principle is based upon the fact that 3H-acetyl-CoA is hydrophilic and the end product, 3H-palmitate is hydrophobic. The hydrophobic 3H-palmitate binds to scintillation proximity assay (SPA) imaging beads (resulting in light emission from the imaging beads) whereas the hydrophilic 3H-acetyl-CoA does not bind to the imaging beads (and therefore does not result in light emission from the imaging beads).10 μL assay buffer (100 mM KH2PO4 pH 7.5, 1 mM DTT) (20 μL in blanks) was added to a 384-well white Opti Plate plate (Perkin Elmer). 0.9 μL test compound (at concentrations of 30 μM, 10 μM, 3 μM, 1 μM, 0.30 μM, 0.10 μM, 0.03 μM and 0.01 μM)/DMSO and 10 μL hFASN enzyme (full length, 300 ng, purified in house) or 10 μL assay buffer was added to the wells. Then 10 μL 450 μM NADPH (Sigma N7505), 18.75 μM [3H]-acetyl-CoA (Perkin Elmer NET-290L), 150 μM malonyl-CoA (Sigma M4263) were added, mixed and incubated at room temperature for 60 minutes. The reaction was stopped by adding 20 μL Streptavidin coupled imaging beads (25 mg/ml). After incubation for 30 minutes at room temperature in the dark, the 384 well plate was centrifuged at 1500 rpm for 3 minutes and was measured after at least 24 hrs by the LEADseeker, measuring emission using a 610±20 nm pass filter. (Bays, N. W., et al., A simplified scintillation proximity assay for fatty acid synthase activity: development and comparison with other FAS activity assays, J. Biomol. Screen., 2009, pp 636-642, Vol. 14(6).)Raw data generated by the instrument were normalized to % Controlmin values, which were calculated as: % Controlmin=100*(x−mLC)/(mHC−mLC)where mLC and mHC were the means of the low control wells and high control wells on the plate, after manual exclusion of outliers. A plot of Controlmin versus test compound concentration was fitted to a 4-parameter logistic curve using a non-linear least squares regression method. From the plot, an IC50 (concentration at which 50% inhibition is achieved) was calculated. pIC50 values were calculated as −log(IC50), when IC50 is expressed in molar units.",canonical_single_assay_CHEMBL5731051
CHEMBL4126610,Cn1ncc2cc(-c3ccc(C4=NC(C)(C)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,6.85078088734462,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,2017,CHEMBL5731051,assay format,full_length_human_FASN_stated_in_assay_description,"Fatty Acid Synthase (FASN) Inhibition Scintillation Proximity Assay: In this assay, inhibition of FASN activity is measured using 3H-acetyl-CoA and malonyl-CoA as substrates. 3H-Acetyl CoA is converted to 3H-palmitate through a series of reactions by the FASN protein, which contains 7 functional domains and carries out 7 enzymatic reactions to ultimately produce 3H-palmitate. The assay principle is based upon the fact that 3H-acetyl-CoA is hydrophilic and the end product, 3H-palmitate is hydrophobic. The hydrophobic 3H-palmitate binds to scintillation proximity assay (SPA) imaging beads (resulting in light emission from the imaging beads) whereas the hydrophilic 3H-acetyl-CoA does not bind to the imaging beads (and therefore does not result in light emission from the imaging beads).10 μL assay buffer (100 mM KH2PO4 pH 7.5, 1 mM DTT) (20 μL in blanks) was added to a 384-well white Opti Plate plate (Perkin Elmer). 0.9 μL test compound (at concentrations of 30 μM, 10 μM, 3 μM, 1 μM, 0.30 μM, 0.10 μM, 0.03 μM and 0.01 μM)/DMSO and 10 μL hFASN enzyme (full length, 300 ng, purified in house) or 10 μL assay buffer was added to the wells. Then 10 μL 450 μM NADPH (Sigma N7505), 18.75 μM [3H]-acetyl-CoA (Perkin Elmer NET-290L), 150 μM malonyl-CoA (Sigma M4263) were added, mixed and incubated at room temperature for 60 minutes. The reaction was stopped by adding 20 μL Streptavidin coupled imaging beads (25 mg/ml). After incubation for 30 minutes at room temperature in the dark, the 384 well plate was centrifuged at 1500 rpm for 3 minutes and was measured after at least 24 hrs by the LEADseeker, measuring emission using a 610±20 nm pass filter. (Bays, N. W., et al., A simplified scintillation proximity assay for fatty acid synthase activity: development and comparison with other FAS activity assays, J. Biomol. Screen., 2009, pp 636-642, Vol. 14(6).)Raw data generated by the instrument were normalized to % Controlmin values, which were calculated as: % Controlmin=100*(x−mLC)/(mHC−mLC)where mLC and mHC were the means of the low control wells and high control wells on the plate, after manual exclusion of outliers. A plot of Controlmin versus test compound concentration was fitted to a 4-parameter logistic curve using a non-linear least squares regression method. From the plot, an IC50 (concentration at which 50% inhibition is achieved) was calculated. pIC50 values were calculated as −log(IC50), when IC50 is expressed in molar units.",canonical_single_assay_CHEMBL5731051
CHEMBL4127768,Cn1ncc2cc(-c3ccc(C4=NC(C)(c5ccccc5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,6.790484985457369,O=C(C1CC1)N1CCC(CN2C(=O)C(c3ccccc3)N=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,2017,CHEMBL5731051,assay format,full_length_human_FASN_stated_in_assay_description,"Fatty Acid Synthase (FASN) Inhibition Scintillation Proximity Assay: In this assay, inhibition of FASN activity is measured using 3H-acetyl-CoA and malonyl-CoA as substrates. 3H-Acetyl CoA is converted to 3H-palmitate through a series of reactions by the FASN protein, which contains 7 functional domains and carries out 7 enzymatic reactions to ultimately produce 3H-palmitate. The assay principle is based upon the fact that 3H-acetyl-CoA is hydrophilic and the end product, 3H-palmitate is hydrophobic. The hydrophobic 3H-palmitate binds to scintillation proximity assay (SPA) imaging beads (resulting in light emission from the imaging beads) whereas the hydrophilic 3H-acetyl-CoA does not bind to the imaging beads (and therefore does not result in light emission from the imaging beads).10 μL assay buffer (100 mM KH2PO4 pH 7.5, 1 mM DTT) (20 μL in blanks) was added to a 384-well white Opti Plate plate (Perkin Elmer). 0.9 μL test compound (at concentrations of 30 μM, 10 μM, 3 μM, 1 μM, 0.30 μM, 0.10 μM, 0.03 μM and 0.01 μM)/DMSO and 10 μL hFASN enzyme (full length, 300 ng, purified in house) or 10 μL assay buffer was added to the wells. Then 10 μL 450 μM NADPH (Sigma N7505), 18.75 μM [3H]-acetyl-CoA (Perkin Elmer NET-290L), 150 μM malonyl-CoA (Sigma M4263) were added, mixed and incubated at room temperature for 60 minutes. The reaction was stopped by adding 20 μL Streptavidin coupled imaging beads (25 mg/ml). After incubation for 30 minutes at room temperature in the dark, the 384 well plate was centrifuged at 1500 rpm for 3 minutes and was measured after at least 24 hrs by the LEADseeker, measuring emission using a 610±20 nm pass filter. (Bays, N. W., et al., A simplified scintillation proximity assay for fatty acid synthase activity: development and comparison with other FAS activity assays, J. Biomol. Screen., 2009, pp 636-642, Vol. 14(6).)Raw data generated by the instrument were normalized to % Controlmin values, which were calculated as: % Controlmin=100*(x−mLC)/(mHC−mLC)where mLC and mHC were the means of the low control wells and high control wells on the plate, after manual exclusion of outliers. A plot of Controlmin versus test compound concentration was fitted to a 4-parameter logistic curve using a non-linear least squares regression method. From the plot, an IC50 (concentration at which 50% inhibition is achieved) was calculated. pIC50 values were calculated as −log(IC50), when IC50 is expressed in molar units.",canonical_single_assay_CHEMBL5731051
CHEMBL4127995,COCC1(C)N=C(c2ccc(-c3ccc4c(cnn4C)c3)cc2)N(C[C@@H]2CCN(C(=O)C3CC3)C2)C1=O,6.309803919971486,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,2017,CHEMBL5731051,assay format,full_length_human_FASN_stated_in_assay_description,"Fatty Acid Synthase (FASN) Inhibition Scintillation Proximity Assay: In this assay, inhibition of FASN activity is measured using 3H-acetyl-CoA and malonyl-CoA as substrates. 3H-Acetyl CoA is converted to 3H-palmitate through a series of reactions by the FASN protein, which contains 7 functional domains and carries out 7 enzymatic reactions to ultimately produce 3H-palmitate. The assay principle is based upon the fact that 3H-acetyl-CoA is hydrophilic and the end product, 3H-palmitate is hydrophobic. The hydrophobic 3H-palmitate binds to scintillation proximity assay (SPA) imaging beads (resulting in light emission from the imaging beads) whereas the hydrophilic 3H-acetyl-CoA does not bind to the imaging beads (and therefore does not result in light emission from the imaging beads).10 μL assay buffer (100 mM KH2PO4 pH 7.5, 1 mM DTT) (20 μL in blanks) was added to a 384-well white Opti Plate plate (Perkin Elmer). 0.9 μL test compound (at concentrations of 30 μM, 10 μM, 3 μM, 1 μM, 0.30 μM, 0.10 μM, 0.03 μM and 0.01 μM)/DMSO and 10 μL hFASN enzyme (full length, 300 ng, purified in house) or 10 μL assay buffer was added to the wells. Then 10 μL 450 μM NADPH (Sigma N7505), 18.75 μM [3H]-acetyl-CoA (Perkin Elmer NET-290L), 150 μM malonyl-CoA (Sigma M4263) were added, mixed and incubated at room temperature for 60 minutes. The reaction was stopped by adding 20 μL Streptavidin coupled imaging beads (25 mg/ml). After incubation for 30 minutes at room temperature in the dark, the 384 well plate was centrifuged at 1500 rpm for 3 minutes and was measured after at least 24 hrs by the LEADseeker, measuring emission using a 610±20 nm pass filter. (Bays, N. W., et al., A simplified scintillation proximity assay for fatty acid synthase activity: development and comparison with other FAS activity assays, J. Biomol. Screen., 2009, pp 636-642, Vol. 14(6).)Raw data generated by the instrument were normalized to % Controlmin values, which were calculated as: % Controlmin=100*(x−mLC)/(mHC−mLC)where mLC and mHC were the means of the low control wells and high control wells on the plate, after manual exclusion of outliers. A plot of Controlmin versus test compound concentration was fitted to a 4-parameter logistic curve using a non-linear least squares regression method. From the plot, an IC50 (concentration at which 50% inhibition is achieved) was calculated. pIC50 values were calculated as −log(IC50), when IC50 is expressed in molar units.",canonical_single_assay_CHEMBL5731051
