model,seed,alpha,train_n,cal_n,test_n,train_scaffolds,cal_scaffolds,test_scaffolds,q_abs_residual_pActivity,test_coverage,mean_interval_width_pActivity,test_mae,test_rmse
ecfp_rf,20260912,0.1,51,27,18,23,8,8,0.8463059765841257,0.8888888888888888,1.6926119531682513,0.507532023516472,0.6084089334408322
ecfp_rf,20260912,0.2,51,27,18,23,8,8,0.7344347196566456,0.7222222222222222,1.4688694393132913,0.507532023516472,0.6084089334408322
ecfp_xgb,20260912,0.1,51,27,18,23,8,8,0.7692747572657002,0.7222222222222222,1.5385495145314003,0.5449361718200595,0.6357410460601756
ecfp_xgb,20260912,0.2,51,27,18,23,8,8,0.4244965865633539,0.5,0.8489931731267077,0.5449361718200595,0.6357410460601756
ecfp_rf,20260913,0.1,55,15,26,23,8,8,0.9630149980416141,0.9230769230769231,1.9260299960832281,0.40665484707935795,0.5283266890774154
ecfp_rf,20260913,0.2,55,15,26,23,8,8,0.7076086081136497,0.8461538461538461,1.4152172162272993,0.40665484707935795,0.5283266890774154
ecfp_xgb,20260913,0.1,55,15,26,23,8,8,1.4997803258422415,0.9615384615384616,2.999560651684483,0.3096487044503622,0.4714802772984206
ecfp_xgb,20260913,0.2,55,15,26,23,8,8,0.7283605672256153,0.8846153846153846,1.4567211344512305,0.3096487044503622,0.4714802772984206
ecfp_rf,20260914,0.1,55,19,22,23,8,8,1.1832824441128267,0.9090909090909091,2.3665648882256534,0.5517522478746746,0.6624653340397268
ecfp_rf,20260914,0.2,55,19,22,23,8,8,0.6039171116215023,0.5909090909090909,1.2078342232430046,0.5517522478746746,0.6624653340397268
ecfp_xgb,20260914,0.1,55,19,22,23,8,8,0.7978789976182972,0.9545454545454546,1.5957579952365943,0.361605731156828,0.4592531590850538
ecfp_xgb,20260914,0.2,55,19,22,23,8,8,0.7014627884025373,0.9090909090909091,1.4029255768050746,0.361605731156828,0.4592531590850538
ecfp_rf,20260915,0.1,62,18,16,23,8,8,0.9369320060339517,0.9375,1.8738640120679033,0.4841549794130816,0.5509241091889435
ecfp_rf,20260915,0.2,62,18,16,23,8,8,0.7902692925740888,0.9375,1.5805385851481777,0.4841549794130816,0.5509241091889435
ecfp_xgb,20260915,0.1,62,18,16,23,8,8,0.9307928020151675,0.875,1.861585604030335,0.3758094329737694,0.528830380721548
ecfp_xgb,20260915,0.2,62,18,16,23,8,8,0.7220067120925586,0.875,1.4440134241851172,0.3758094329737694,0.528830380721548
ecfp_rf,20260916,0.1,62,18,16,23,8,8,1.6112053387918808,1.0,3.2224106775837615,0.3135896953629553,0.43791304450697327
ecfp_rf,20260916,0.2,62,18,16,23,8,8,1.005597761400165,0.9375,2.01119552280033,0.3135896953629553,0.43791304450697327
ecfp_xgb,20260916,0.1,62,18,16,23,8,8,1.6954682043138538,1.0,3.3909364086277076,0.3418033027435352,0.48341846350654705
ecfp_xgb,20260916,0.2,62,18,16,23,8,8,1.3747395066282877,1.0,2.7494790132565754,0.3418033027435352,0.48341846350654705
