n,mae,rmse,r2,spearman,split,model,seed,train_n,val_n,test_n,train_scaffolds,test_scaffolds,train_r2,train_test_gap_r2,hyperparams
18,0.5786285519217317,0.7054389206578814,-0.016005174635312258,,scaffold,mean,20260912,78,0,18,31,8,0.0,0.016005174635312258,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
18,0.5054144960780784,0.6321061148260038,0.18425002516545486,0.5763081876768261,scaffold,desc_ridge,20260912,78,0,18,31,8,0.6544366724788552,0.4701866473134003,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
18,0.23508575302974843,0.30059918435463845,0.815518559309874,0.8039215686274509,scaffold,ecfp_ridge,20260912,78,0,18,31,8,0.9195300081320524,0.10401144882217839,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
18,0.4868879379146374,0.609055455308443,0.24266023437846018,0.5830753353973168,scaffold,ecfp_rf,20260912,78,0,18,31,8,0.644357732803502,0.40169749842504177,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
18,0.35913026827934225,0.4634779360336878,0.561433742843203,0.7192982456140351,scaffold,ecfp_xgb,20260912,78,0,18,31,8,0.9982199785597451,0.43678623571654207,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
26,0.6253676201192554,0.7049277937965024,-0.18989717787249671,,scaffold,mean,20260913,70,0,26,31,8,0.0,0.18989717787249671,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
26,0.3265224240229066,0.4637351428827359,0.4850557845002684,0.7909964195799233,scaffold,desc_ridge,20260913,70,0,26,31,8,0.5667591165953697,0.08170333209510128,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
26,0.26610734669416514,0.3369027054286986,0.7282126976153256,0.8442851814627634,scaffold,ecfp_ridge,20260913,70,0,26,31,8,0.9487084258523024,0.22049572823697683,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
26,0.4161953571587548,0.5265133631603299,0.33619737941636973,0.4774129826268971,scaffold,ecfp_rf,20260913,70,0,26,31,8,0.5869038547374779,0.2507064753211081,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
26,0.23235079924534066,0.3271005369832001,0.743797902916751,0.7546205209263858,scaffold,ecfp_xgb,20260913,70,0,26,31,8,0.998768826289671,0.25497092337292004,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
22,0.6858353924091711,0.8159642308128836,-0.00018558156861003816,,scaffold,mean,20260914,74,0,22,31,8,0.0,0.00018558156861003816,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
22,0.48069871040302026,0.57098643501805,0.5102325382629007,0.8826698104091208,scaffold,desc_ridge,20260914,74,0,22,31,8,0.5528306060640676,0.04259806780116693,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
22,0.34723374141512003,0.41936731792382015,0.7358032253081319,0.839638622247318,scaffold,ecfp_ridge,20260914,74,0,22,31,8,0.9381842503243122,0.20238102501618027,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
22,0.5635167401725224,0.6605531710176994,0.34452835273270566,0.7718802936194241,scaffold,ecfp_rf,20260914,74,0,22,31,8,0.6104193600642982,0.26589100733159254,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
22,0.3992508102821612,0.498852000742963,0.6261634293553746,0.7447769621682666,scaffold,ecfp_xgb,20260914,74,0,22,31,8,0.998425453505328,0.37226202414995335,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
16,0.48071316322564345,0.6169148745065801,-0.023024175142704273,,scaffold,mean,20260915,80,0,16,31,8,0.0,0.023024175142704273,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
16,0.6525706645151801,0.6899871182832295,-0.279727135203758,0.18966836154664174,scaffold,desc_ridge,20260915,80,0,16,31,8,0.695786733750372,0.9755138689541301,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
16,0.2613279564994771,0.2958404983923376,0.7647386069928526,0.9345109226071007,scaffold,ecfp_ridge,20260915,80,0,16,31,8,0.917279330410223,0.15254072341737046,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
16,0.44987218514986804,0.5487012695530675,0.19070409410964095,0.5489331876101552,scaffold,ecfp_rf,20260915,80,0,16,31,8,0.6343326309495858,0.44362853683994485,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
16,0.2723761517905266,0.3649869366742438,0.6419117630142361,0.890360800279206,scaffold,ecfp_xgb,20260915,80,0,16,31,8,0.9980847846559253,0.3561730216416892,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
16,0.5048930988744278,0.5773879689718447,-0.009419832704581355,,scaffold,mean,20260916,80,0,16,31,8,0.0,0.009419832704581355,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
16,0.322107734811578,0.41403767136203257,0.4809417627120275,0.5865882211748196,scaffold,desc_ridge,20260916,80,0,16,31,8,0.5656527437257771,0.08471098101374963,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
16,0.2388940861482493,0.3065168255415142,0.715524407217438,0.8785874343251009,scaffold,ecfp_ridge,20260916,80,0,16,31,8,0.926437786007541,0.21091337879010297,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
16,0.34363594803251596,0.43964396696868124,0.4147537917010572,0.7167036524561543,scaffold,ecfp_rf,20260916,80,0,16,31,8,0.6476494859854982,0.232895694284441,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
16,0.3307599539299833,0.4475229306638044,0.39358915582946463,0.8079472386004697,scaffold,ecfp_xgb,20260916,80,0,16,31,8,0.9983149086769524,0.6047257528474878,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
28,0.5706877132772006,0.6884508038886679,-0.5248127859075045,,scaffold,mean,20260917,68,0,28,31,8,0.0,0.5248127859075045,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
28,0.30809899231305515,0.4158504420234392,0.4436539139461221,0.8107960679372916,scaffold,desc_ridge,20260917,68,0,28,31,8,0.5327651938765823,0.0891112799304602,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
28,0.3810606096817377,0.4773408648090606,0.2669595614292499,0.5366187995299123,scaffold,ecfp_ridge,20260917,68,0,28,31,8,0.9359803111274821,0.6690207496982322,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
28,0.4963283054127827,0.5847623197713091,-0.10009315591565104,0.33155375828098155,scaffold,ecfp_rf,20260917,68,0,28,31,8,0.6352521895466625,0.7353453454623136,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
28,0.34845743769394627,0.4332111254447173,0.39623225935065265,0.7170431816167553,scaffold,ecfp_xgb,20260917,68,0,28,31,8,0.9987523479916026,0.60252008864095,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
23,0.4742967648166068,0.5570058952616753,-0.4642509517099511,,scaffold,mean,20260918,73,0,23,31,8,0.0,0.4642509517099511,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
23,0.329142788019199,0.40090766898943053,0.24144921953708842,0.752350321622959,scaffold,desc_ridge,20260918,73,0,23,31,8,0.5823637068205154,0.340914487283427,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
23,0.4606384731215548,0.5920045913447606,-0.6540402798725662,0.592336380461103,scaffold,ecfp_ridge,20260918,73,0,23,31,8,0.9506689526540711,1.6047092325266372,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
23,0.3807642695093081,0.46286641638409115,-0.011130647961658857,0.40494448714327497,scaffold,ecfp_rf,20260918,73,0,23,31,8,0.6561143245397618,0.6672449725014207,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
23,0.40781008500430205,0.5585771201525271,-0.4725234402766991,0.5686033702255997,scaffold,ecfp_xgb,20260918,73,0,23,31,8,0.9990322882638573,1.4715557285405563,fixed:ridge_alpha10;rf700_sqrt_leaf2;xgb600_d5_lr03
