molecule_id,canonical_smiles,inchikey,pActivity,n_records,assay_ids,documents,years,assay_format,overlaps_canonical_training,excluded,exclusion_reason
CHEMBL4125752,Cn1cc(-c2ccc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)cc2)cn1,VXNJFKPHXOAQEY-HXUWFJFHSA-N,7.552841968657781,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4125794,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@H]4CCCN(C(=O)C5CC5)C4)cc3)ccc21,OPAJYYBMMXLCET-IBGZPJMESA-N,5.070070439915412,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4125929,O=C([C@H]1CCCO1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4occc4c3)cc2)C1,MEWTUBNSHKJRBP-KBMIEXCESA-N,6.522878745280337,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4125982,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)nc3)ccc21,VPKUEUNYZBCMJD-QGZVFWFLSA-N,6.102372908709558,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4126126,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4scnc4c3)cc2)C1,CVYZANBRQAEADJ-QGZVFWFLSA-N,7.376750709602099,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4126247,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4cnccc4c3)cc2)C1,PLLRQMALCFAXDH-LJQANCHMSA-N,7.698970004336019,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4126304,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4occc4c3)cc2)C1,WSLDYKVBHVVEBV-GOSISDBHSA-N,7.337242168318426,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4126387,COC(=O)N1CC2(C1)N=C(c1ccc(-c3ccc4c(cnn4C)c3)cc1)N(C[C@@H]1CCN(C(=O)C3CC3)C1)C2=O,FQIWWJWUOPTNSW-LJQANCHMSA-N,6.522878745280337,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4126535,CC(C)N1CCC2(CC1)N=C(c1ccc(-c3ccc4c(cnn4C)c3)cc1)N(C[C@@H]1CCN(C(=O)C3CC3)C1)C2=O,BVVUYJBNHOWQSP-HSZRJFAPSA-N,5.958607314841775,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4126572,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3cnc4ccccc4c3)cc2)C1,UGLQRESHLPBGMP-LJQANCHMSA-N,6.920818753952375,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4126610,Cn1ncc2cc(-c3ccc(C4=NC(C)(C)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,DECUYALVQMJPQR-GOSISDBHSA-N,6.853871964321762,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,True,True,molecule_present_in_canonical_training
CHEMBL4126662,Cc1cc(C2=NC3(CC3)C(=O)N2C[C@@H]2CCN(C(=O)C3CC3)C2)ccc1-c1ccc2c(cnn2C)c1,SLKSXSXSEDKZBR-LJQANCHMSA-N,6.522878745280337,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4126768,O=C(N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4occc4c3)cc2)C1)C1(O)CC1,LFEHRIZUTZZXOQ-GOSISDBHSA-N,7.443697499232712,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4126910,O=C(CC(F)(F)F)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4occc4c3)cc2)C1,GHGVXCNKJNXHMK-QGZVFWFLSA-N,6.769551078621726,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4126984,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3c[nH]c4ccccc34)cc2)C1,KWAIKQBFAKDOEH-GOSISDBHSA-N,7.3872161432802645,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4127027,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4CC4CN(C(=O)C5CC5)C4)cc3)ccc21,CWYQHHCEQKEXPR-UHFFFAOYSA-N,7.161150909262744,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4127223,Cn1ncc2cc(-c3ncc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cn3)ccc21,DFCVEUIQWSMCKO-MRXNPFEDSA-N,5.059981844992337,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4127363,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cn3)ccc21,RJSPRRHTVDLJNI-QGZVFWFLSA-N,6.337242168318426,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4127608,Cc1cc(-c2ccc3c(cnn3C)c2)ccc1C1=NC2(CC2)C(=O)N1C[C@@H]1CCN(C(=O)C2CC2)C1,GLFXIUHANULYHY-LJQANCHMSA-N,7.292429823902063,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4127623,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4cccnc4c3)cc2)C1,OVVQFJLPWYRIJW-LJQANCHMSA-N,7.698970004336019,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4127681,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3nc4ccccc4[nH]3)cc2)C1,GQFOKGFPRLQWMC-QGZVFWFLSA-N,6.229147988357855,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4127768,Cn1ncc2cc(-c3ccc(C4=NC(C)(c5ccccc5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,WJTQIMFAFSZXSH-LWMFVPLKSA-N,6.795880017344075,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,True,True,molecule_present_in_canonical_training
CHEMBL4127804,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc(-c4ccncc4)cc3)cc2)C1,LMBJYFYBQXYQJB-OAQYLSRUSA-N,7.638272163982407,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4127964,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4cc(F)ccc4c3)cc2)C1,FCWVUDRPWSOZNK-LJQANCHMSA-N,7.6020599913279625,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4127995,COCC1(C)N=C(c2ccc(-c3ccc4c(cnn4C)c3)cc2)N(C[C@@H]2CCN(C(=O)C3CC3)C2)C1=O,SUCVQCGWVPTXCT-COBFLCELSA-N,6.309803919971486,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,True,True,molecule_present_in_canonical_training
CHEMBL4127999,Cn1ccc(C(=O)N2CC[C@@H](CN3C(=O)C4(CC4)N=C3c3ccc(-c4ccc5occc5c4)cc3)C2)n1,STABSNWXXGZDCY-LJQANCHMSA-N,6.346787486224656,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4128043,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3F)ccc21,UEKXFCBQNSSAHO-QGZVFWFLSA-N,6.886056647693163,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4128143,CC1(C(=O)N2CC[C@@H](CN3C(=O)C4(CC4)N=C3c3ccc(-c4ccc5occc5c4)cc3)C2)CC1,BNOBJAOHWFTGSW-LJQANCHMSA-N,7.552841968657781,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4128202,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)s3)ccc21,MKEDEDWXIQYPLI-MRXNPFEDSA-N,5.050122295963125,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4128261,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,KYFZEWZCYBWMGN-GOSISDBHSA-N,7.522878745280337,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4128608,Cn1ncc2cc(-c3cnc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)nc3)ccc21,STJVCSBGRVGBIE-MRXNPFEDSA-N,4.480172006224281,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4128858,Cn1ncc2cc(-c3ccc(C4=NC5(CCOCC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,SMRDECZOSNAYIO-HXUWFJFHSA-N,6.337242168318426,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4129012,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)c(F)c3)ccc21,GSUZLBGSUQRQJA-QGZVFWFLSA-N,7.657577319177793,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4129046,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3cccc(Cl)c3)cc2)C1,ARJINKAOWIHWIP-QGZVFWFLSA-N,7.301029995663981,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4129083,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4CC4CCN(C(=O)C5CC5)CC4)cc3)ccc21,UUOYALCZCRXMAS-UHFFFAOYSA-N,5.860120913598763,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4129199,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4ncccc4c3)cc2)C1,QMBVMTQXLHEMCU-LJQANCHMSA-N,6.795880017344075,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4129240,Cn1ncc2cc(-c3ccc(C4=NC5(CCCC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,CVEGCVNNECJUTJ-HXUWFJFHSA-N,7.080921907623926,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4129242,O=C([C@@H]1CCCO1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4occc4c3)cc2)C1,MEWTUBNSHKJRBP-CLOONOSVSA-N,7.102372908709558,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4129431,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3cccc4[nH]ncc34)cc2)C1,PFUABCQWXXOJGR-QGZVFWFLSA-N,7.481486060122112,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4129575,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,FTFVWFTYZDKIHN-QGZVFWFLSA-N,7.494850021680094,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4129812,CC(=O)N1CCC2(CC1)N=C(c1ccc(-c3ccc4c(cnn4C)c3)cc1)N(C[C@@H]1CCN(C(=O)C3CC3)C1)C2=O,PSMOEZPUOOVUGL-JOCHJYFZSA-N,6.698970004336019,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4130174,N#CC1(C(=O)N2CC[C@@H](CN3C(=O)C4(CC4)N=C3c3ccc(-c4ccc5occc5c4)cc3)C2)CC1,SKEFRAXCEDZKOL-LJQANCHMSA-N,6.229147988357855,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4130221,Cn1ncc2cc(-c3ccc(C4=NC5(CCOC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,MUYLYGDFLYUIJG-COBFLCELSA-N,6.259637310505756,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4130264,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3n[nH]c4ccccc34)cc2)C1,KZHNVIJSQASLJE-QGZVFWFLSA-N,6.443697499232712,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4130300,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,KYFZEWZCYBWMGN-SFHVURJKSA-N,6.6020599913279625,1,CHEMBL4123591,CHEMBL4118196,2018,single protein format,False,False,
CHEMBL4439223,O=C(c1ccc(-c2ccc(F)cc2Cl)cc1)N1CCN(C(=O)C2(O)CC2)CC1,KPYMGJDBFZANBT-UHFFFAOYSA-N,6.508638306165727,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4439986,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)[C@H]2CCCO2)CC1,AVLYVKPANXQIGA-HXUWFJFHSA-N,5.958607314841775,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4440024,Cn1ccc2cc(-c3ccc(C(=O)N4CCN(C(=O)C5(O)CC5)CC4)cc3)ccc21,GRRIKAANZUFJSO-UHFFFAOYSA-N,7.920818753952375,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4440104,O=C(c1ccc(-c2nc3ccc(Cl)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,SZEFPGMHCYAUSD-UHFFFAOYSA-N,7.013228265733755,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4442092,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,WBJLUGNDICQMGR-UHFFFAOYSA-N,6.455931955649724,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL4444430,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)C2(O)CCC2)CC1,VQNLEJUAAGSHBQ-UHFFFAOYSA-N,5.7447274948966935,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
