seed,train_n,test_n,train_scaffolds,test_scaffolds,scaffold_overlap,test_to_train_max_tanimoto,test_to_train_mean_nn_tanimoto,n_test_nn_ge_0.85,n_test_nn_ge_0.60,n_test_nn_ge_0.40
20260912,78,18,31,8,0,0.8970588235294118,0.846506059247669,10,18,18
20260913,70,26,31,8,0,0.9,0.8641531102480039,21,26,26
20260914,74,22,31,8,0,0.9,0.8500378955778941,17,22,22
20260915,80,16,31,8,0,0.9,0.833414266787938,7,16,16
20260916,80,16,31,8,0,0.8970588235294118,0.8369519839668684,10,16,16
20260917,68,28,31,8,0,0.8985507246376812,0.8200774931090271,12,28,28
20260918,73,23,31,8,0,0.8955223880597015,0.870549148665098,20,23,23
20260919,73,23,31,8,0,0.8985507246376812,0.8420834906882457,14,23,23
20260920,80,16,31,8,0,0.8970588235294118,0.8646230983883687,13,16,16
20260921,78,18,31,8,0,0.9,0.8626291146440352,14,18,18
