molecule,chembl_id,evidence_tier,assay_layer,species_or_source,value_original,value_note,assay_description_source,pmid,doi_or_journal,in_training_domain_flag,usable_as_bridge_training,notes
phloretin,CHEMBL45068,direct_biochemical_FASN_inhibition,purified enzyme (animal FASN; species per paper stated as animal),IC50 = 4.90 ± 0.66 uM,numeric; competitive vs acetyl-CoA; mixed vs malonyl-CoA; irreversible component reported,ACS Omega 2025 biochemical assay,40949263,10.1021/acsomega.5c0xxxx(见原文),no(0.712详见域间隙),conditional(single molecule;non-human enzyme source),最强直接证据；但酶源为动物FASN且为单分子,
asiatic acid,CHEMBL404313,direct_biochemical_FASN_inhibition,in vitro FAS assay (enzyme source not stated in abstract),IC50 = 9.52 ± 0.76 ug/mL,approx 19.4 uM by MW 488.70; unit conversion ours not paper's,Int J Anal Chem 2023 HSCCC分离后测活,37854347,10.1155/2023/xxxx(见原文),no,conditional,酶源物种未在摘要声明,
quercetin,CHEMBL50,direct_biochemical_FASN_inhibition(weak),in vitro FAS assay (enzyme source not stated),IC50 = 43.09 ± 2.98 ug/mL,approx 143 uM by MW 302.24,Int J Anal Chem 2023,37854347,见原文,no,conditional(弱活性),多酚聚集/干扰风险高,
kaempferol,CHEMBL150,direct_biochemical_FASN_inhibition(weak),in vitro FAS assay (enzyme source not stated),IC50 = 36.90 ± 1.83 ug/mL,approx 122 uM by MW 286.24,Int J Anal Chem 2023,37854347,见原文,no,conditional(弱活性),同上,
EGCG,CHEMBL297453,direct_biochemical_FASN_inhibition,enzyme-level inhibition reported (green tea catechin),定性+文献背景数值未在摘要给出,exact IC50 not extracted from abstract; 不虚构数值,Anticancer Res 2008 类,19189648,见原文,no,conditional,已知胶体聚集与non-specific报道风险,
avicularin,(无CHEMBL ID核验),direct_biochemical_qualitative_no_numeric,herb extract fractionation + constituent claim,no numeric IC50 in abstract,'potently inhibits FAS' 定性; 提取物IC50 0.48 ug/mL 不能归属单一成分,J Enzyme Inhib Med Chem 2006,16570511,见原文,no,no(无数值),不可作训练数据,
rutin,无,direct_candidate_via_cellular_lipogenesis,MCF-7 palmitate HPLC (cellular),50 uM时抑制>50% (palmitate合成),细胞脂生成读数≠纯酶FASN IC50,J Biomol Struct Dyn 2024,37909465,10.1080/07391102.2024.xxxx,no,no(cellular),明确标为cellular层,
trans-chlorogenic acid,无,direct_candidate_via_cellular_lipogenesis,MCF-7 palmitate HPLC (cellular),同上,同上,J Biomol Struct Dyn 2024,37909465,见原文,no,no(cellular),同上,
norbergenin,无,direct_candidate_via_cellular_lipogenesis,MCF-7 palmitate HPLC (cellular),同上,同上,J Biomol Struct Dyn 2024,37909465,见原文,no,no(cellular),同上,
myricetin,无,direct_candidate_via_cellular_lipogenesis,MCF-7 palmitate HPLC (cellular),同上,同上,J Biomol Struct Dyn 2024,37909465,见原文,no,no(cellular),同上,
baicalein,CHEMBL8260,expression_change_only,fructose-fed rat liver (in vivo expression),FASN/ACC等脂生成分子表达下调,表达/通路变化不能当FASN IC50,Front Pharmacol 2022,35847050,10.3389/fphar.2022.xxxx,no,no(expression),通路层级,
