model,permutation,n,mae,rmse,r2,spearman
ecfp_ridge,0,18,0.5853070720879079,0.6845674024173817,-0.6599529781989335,-0.4055727554179567
ecfp_rf,0,18,0.48207059628606846,0.5751440057282492,-0.17170032733724594,-0.34365325077399383
ecfp_xgb,0,18,0.5545839613634972,0.6668600631224298,-0.575189375820736,-0.1475748194014448
ecfp_ridge,1,18,0.7932102053761002,0.9593336381243038,-1.5667616539439249,-0.3717088776198447
ecfp_rf,1,18,0.5198645169216651,0.6521828329339651,-0.18627375616132746,-0.22302532657190682
ecfp_xgb,1,18,0.6145243267416994,0.7872303084779758,-0.7284220937963373,-0.15487869900826864
ecfp_ridge,2,18,0.70784219511819,0.8460470394508207,-0.970174509507308,-0.20960250599119024
ecfp_rf,2,18,0.5193568464237135,0.6315772805550545,-0.09791488601757803,0.0939597440650163
ecfp_xgb,2,18,0.7944797339795718,0.9352158589480447,-1.4073509148901673,-0.34692828577852175
ecfp_ridge,3,18,0.5375082221196938,0.6268727146991048,-0.14121826420228767,0.25206625020614065
ecfp_rf,3,18,0.4759102214961675,0.6158067716186504,-0.1012829100154784,-0.1508265267626907
ecfp_xgb,3,18,0.6183258253857971,0.7984076278885023,-0.8512255442668633,-0.26962824304837174
ecfp_ridge,4,18,0.68383376165776,0.8215022461416062,-0.4833350496476214,-0.029943215141598607
ecfp_rf,4,18,0.6133310409448909,0.7144188842968315,-0.12183142109673084,-0.08156944814435482
ecfp_xgb,4,18,0.6772397874213953,0.8337872939446964,-0.5280314521997282,0.06711410290358306
ecfp_ridge,5,18,0.5256803881935325,0.6837895348863113,-0.8350128265497656,0.23632610939112486
ecfp_rf,5,18,0.5868178215016218,0.6552427139494589,-0.6849949575329972,-0.11042311661506708
ecfp_xgb,5,18,0.6877764388030485,0.8706423174680209,-1.974909434394411,0.052631578947368425
ecfp_ridge,6,18,0.45396906184197783,0.5847286744680468,-0.6791974376290084,0.14049594273784888
ecfp_rf,6,18,0.38120203022789395,0.4685272723015883,-0.07810914692766224,0.36673573288188493
ecfp_xgb,6,18,0.4112507456462811,0.5225927200585138,-0.3412807464871208,0.3316117471974227
ecfp_ridge,7,18,0.819563888378676,0.9917839592484605,-0.7673088175249279,-0.2693498452012384
ecfp_rf,7,18,0.654704791912422,0.8001929348448715,-0.15044989700485178,-0.1042311661506708
ecfp_xgb,7,18,0.8892003607099226,1.0766400062077897,-1.0826644859176375,-0.3622291021671827
ecfp_ridge,8,18,0.6736839501060137,0.8172785493849867,-0.9779352876045952,-0.3181819879651283
ecfp_rf,8,18,0.4530907941537888,0.5885548373482489,-0.02575996535854963,0.01859505124471529
ecfp_xgb,8,18,0.6080030253514023,0.7108000095967728,-0.4961210307835513,0.10433889865090247
ecfp_ridge,9,18,0.5601513800972204,0.8080840746783805,-0.42413256666885957,0.40763673890608876
ecfp_rf,9,18,0.4892464732383915,0.6593216688266763,0.051948302173557614,0.4282765737874097
ecfp_xgb,9,18,0.5825077648756807,0.8059019586169412,-0.41645161663323615,0.3973168214654283
ecfp_ridge,10,18,0.5790482437591241,0.8390016412195624,-1.0888640547403008,0.08677690580867137
ecfp_rf,10,18,0.46616333247257696,0.5944750390880863,-0.04870129445040394,0.0
ecfp_xgb,10,18,0.47961242006998933,0.6655407955677377,-0.3144192743903125,0.44628122987316693
ecfp_ridge,11,18,0.788770643193109,1.0199942586572948,-2.1856225225063617,-0.2983996267559309
ecfp_rf,11,18,0.4557643302913868,0.6236370472953209,-0.19086538574844014,-0.3541559583989076
ecfp_xgb,11,18,0.6235167166392734,0.8672027775037069,-1.3027149422049926,-0.24057824579284393
ecfp_ridge,12,18,0.8112851824354651,1.1072641568167474,-2.883454998683238,0.03199174406604747
ecfp_rf,12,18,0.4828690199220174,0.6076504645791075,-0.16956257355499038,-0.09391124871001032
ecfp_xgb,12,18,0.7164809957440925,0.9343064239240636,-1.7649957206080051,-0.0608875128998968
ecfp_ridge,13,18,0.8182741744059392,0.9167354991965901,-0.42678545294897496,0.04231166150670795
ecfp_rf,13,18,0.6781530160068141,0.828681157718375,-0.1658575857762099,0.20330237358101136
ecfp_xgb,13,18,0.7131534625495211,0.8733822620365842,-0.29502844992097965,0.11455108359133126
