rank_in_target,target,name,herb,best_affinity_kcal_mol,smiles,mw,logp,hbd,hba,rotb,tpsa,admet_fail
1,THRB,moracin N,Morus alba(桑叶),-11.24,CC(=CCC1=C(C=C2C(=C1)C=C(O2)C3=CC(=CC(=C3)O)O)O)C,310.349,4.725300000000005,3,4,3,73.83000000000001,
2,THRB,daidzein,Pueraria lobata(葛根),-10.09,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,254.24099999999999,2.8712000000000018,2,4,1,70.67,
3,THRB,catechin,Polygonum cuspidatum(虎杖),-9.771,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.271,1.5461000000000014,5,6,1,110.38000000000001,
4,THRB,capillarisin,Artemisia capillaris(茵陈),-9.729,COC1=C(C2=C(C=C1O)OC(=CC2=O)OC3=CC=C(C=C3)O)O,316.265,2.710700000000001,3,7,3,109.36000000000001,
5,THRB,moracin M,Morus alba(桑叶),-9.66,C1=CC2=C(C=C1O)OC(=C2)C3=CC(=CC(=C3)O)O,242.23,3.2166000000000006,3,4,1,73.83000000000001,
6,THRB,3'-methoxydaidzein,Pueraria lobata(葛根),-9.639,COC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,284.26699999999994,2.879800000000002,2,5,2,79.9,
7,THRB,oxyresveratrol,Morus alba(桑叶),-9.597,C1=CC(=C(C=C1O)O)/C=C/C2=CC(=CC(=C2)O)O,244.24599999999998,2.679400000000002,4,4,2,80.92,
8,THRB,epicatechin,Crataegus pinnatifida(山楂),-9.458,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.271,1.5461000000000014,5,6,1,110.38000000000001,
9,THRB,biochanin A,Pueraria lobata(葛根),-9.324,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,284.26699999999994,2.879800000000002,2,5,2,79.9,
10,THRB,formononetin,Pueraria lobata(葛根),-9.234,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,268.268,3.174200000000002,1,4,2,59.67,
11,THRB,daidzin,Pueraria lobata(葛根),-8.909,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,416.38200000000006,0.34429999999999944,5,9,4,149.82,
12,THRB,rubrofusarin,Cassia obtusifolia(决明子),-8.761,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,272.256,2.6744200000000022,2,5,1,79.9,
13,THRB,toralactone,Cassia obtusifolia(决明子),-8.453,CC1=CC2=CC3=CC(=CC(=C3C(=C2C(=O)O1)O)O)OC,272.256,2.6744200000000022,2,5,1,79.9,
14,THRB,isorhamnetin,Artemisia capillaris(茵陈),-8.424,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,316.26499999999993,2.2910000000000013,4,7,2,120.36000000000001,
15,THRB,isovitexin,Crataegus pinnatifida(山楂),-8.319,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,432.3810000000001,0.09170000000000023,7,10,3,181.04999999999998,
16,THRB,torachrysone,Polygonum cuspidatum(虎杖),-8.167,CC1=CC2=CC(=CC(=C2C(=C1C(=O)C)O)O)OC,246.26199999999997,2.770620000000001,2,4,2,66.76,
17,THRB,genistin,Pueraria lobata(葛根),-7.984,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,432.3810000000001,0.04989999999999928,6,10,4,170.04999999999998,
18,THRB,niranthin,Phyllanthus niruri(叶下珠),-7.717,COC[C@@H](CC1=CC(=C(C=C1)OC)OC)[C@H](CC2=CC3=C(C(=C2)OC)OCO3)COC,432.51300000000026,3.7515000000000027,0,7,12,64.61000000000001,
19,THRB,piceid,Polygonum cuspidatum(虎杖),-7.694,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,390.3880000000001,0.44690000000000035,6,8,5,139.84,
20,THRB,obtusifolin,Cassia obtusifolia(决明子),-7.654,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C2=O)C=CC=C3O,284.267,2.1902200000000005,2,5,1,83.83,
21,THRB,scopoletin,Artemisia capillaris(茵陈),-7.454,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,192.16999999999996,1.5071999999999997,1,4,1,59.67,
22,THRB,aurantio-obtusin,Cassia obtusifolia(决明子),-7.421,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)O)OC)O,330.29200000000003,1.9044199999999996,3,7,2,113.29,
23,THRB,capillene,Artemisia capillaris(茵陈),-7.291,CC#CC#CCC1=CC=CC=C1,154.212,2.2558000000000007,0,0,1,0.0,
24,THRB,sarmentosin,Sedum sarmentosum(垂盆草),-7.28,C(/C=C(/CO)\C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,275.257,-2.7548199999999983,5,8,5,143.4,
25,THRB,umbelliferone,Artemisia capillaris(茵陈),-7.237,C1=CC(=CC2=C1C=CC(=O)O2)O,162.14399999999998,1.4986,1,3,0,50.44,
26,THRB,capillin,Artemisia capillaris(茵陈),-7.198,CC#CC#CC(=O)C1=CC=CC=C1,168.195,1.8960000000000001,0,1,1,17.07,
27,THRB,arcapillin,Artemisia capillaris(茵陈),-7.149,COC1=C(C=C(C(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)O)O,360.31800000000004,2.602600000000001,3,8,4,118.59000000000002,
28,THRB,scoparone,Artemisia capillaris(茵陈),-7.064,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,206.19699999999995,1.8101999999999996,0,4,2,48.67,
29,THRB,alisol B acetate,Alisma orientale(泽泻),-7.055,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)OC(=O)C)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2)C)C)(C)C)C)O,514.7470000000005,6.410900000000009,1,5,5,76.13,
30,THRB,maslinic acid,Crataegus pinnatifida(山楂),-7.011,C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@H]([C@@H](C3(C)C)O)O)C,472.7100000000002,6.204400000000008,3,3,1,77.76,
31,THRB,ursolic acid,Crataegus pinnatifida(山楂),-6.975,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,456.7110000000002,7.089500000000008,2,2,1,57.53,
32,THRB,oleanolic acid,Crataegus pinnatifida(山楂),-6.861,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,456.7110000000003,7.233600000000009,2,2,1,57.53,
33,THRB,obtusin,Cassia obtusifolia(决明子),-6.76,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)O,344.3190000000001,2.2074200000000004,2,7,3,102.29,
34,THRB,corosolic acid,Crataegus pinnatifida(山楂),-6.721,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,472.7100000000002,6.060300000000007,3,3,1,77.76,
