herb,name,FXR_affinity,FXR_rank,THRB_affinity,THRB_rank,FASN_affinity,FASN_rank,mean_rank_equal_weight_browsing_only,all_three_top20,mw,logp,hbd,hba,rotb,tpsa,admet_fail
Morus alba(桑叶),moracin N,-9.319,1,-11.24,1,-10.2,1,1.0,True,310.349,4.725300000000005,3,4,3,73.83000000000001,
Pueraria lobata(葛根),daidzein,-8.793,7,-10.09,2,-9.621,7,5.3,True,254.24099999999999,2.8712000000000018,2,4,1,70.67,
Pueraria lobata(葛根),formononetin,-8.946,5,-9.234,10,-9.708,4,6.3,True,268.268,3.174200000000002,1,4,2,59.67,
Pueraria lobata(葛根),3'-methoxydaidzein,-8.909,6,-9.639,6,-9.413,11,7.7,True,284.26699999999994,2.879800000000002,2,5,2,79.9,
Pueraria lobata(葛根),daidzin,-8.611,11,-8.909,11,-9.764,2,8.0,True,416.38200000000006,0.34429999999999944,5,9,4,149.82,
Polygonum cuspidatum(虎杖),catechin,-9.038,3,-9.771,3,-8.596,22,9.3,False,290.271,1.5461000000000014,5,6,1,110.38000000000001,
Morus alba(桑叶),moracin M,-8.75,8,-9.66,5,-8.856,18,10.3,True,242.23,3.2166000000000006,3,4,1,73.83000000000001,
Polygonum cuspidatum(虎杖),piceid,-9.004,4,-7.694,19,-9.432,9,10.7,True,390.3880000000001,0.44690000000000035,6,8,5,139.84,
Pueraria lobata(葛根),biochanin A,-8.62,9,-9.324,9,-9.06,14,10.7,True,284.26699999999994,2.879800000000002,2,5,2,79.9,
Pueraria lobata(葛根),genistin,-9.279,2,-7.984,17,-9.183,13,10.7,True,432.3810000000001,0.04989999999999928,6,10,4,170.04999999999998,
Crataegus pinnatifida(山楂),epicatechin,-8.516,13,-9.458,8,-8.936,16,12.3,True,290.271,1.5461000000000014,5,6,1,110.38000000000001,
Artemisia capillaris(茵陈),capillarisin,-8.274,17,-9.729,4,-8.917,17,12.7,True,316.265,2.710700000000001,3,7,3,109.36000000000001,
Morus alba(桑叶),oxyresveratrol,-8.614,10,-9.597,7,-8.553,23,13.3,False,244.24599999999998,2.679400000000002,4,4,2,80.92,
Artemisia capillaris(茵陈),isorhamnetin,-8.601,12,-8.424,14,-9.021,15,13.7,True,316.26499999999993,2.2910000000000013,4,7,2,120.36000000000001,
Cassia obtusifolia(决明子),toralactone,-8.035,19,-8.453,13,-8.762,19,17.0,True,272.256,2.6744200000000022,2,5,1,79.9,
Crataegus pinnatifida(山楂),isovitexin,-7.972,21,-8.319,15,-8.656,21,19.0,False,432.3810000000001,0.09170000000000023,7,10,3,181.04999999999998,
Cassia obtusifolia(决明子),rubrofusarin,-8.299,16,-8.761,12,-8.069,31,19.7,False,272.256,2.6744200000000022,2,5,1,79.9,
Pueraria lobata(葛根),ononin,-8.048,18,-6.631,37,-9.698,5,20.0,False,430.4090000000001,0.6472999999999995,4,9,5,138.82000000000002,
Crataegus pinnatifida(山楂),maslinic acid,-7.327,27,-7.011,30,-9.48,8,21.7,False,472.7100000000002,6.204400000000008,3,3,1,77.76,
Pueraria lobata(葛根),puerarin,-8.339,15,-6.076,45,-9.67,6,22.0,False,416.38200000000006,0.3861000000000004,6,9,3,160.82,
Crataegus pinnatifida(山楂),ursolic acid,-8.508,14,-6.975,31,-8.488,24,23.0,False,456.7110000000002,7.089500000000008,2,2,1,57.53,
Polygonum cuspidatum(虎杖),torachrysone,-7.518,25,-8.167,16,-8.035,32,24.3,False,246.26199999999997,2.770620000000001,2,4,2,66.76,
Morus alba(桑叶),mulberrofuran G,-7.208,30,-6.401,41,-9.75,3,24.7,False,562.5740000000004,7.0992000000000095,5,8,2,132.75,
Alisma orientale(泽泻),alisol B,-7.223,29,-6.659,36,-9.413,10,25.0,False,472.7100000000004,5.840100000000008,2,4,4,70.06,
Artemisia capillaris(茵陈),arcapillin,-7.758,22,-7.149,27,-8.018,33,27.3,False,360.31800000000004,2.602600000000001,3,8,4,118.59000000000002,
Cassia obtusifolia(决明子),obtusifolin,-6.976,34,-7.654,20,-8.142,29,27.7,False,284.267,2.1902200000000005,2,5,1,83.83,
Phyllanthus niruri(叶下珠),niranthin,-8.032,20,-7.717,18,-7.539,45,27.7,False,432.51300000000026,3.7515000000000027,0,7,12,64.61000000000001,
Artemisia capillaris(茵陈),capillin,-6.991,33,-7.198,26,-8.44,25,28.0,False,168.195,1.8960000000000001,0,1,1,17.07,
Artemisia capillaris(茵陈),capillene,-6.936,36,-7.291,23,-8.405,26,28.3,False,154.212,2.2558000000000007,0,0,1,0.0,
Artemisia capillaris(茵陈),scopoletin,-7.537,24,-7.454,21,-7.726,41,28.7,False,192.16999999999996,1.5071999999999997,1,4,1,59.67,
Alisma orientale(泽泻),alisol B acetate,-5.981,46,-7.055,29,-9.292,12,29.0,False,514.7470000000005,6.410900000000009,1,5,5,76.13,
Alisma orientale(泽泻),alisol C,-7.273,28,-6.481,39,-8.732,20,29.0,False,486.6930000000004,5.019100000000006,2,5,4,87.13000000000001,
Artemisia capillaris(茵陈),umbelliferone,-7.485,26,-7.237,25,-7.639,44,31.7,False,162.14399999999998,1.4986,1,3,0,50.44,
Artemisia capillaris(茵陈),scoparone,-7.733,23,-7.064,28,-7.47,46,32.3,False,206.19699999999995,1.8101999999999996,0,4,2,48.67,
Cassia obtusifolia(决明子),aurantio-obtusin,-6.2,45,-7.421,22,-7.908,36,34.3,False,330.29200000000003,1.9044199999999996,3,7,2,113.29,
Sedum sarmentosum(垂盆草),sarmentosin,-7.107,32,-7.28,24,-6.416,51,35.7,False,275.257,-2.7548199999999983,5,8,5,143.4,
Crataegus pinnatifida(山楂),oleanolic acid,-5.459,47,-6.861,32,-8.13,30,36.3,False,456.7110000000003,7.233600000000009,2,2,1,57.53,
Cassia obtusifolia(决明子),obtusin,-6.833,40,-6.76,33,-7.896,38,37.0,False,344.3190000000001,2.2074200000000004,2,7,3,102.29,
Alisma orientale(泽泻),alisol A,-6.608,41,-6.382,42,-7.997,34,39.0,False,490.7250000000004,4.7945000000000055,4,5,5,97.99,
Crataegus pinnatifida(山楂),tormentic acid,-4.801,54,-6.683,35,-8.267,28,39.0,False,488.70900000000023,5.175200000000006,4,4,1,97.99,
Alisma orientale(泽泻),16-oxo-alisol A,-6.868,38,-6.055,46,-7.926,35,39.7,False,504.7080000000004,3.9735000000000036,4,6,5,115.05999999999999,
Crataegus pinnatifida(山楂),vitexin,-6.834,39,-6.377,43,-7.898,37,39.7,False,432.3810000000001,0.09170000000000023,7,10,3,181.04999999999998,
Morus alba(桑叶),astragalin,-7.143,31,-5.565,49,-7.689,42,40.7,False,448.3800000000001,-0.24450000000000044,7,11,4,190.27999999999997,
Crataegus pinnatifida(山楂),hyperoside,-6.973,35,-5.906,47,-7.661,43,41.7,False,464.37900000000013,-0.5388999999999997,8,12,4,210.50999999999996,
Crataegus pinnatifida(山楂),procyanidin B2,-5.262,51,-5.69,48,-8.361,27,42.0,False,578.5260000000004,2.995000000000006,10,12,3,220.75999999999996,
Crataegus pinnatifida(山楂),corosolic acid,-4.838,53,-6.721,34,-7.816,40,42.3,False,472.7100000000002,6.060300000000007,3,3,1,77.76,
Crataegus pinnatifida(山楂),isoquercitrin,-6.889,37,-6.234,44,-7.335,47,42.7,False,464.37900000000013,-0.5388999999999997,8,12,5,210.50999999999996,
Artemisia capillaris(茵陈),"1,2-dimethoxy-4-vinylbenzene",-6.278,44,-6.407,40,-6.84,50,44.7,False,164.20399999999995,2.3468,0,2,3,18.46,
Alisma orientale(泽泻),alismol,-5.349,49,-6.562,38,-5.847,52,46.3,False,220.35599999999994,3.6960000000000024,1,1,1,20.23,
Cassia obtusifolia(决明子),chryso-obtusin,-5.132,52,-5.468,50,-7.819,39,47.0,False,358.3460000000001,2.5104200000000008,1,7,4,91.29,
Phyllanthus niruri(叶下珠),nirtetralin,-6.453,43,-4.586,52,-7.234,48,47.7,False,430.49700000000024,3.6543000000000037,0,7,8,64.61000000000001,
Phyllanthus niruri(叶下珠),hypophyllanthin,-6.561,42,-4.231,54,-7.207,49,48.3,False,430.49700000000024,3.6543000000000037,0,7,8,64.61000000000001,
Morus alba(桑叶),1-deoxynojirimycin,-5.429,48,-5.409,51,-5.248,54,51.0,False,163.173,-2.9667999999999983,5,5,1,92.95,
Alisma orientale(泽泻),alismoxide,-5.282,50,-4.264,53,-5.711,53,52.0,False,238.37099999999995,2.890800000000002,2,2,1,40.46,
