admet_flags,admet_risk_count,admet_status,aromatic_ring_count,aromatic_rings,brd_id,brenk_alerts,brenk_count,brenk_matches,canonical_smiles,decision,duplicate_group,duplicate_of,exact_structure_key,formal_charge,fraction_csp3,fragment_count,fsp3,hba,hbd,heavy_atoms,inchi_key,inchikey,input_index,input_smiles,label,logp,macrocycles,metal_elements,ml_shap_status,ml_status,molecular_weight,morgan_bit_count,morgan_fp_hex,morgan_n_bits,morgan_on_bits,morgan_radius,mw,nearest_selected_similarity,nih_alerts,nih_count,nih_matches,original_smiles,pains_alerts,pains_count,pains_matches,priority_score,qed,reason_actions,reason_codes,reason_details,reasons,reject_reasons,review_reasons,ring_count,rings,ro5_reasons,ro5_violations,rotatable_bonds,sa_score,scaffold_smiles,screening_status,selected_for_docking,selection_reason,smiles,source_file,source_format,source_index,source_sha256,standardization_steps,standardization_warning,standardized_smiles,stereo_centers,tpsa,unsupported_elements,veber_pass
,,error,3,3,moracin_N,isolated_alkene,1,"[{""atom_indices"": [1, 3], ""description"": ""isolated_alkene"", ""filter_set"": ""Brenk"", ""reference"": ""Brenk R et al. Lessons Learnt from Assembling Screening Libraries for Drug Discovery for Neglected Diseases. ChemMedChem 3 (2008) 435-444. doi:10.1002/cmdc.200700139."", ""scope"": ""unwanted functionality due to potential tox reasons or unfavourable pharmacokinetic properties""}]",CC(C)=CCc1cc2cc(-c3cc(O)cc(O)c3)oc2cc1O,REVIEW,moracin_N,,WBSCSIABHGPAMC-UHFFFAOYSA-N,0,0.1579,1,0.1579,4,3,23,WBSCSIABHGPAMC-UHFFFAOYSA-N,WBSCSIABHGPAMC-UHFFFAOYSA-N,1,CC(C)=CCc1cc2cc(-c3cc(O)cc(O)c3)oc2cc1O,,4.7253,0,,pending,skipped_insufficient_labels,310.349,37,0000000002000000000001000000400200010000c00000000000000000020040000000000000020020000000100000000000000000000002000000800000000000000000004000409400000000804000000001082000400800000000000200000008010080000080040002000008000000000000000000800000000000000003,1024,"[33, 80, 118, 121, 136, 166, 167, 233, 254, 305, 325, 356, 441, 479, 558, 574, 578, 580, 583, 623, 630, 656, 667, 677, 694, 699, 745, 779, 784, 807, 831, 834, 849, 875, 959, 1016, 1017]",2,310.349,0.4651,,0,[],CC(C)=CCc1cc2cc(-c3cc(O)cc(O)c3)oc2cc1O,,0,[],0.77704,0.6116,"{""brenk_alert"": ""review""}","[""brenk_alert""]","{""brenk_alert"": ""isolated_alkene""}",brenk_alert:isolated_alkene,,brenk_alert:isolated_alkene,3,3,,0,3,2.704,c1ccc(-c2cc3ccccc3o2)cc1,REVIEW,True,SELECTED,CC(C)=CCc1cc2cc(-c3cc(O)cc(O)c3)oc2cc1O,hits13.smi,smi,1,7f5290302d7ed04e02fda6364ba9126cf00b82692fc39377c0b3fb89246dbd9c,"{""metal_elements"": [], ""metal_mode"": ""reject"", ""protonation_mode"": ""preserve"", ""salt_mode"": ""largest_fragment"", ""tautomer_mode"": ""off""}",,CC(C)=CCc1cc2cc(-c3cc(O)cc(O)c3)oc2cc1O,0,73.83,,True
,,error,3,3,daidzein,,0,[],O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,PASS,daidzein,,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,0,0.0,1,0.0,4,2,19,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,2,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,,2.8712,0,,pending,skipped_insufficient_labels,254.241,30,0000000000000000000000000000000000010000000000000000024000200000000000000200010400200000110000200100000000000000000002010000000000200000000000000400000000000000000401000000040020004000000204000000010080000000000002000008000001000000002000000000000000000002,1024,"[136, 209, 222, 237, 289, 304, 314, 333, 352, 356, 381, 384, 465, 472, 525, 578, 650, 656, 690, 709, 726, 745, 754, 784, 807, 849, 875, 896, 941, 1017]",2,254.241,0.7632,,0,[],O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,,0,[],0.828258,0.7001,{},[],{},,,,3,3,,0,1,2.0713,O=c1c(-c2ccccc2)coc2ccccc12,PASS,True,SELECTED,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,hits13.smi,smi,2,7f5290302d7ed04e02fda6364ba9126cf00b82692fc39377c0b3fb89246dbd9c,"{""metal_elements"": [], ""metal_mode"": ""reject"", ""protonation_mode"": ""preserve"", ""salt_mode"": ""largest_fragment"", ""tautomer_mode"": ""off""}",,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,0,70.67,,True
,,error,3,3,formononetin,,0,[],COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,PASS,formononetin,,HKQYGTCOTHHOMP-UHFFFAOYSA-N,0,0.0625,1,0.0625,4,1,20,HKQYGTCOTHHOMP-UHFFFAOYSA-N,HKQYGTCOTHHOMP-UHFFFAOYSA-N,3,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,,3.1742,0,,pending,skipped_insufficient_labels,268.268,37,0000000002000000000000000000000000010000000000000000024000200000000000000200010404200000110000200100000000000000000002010000000001200000000000000400000000000000000401000000840020404000000200000020010080000080000202000008000001000000002000000000000000000002,1024,"[33, 136, 209, 222, 237, 289, 304, 314, 322, 333, 352, 356, 381, 384, 465, 472, 512, 525, 578, 650, 656, 690, 695, 709, 718, 726, 745, 781, 784, 807, 831, 841, 849, 875, 896, 941, 1017]",2,268.268,0.0,,0,[],COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,,0,[],0.861233,0.7751,{},[],{},,,,3,3,,0,2,1.9523,O=c1c(-c2ccccc2)coc2ccccc12,PASS,True,SELECTED,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,hits13.smi,smi,3,7f5290302d7ed04e02fda6364ba9126cf00b82692fc39377c0b3fb89246dbd9c,"{""metal_elements"": [], ""metal_mode"": ""reject"", ""protonation_mode"": ""preserve"", ""salt_mode"": ""largest_fragment"", ""tautomer_mode"": ""off""}",,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,0,59.67,,True
,,error,3,3,3_-methoxydaidzein,,0,[],COc1cc(-c2coc3cc(O)ccc3c2=O)ccc1O,PASS,3_-methoxydaidzein,,MUYAUELJBWQNDH-UHFFFAOYSA-N,0,0.0625,1,0.0625,5,2,21,MUYAUELJBWQNDH-UHFFFAOYSA-N,MUYAUELJBWQNDH-UHFFFAOYSA-N,4,COc1cc(-c2coc3cc(O)ccc3c2=O)ccc1O,,2.8798,0,,pending,skipped_insufficient_labels,284.267,40,0000000002000000000000000000000000010100000000000000020000200002000000000200010408200000110000200100000000000000080002010000000001200000000000008400000040000000000401000000840020004000000200000000010080000000002202000008000001000000002004000000000000000002,1024,"[33, 136, 144, 209, 237, 249, 289, 304, 314, 323, 333, 352, 356, 381, 384, 451, 465, 472, 512, 525, 578, 583, 614, 650, 656, 690, 695, 709, 726, 745, 784, 807, 841, 845, 849, 875, 896, 941, 946, 1017]",2,284.267,0.7111,,0,[],COc1cc(-c2coc3cc(O)ccc3c2=O)ccc1O,,0,[],0.84829,0.756,{},[],{},,,,3,3,,0,2,2.1644,O=c1c(-c2ccccc2)coc2ccccc12,PASS,True,SELECTED,COc1cc(-c2coc3cc(O)ccc3c2=O)ccc1O,hits13.smi,smi,4,7f5290302d7ed04e02fda6364ba9126cf00b82692fc39377c0b3fb89246dbd9c,"{""metal_elements"": [], ""metal_mode"": ""reject"", ""protonation_mode"": ""preserve"", ""salt_mode"": ""largest_fragment"", ""tautomer_mode"": ""off""}",,COc1cc(-c2coc3cc(O)ccc3c2=O)ccc1O,0,79.9,,True
,,error,3,3,daidzin,,0,[],O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,REVIEW,daidzin,,KYQZWONCHDNPDP-QNDFHXLGSA-N,0,0.2857,1,0.2857,9,5,30,KYQZWONCHDNPDP-QNDFHXLGSA-N,KYQZWONCHDNPDP-QNDFHXLGSA-N,5,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,,0.3443,0,,pending,skipped_insufficient_labels,416.382,50,002000000000000000000100000000000001000000004000000002400022000000000000020001040420000011000000010000000000000000800200001000000030000100040000040008040000000000040100000084002040400000420c00000801108000000000000200000800200300000000240000000000000000000a,1024,"[13, 80, 136, 182, 209, 222, 233, 237, 289, 304, 314, 322, 333, 352, 356, 384, 463, 465, 492, 524, 525, 536, 554, 578, 595, 602, 650, 656, 690, 695, 709, 718, 726, 745, 750, 754, 755, 779, 784, 796, 807, 849, 875, 893, 896, 897, 938, 941, 1017, 1019]",2,416.382,0.5385,,0,[],O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,,0,[],0.67079,0.4057,"{""qed_below_min"": ""review"", ""veber_fail"": ""review""}","[""qed_below_min"", ""veber_fail""]","{""qed_below_min"": ""0.4057""}",qed_below_min:0.4057|veber_fail,,qed_below_min:0.4057|veber_fail,4,4,,0,4,3.6596,O=c1c(-c2ccccc2)coc2cc(O[C@H]3CCCCO3)ccc12,REVIEW,True,SELECTED,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,hits13.smi,smi,5,7f5290302d7ed04e02fda6364ba9126cf00b82692fc39377c0b3fb89246dbd9c,"{""metal_elements"": [], ""metal_mode"": ""reject"", ""protonation_mode"": ""preserve"", ""salt_mode"": ""largest_fragment"", ""tautomer_mode"": ""off""}",,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,5,149.82,,False
,,error,3,3,moracin_M,,0,[],Oc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1,PASS,moracin_M,,LHPRYOJTASOZGJ-UHFFFAOYSA-N,0,0.0,1,0.0,4,3,18,LHPRYOJTASOZGJ-UHFFFAOYSA-N,LHPRYOJTASOZGJ-UHFFFAOYSA-N,6,Oc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1,,3.2166,0,,pending,skipped_insufficient_labels,242.23,26,0000000000000000000000000000000200010000c00000000008000000000000000000000200020000000000100000200000000000000000000000010000000000000000000000001400000000004000000001080000000000004000000200000008010080000080000002000008000000000000000000800000800000000001,1024,"[121, 136, 166, 167, 203, 289, 305, 356, 381, 472, 578, 580, 630, 656, 667, 726, 745, 779, 784, 807, 831, 849, 875, 959, 983, 1016]",2,242.23,0.3023,,0,[],Oc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1,,0,[],0.78716,0.6122,{},[],{},,,,3,3,,0,1,2.3088,c1ccc(-c2cc3ccccc3o2)cc1,PASS,True,SELECTED,Oc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1,hits13.smi,smi,6,7f5290302d7ed04e02fda6364ba9126cf00b82692fc39377c0b3fb89246dbd9c,"{""metal_elements"": [], ""metal_mode"": ""reject"", ""protonation_mode"": ""preserve"", ""salt_mode"": ""largest_fragment"", ""tautomer_mode"": ""off""}",,Oc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1,0,73.83,,True
,,error,2,2,piceid,stilbene,1,"[{""atom_indices"": [6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21], ""description"": ""stilbene"", ""filter_set"": ""Brenk"", ""reference"": ""Brenk R et al. Lessons Learnt from Assembling Screening Libraries for Drug Discovery for Neglected Diseases. ChemMedChem 3 (2008) 435-444. doi:10.1002/cmdc.200700139."", ""scope"": ""unwanted functionality due to potential tox reasons or unfavourable pharmacokinetic properties""}]",OC[C@H]1O[C@@H](Oc2cc(O)cc(/C=C/c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,REVIEW,piceid,,HSTZMXCBWJGKHG-CUYWLFDKSA-N,0,0.3,1,0.3,8,6,28,HSTZMXCBWJGKHG-CUYWLFDKSA-N,HSTZMXCBWJGKHG-CUYWLFDKSA-N,7,OC[C@H]1O[C@@H](Oc2cc(O)cc(/C=C/c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,,0.4469,0,,pending,skipped_insufficient_labels,390.388,40,0020000200000000000001000000000000000000800040000000004000020000000000000200000004000000100000000001000000000000008044000010000000100001000400000c00000400000000000001000000c0000000400000420c000000011080000000000002000008002002000000004400000000000000000208,1024,"[13, 25, 80, 167, 182, 222, 233, 289, 322, 356, 392, 463, 466, 470, 492, 524, 536, 554, 578, 579, 602, 656, 694, 695, 726, 745, 750, 754, 755, 784, 796, 807, 849, 875, 893, 897, 938, 942, 1009, 1019]",2,390.388,0.5254,,0,[],OC[C@H]1O[C@@H](Oc2cc(O)cc(/C=C/c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,,0,[],0.63205,0.4045,"{""brenk_alert"": ""review"", ""qed_below_min"": ""review""}","[""qed_below_min"", ""brenk_alert""]","{""brenk_alert"": ""stilbene"", ""qed_below_min"": ""0.4045""}",brenk_alert:stilbene|qed_below_min:0.4045,,brenk_alert:stilbene|qed_below_min:0.4045,3,3,HBD>5,1,5,3.69,C(=C\c1cccc(O[C@H]2CCCCO2)c1)/c1ccccc1,REVIEW,True,SELECTED,OC[C@H]1O[C@@H](Oc2cc(O)cc(/C=C/c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,hits13.smi,smi,7,7f5290302d7ed04e02fda6364ba9126cf00b82692fc39377c0b3fb89246dbd9c,"{""metal_elements"": [], ""metal_mode"": ""reject"", ""protonation_mode"": ""preserve"", ""salt_mode"": ""largest_fragment"", ""tautomer_mode"": ""off""}",,OC[C@H]1O[C@@H](Oc2cc(O)cc(/C=C/c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,5,139.84,,True
,,error,3,3,biochanin_A,,0,[],COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,PASS,biochanin_A,,WUADCCWRTIWANL-UHFFFAOYSA-N,0,0.0625,1,0.0625,5,2,21,WUADCCWRTIWANL-UHFFFAOYSA-N,WUADCCWRTIWANL-UHFFFAOYSA-N,8,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,,2.8798,0,,pending,skipped_insufficient_labels,284.267,38,0000000002004000000000000000000000010020800800000000024000000000000000000000010404000000110000000100000000000000000002010000000001200000000000008400000400000000000401000000840000404000000200000020010080000080000202000008000001000000000000000100000000000001,1024,"[33, 54, 136, 157, 167, 171, 209, 222, 304, 314, 322, 352, 356, 384, 465, 472, 512, 525, 578, 583, 602, 650, 656, 690, 695, 718, 726, 745, 781, 784, 807, 831, 841, 849, 875, 896, 960, 1016]",2,284.267,0.6667,,0,[],COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,,0,[],0.84808,0.756,{},[],{},,,,3,3,,0,2,2.1728,O=c1c(-c2ccccc2)coc2ccccc12,PASS,True,SELECTED,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,hits13.smi,smi,8,7f5290302d7ed04e02fda6364ba9126cf00b82692fc39377c0b3fb89246dbd9c,"{""metal_elements"": [], ""metal_mode"": ""reject"", ""protonation_mode"": ""preserve"", ""salt_mode"": ""largest_fragment"", ""tautomer_mode"": ""off""}",,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,0,79.9,,True
,,error,3,3,genistin,,0,[],O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,REVIEW,genistin,,ZCOLJUOHXJRHDI-CMWLGVBASA-N,0,0.2857,1,0.2857,10,6,31,ZCOLJUOHXJRHDI-CMWLGVBASA-N,ZCOLJUOHXJRHDI-CMWLGVBASA-N,9,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,,0.0499,0,,pending,skipped_insufficient_labels,432.381,49,002000000000400000000100000000000001000000084000000002400002000000000000020001040400000011000000010000000000000000800200001000000030000100040000840000040000000000040100000084000000400000420c000008011080000000000002000008002003000000004400000100000000000009,1024,"[13, 54, 80, 136, 171, 182, 209, 222, 233, 289, 304, 314, 322, 352, 356, 384, 463, 465, 492, 524, 525, 536, 554, 578, 583, 602, 650, 656, 690, 695, 726, 745, 750, 754, 755, 779, 784, 796, 807, 849, 875, 893, 896, 897, 938, 942, 960, 1016, 1019]",2,432.381,0.7679,,0,[],O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,,0,[],0.599073,0.331,"{""qed_below_min"": ""review"", ""veber_fail"": ""review""}","[""qed_below_min"", ""veber_fail""]","{""qed_below_min"": ""0.331""}",qed_below_min:0.331|veber_fail,,qed_below_min:0.331|veber_fail,4,4,HBD>5,1,4,3.8331,O=c1c(-c2ccccc2)coc2cc(O[C@H]3CCCCO3)ccc12,REVIEW,True,SELECTED,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,hits13.smi,smi,9,7f5290302d7ed04e02fda6364ba9126cf00b82692fc39377c0b3fb89246dbd9c,"{""metal_elements"": [], ""metal_mode"": ""reject"", ""protonation_mode"": ""preserve"", ""salt_mode"": ""largest_fragment"", ""tautomer_mode"": ""off""}",,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,5,170.05,,False
,,error,2,2,epicatechin,catechol,1,"[{""atom_indices"": [10, 11, 12, 13, 14, 15, 16, 17], ""description"": ""catechol"", ""filter_set"": ""Brenk"", ""reference"": ""Brenk R et al. Lessons Learnt from Assembling Screening Libraries for Drug Discovery for Neglected Diseases. ChemMedChem 3 (2008) 435-444. doi:10.1002/cmdc.200700139."", ""scope"": ""unwanted functionality due to potential tox reasons or unfavourable pharmacokinetic properties""}]",Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,REVIEW,epicatechin,,PFTAWBLQPZVEMU-UKRRQHHQSA-N,0,0.2,1,0.2,6,5,21,PFTAWBLQPZVEMU-UKRRQHHQSA-N,PFTAWBLQPZVEMU-UKRRQHHQSA-N,10,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,,1.5461,0,,pending,skipped_insufficient_labels,290.271,34,0000000000000000000000080000000000100020800000100000000080020080000000000000000800000000100a0000000000000000000009000000000000000200000000000000842000000000000000010100000000000000400000c200000008000080000000080802000008020002000040000000000000000000000008,1024,"[91, 140, 157, 167, 188, 231, 233, 255, 315, 356, 361, 363, 448, 451, 513, 578, 583, 589, 648, 656, 726, 745, 750, 751, 779, 807, 835, 843, 849, 875, 881, 897, 926, 1019]",2,290.271,0.2131,,0,[],Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,catechol_A(92),1,"[{""atom_indices"": [10, 11, 12, 13, 14, 15, 16, 17], ""description"": ""catechol_A(92)"", ""filter_set"": ""PAINS_B"", ""reference"": ""Baell JB, Holloway GA. New Substructure Filters for Removal of Pan Assay Interference Compounds (PAINS) from Screening Libraries and for Their Exclusion in Bioassays. J Med Chem 53 (2010) 2719D40. doi:10.1021/jm901137j."", ""scope"": ""PAINS filters (family B)""}]",0.720238,0.5096,"{""brenk_alert"": ""review"", ""pains_alert"": ""review""}","[""pains_alert"", ""brenk_alert""]","{""brenk_alert"": ""catechol"", ""pains_alert"": ""catechol_A(92)""}",brenk_alert:catechol|pains_alert:catechol_A(92),,brenk_alert:catechol|pains_alert:catechol_A(92),3,3,,0,1,3.3441,c1ccc([C@@H]2CCc3ccccc3O2)cc1,REVIEW,True,SELECTED,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,hits13.smi,smi,10,7f5290302d7ed04e02fda6364ba9126cf00b82692fc39377c0b3fb89246dbd9c,"{""metal_elements"": [], ""metal_mode"": ""reject"", ""protonation_mode"": ""preserve"", ""salt_mode"": ""largest_fragment"", ""tautomer_mode"": ""off""}",,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,2,110.38,,True
