name,herb,smiles,mw,clogp,hbd,hba,rotb,tpsa,aromatic_oh_count,structural_alerts,polyphenol_ge4_line,lipid_like_triterpene_line,note
scoparone,Artemisia capillaris(茵陈),COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,206.2,1.81,0,4,2,48.7,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
scopoletin,Artemisia capillaris(茵陈),COC1=C(C=C2C(=C1)C=CC(=O)O2)O,192.2,1.51,1,4,1,59.7,1,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
umbelliferone,Artemisia capillaris(茵陈),C1=CC(=CC2=C1C=CC(=O)O2)O,162.1,1.5,1,3,0,50.4,1,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
capillarisin,Artemisia capillaris(茵陈),COC1=C(C2=C(C=C1O)OC(=CC2=O)OC3=CC=C(C=C3)O)O,316.3,2.71,3,7,3,109.4,3,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
arcapillin,Artemisia capillaris(茵陈),COC1=C(C=C(C(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)O)O,360.3,2.6,3,8,4,118.6,3,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
capillin,Artemisia capillaris(茵陈),CC#CC#CC(=O)C1=CC=CC=C1,168.2,1.9,0,1,1,17.1,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
capillene,Artemisia capillaris(茵陈),CC#CC#CCC1=CC=CC=C1,154.2,2.26,0,0,1,0.0,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
"1,2-dimethoxy-4-vinylbenzene",Artemisia capillaris(茵陈),COC1=C(C=C(C=C1)C=C)OC,164.2,2.35,0,2,3,18.5,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
isorhamnetin,Artemisia capillaris(茵陈),COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,316.3,2.29,4,7,2,120.4,4,,"aromatic-OH>=4 (aggregator/autotoxidation risk line, not proof)",,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
vitexin,Crataegus pinnatifida(山楂),C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,432.4,0.09,7,10,3,181.0,3,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
isovitexin,Crataegus pinnatifida(山楂),C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,432.4,0.09,7,10,3,181.0,3,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
hyperoside,Crataegus pinnatifida(山楂),C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,464.4,-0.54,8,12,4,210.5,4,,"aromatic-OH>=4 (aggregator/autotoxidation risk line, not proof)",,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
isoquercitrin,Crataegus pinnatifida(山楂),C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H](O4)[C@@H](CO)O)O)O)O)O,464.4,-0.54,8,12,5,210.5,4,,"aromatic-OH>=4 (aggregator/autotoxidation risk line, not proof)",,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
epicatechin,Crataegus pinnatifida(山楂),C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.3,1.55,5,6,1,110.4,4,,"aromatic-OH>=4 (aggregator/autotoxidation risk line, not proof)",,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
procyanidin B2,Crataegus pinnatifida(山楂),C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,578.5,3.0,10,12,3,220.8,8,,"aromatic-OH>=4 (aggregator/autotoxidation risk line, not proof)",,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
ursolic acid,Crataegus pinnatifida(山楂),C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,456.7,7.09,2,2,1,57.5,0,,,triterpene/lipid-like (solubility&assay-artifact risk line),alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
oleanolic acid,Crataegus pinnatifida(山楂),C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,456.7,7.23,2,2,1,57.5,0,,,triterpene/lipid-like (solubility&assay-artifact risk line),alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
corosolic acid,Crataegus pinnatifida(山楂),C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,472.7,6.06,3,3,1,77.8,0,,,triterpene/lipid-like (solubility&assay-artifact risk line),alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
maslinic acid,Crataegus pinnatifida(山楂),C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@H]([C@@H](C3(C)C)O)O)C,472.7,6.2,3,3,1,77.8,0,,,triterpene/lipid-like (solubility&assay-artifact risk line),alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
tormentic acid,Crataegus pinnatifida(山楂),C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@]1(C)O)C)C(=O)O,488.7,5.18,4,4,1,98.0,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
alisol A,Alisma orientale(泽泻),C[C@H](C[C@@H]([C@H](C(C)(C)O)O)O)C1=C2C[C@@H]([C@H]3[C@]4(CCC(=O)C([C@@H]4CC[C@@]3([C@]2(CC1)C)C)(C)C)C)O,490.7,4.79,4,5,5,98.0,0,,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
alisol B,Alisma orientale(泽泻),C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)O)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2)C)C)(C)C)C)O,472.7,5.84,2,4,4,70.1,0,epoxide_3ring,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
alisol C,Alisma orientale(泽泻),C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)O)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2=O)C)C)(C)C)C)O,486.7,5.02,2,5,4,87.1,0,Michael_acceptor_enone_rough;epoxide_3ring,,,alerts=risk leads only; NOT full PAINS; aggregator DB comparison pending
