name,herb,lib_cid,lib_mw,lib_smiles,lib_formula,pubchem_cid,pubchem_iupac,pubchem_formula,pubchem_mw,formula_match,cid_match,smiles_match_nonisomeric,smiles_match_isomeric,lib_has_stereo,pubchem_has_stereo,auto_status,manual_tier_pending,auto_status_v2,auto_basis,tier_B_manual_pending
moracin N,Morus alba(桑叶),641376.0,310.3,CC(=CCC1=C(C=C2C(=C1)C=C(O2)C3=CC(=CC(=C3)O)O)O)C,C19H18O4,641376,"5-[6-hydroxy-5-(3-methylbut-2-enyl)-1-benzofuran-2-yl]benzene-1,3-diol",C19H18O4,310.3,True,True,True,True,False,False,PASS,herb-source / isolated-stereo / reviewer sign-off (human),PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo config; reviewer sign-off
daidzein,Pueraria lobata(葛根),5281708.0,254.24,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,C15H10O4,5281708,7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one,C15H10O4,254.24,True,True,True,True,False,False,PASS,herb-source / isolated-stereo / reviewer sign-off (human),PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo config; reviewer sign-off
formononetin,Pueraria lobata(葛根),5280378.0,268.26,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,C16H12O4,5280378,7-hydroxy-3-(4-methoxyphenyl)chromen-4-one,C16H12O4,268.26,True,True,True,True,False,False,PASS,herb-source / isolated-stereo / reviewer sign-off (human),PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo config; reviewer sign-off
3'-methoxydaidzein,Pueraria lobata(葛根),5319422.0,284.26,COC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,C16H12O5,5319422,7-hydroxy-3-(4-hydroxy-3-methoxyphenyl)chromen-4-one,C16H12O5,284.26,True,True,True,True,False,False,PASS,herb-source / isolated-stereo / reviewer sign-off (human),PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo config; reviewer sign-off
daidzin,Pueraria lobata(葛根),107971.0,416.4,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,C21H20O9,107971,"3-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",C21H20O9,416.4,True,True,False,True,True,True,MISMATCH,herb-source / isolated-stereo / reviewer sign-off (human),PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo config; reviewer sign-off
moracin M,Morus alba(桑叶),185848.0,242.23,C1=CC2=C(C=C1O)OC(=C2)C3=CC(=CC(=C3)O)O,C14H10O4,185848,"5-(6-hydroxy-1-benzofuran-2-yl)benzene-1,3-diol",C14H10O4,242.23,True,True,True,True,False,False,PASS,herb-source / isolated-stereo / reviewer sign-off (human),PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo config; reviewer sign-off
piceid,Polygonum cuspidatum(虎杖),5281718.0,390.4,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,C20H22O8,5281718,"(2S,3R,4S,5S,6R)-2-[3-hydroxy-5-[(E)-2-(4-hydroxyphenyl)ethenyl]phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",C20H22O8,390.4,True,True,False,True,True,True,MISMATCH,herb-source / isolated-stereo / reviewer sign-off (human),PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo config; reviewer sign-off
biochanin A,Pueraria lobata(葛根),5280373.0,284.26,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,C16H12O5,5280373,"5,7-dihydroxy-3-(4-methoxyphenyl)chromen-4-one",C16H12O5,284.26,True,True,True,True,False,False,PASS,herb-source / isolated-stereo / reviewer sign-off (human),PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo config; reviewer sign-off
genistin,Pueraria lobata(葛根),5281377.0,432.4,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,C21H20O10,5281377,"5-hydroxy-3-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",C21H20O10,432.4,True,True,False,True,True,True,MISMATCH,herb-source / isolated-stereo / reviewer sign-off (human),PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo config; reviewer sign-off
epicatechin,Crataegus pinnatifida(山楂),72276.0,290.27,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,72276,"(2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C15H14O6,290.27,True,True,False,True,True,True,MISMATCH,herb-source / isolated-stereo / reviewer sign-off (human),PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo config; reviewer sign-off
capillarisin,Artemisia capillaris(茵陈),5281342.0,316.26,COC1=C(C2=C(C=C1O)OC(=CC2=O)OC3=CC=C(C=C3)O)O,C16H12O7,5281342,"5,7-dihydroxy-2-(4-hydroxyphenoxy)-6-methoxychromen-4-one",C16H12O7,316.26,True,True,True,True,False,False,PASS,herb-source / isolated-stereo / reviewer sign-off (human),PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo config; reviewer sign-off
isorhamnetin,Artemisia capillaris(茵陈),5281654.0,316.26,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C16H12O7,5281654,"3,5,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)chromen-4-one",C16H12O7,316.26,True,True,True,True,False,False,PASS,herb-source / isolated-stereo / reviewer sign-off (human),PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo config; reviewer sign-off
toralactone,Cassia obtusifolia(决明子),5321980.0,272.25,CC1=CC2=CC3=CC(=CC(=C3C(=C2C(=O)O1)O)O)OC,C15H12O5,5321980,"9,10-dihydroxy-7-methoxy-3-methylbenzo[g]isochromen-1-one",C15H12O5,272.25,True,True,True,True,False,False,PASS,herb-source / isolated-stereo / reviewer sign-off (human),PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo config; reviewer sign-off
