name,herb,lib_cid,lib_mw,lib_smiles,lib_formula,pubchem_cid,pubchem_formula,formula_match,cid_match,smiles_match_nonisomeric,smiles_match_isomeric,lib_has_stereo,pubchem_has_stereo,auto_status,auto_basis,manual_tier_pending
scoparone,Artemisia capillaris(茵陈),8417.0,206.19,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,C11H10O4,8417,C11H10O4,True,True,True,True,False,False,PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
scopoletin,Artemisia capillaris(茵陈),5280460.0,192.17,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C10H8O4,5280460,C10H8O4,True,True,True,True,False,False,PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
umbelliferone,Artemisia capillaris(茵陈),5281426.0,162.14,C1=CC(=CC2=C1C=CC(=O)O2)O,C9H6O3,5281426,C9H6O3,True,True,True,True,False,False,PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
arcapillin,Artemisia capillaris(茵陈),158311.0,360.3,COC1=C(C=C(C(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)O)O,C18H16O8,158311,C18H16O8,True,True,True,True,False,False,PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
capillin,Artemisia capillaris(茵陈),10321.0,168.19,CC#CC#CC(=O)C1=CC=CC=C1,C12H8O,10321,C12H8O,True,True,True,True,False,False,PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
capillene,Artemisia capillaris(茵陈),3083613.0,154.21,CC#CC#CCC1=CC=CC=C1,C12H10,3083613,C12H10,True,True,True,True,False,False,PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
"1,2-dimethoxy-4-vinylbenzene",Artemisia capillaris(茵陈),61400.0,164.20,COC1=C(C=C(C=C1)C=C)OC,C10H12O2,61400,C10H12O2,True,True,True,True,False,False,PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
vitexin,Crataegus pinnatifida(山楂),5280441.0,432.4,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,C21H20O10,5280441,C21H20O10,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
isovitexin,Crataegus pinnatifida(山楂),162350.0,432.4,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,C21H20O10,162350,C21H20O10,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
hyperoside,Crataegus pinnatifida(山楂),5281643.0,464.4,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,C21H20O12,5281643,C21H20O12,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
isoquercitrin,Crataegus pinnatifida(山楂),5484006.0,464.4,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H](O4)[C@@H](CO)O)O)O)O)O,C21H20O12,5484006,C21H20O12,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
procyanidin B2,Crataegus pinnatifida(山楂),122738.0,578.5,C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,C30H26O12,122738,C30H26O12,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
ursolic acid,Crataegus pinnatifida(山楂),64945.0,456.7,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,C30H48O3,64945,C30H48O3,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
oleanolic acid,Crataegus pinnatifida(山楂),10494.0,456.7,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,C30H48O3,10494,C30H48O3,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
corosolic acid,Crataegus pinnatifida(山楂),6918774.0,472.7,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,C30H48O4,6918774,C30H48O4,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
maslinic acid,Crataegus pinnatifida(山楂),73659.0,472.7,C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@H]([C@@H](C3(C)C)O)O)C,C30H48O4,73659,C30H48O4,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
tormentic acid,Crataegus pinnatifida(山楂),73193.0,488.7,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@]1(C)O)C)C(=O)O,C30H48O5,73193,C30H48O5,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
alisol A,Alisma orientale(泽泻),15558616.0,490.7,C[C@H](C[C@@H]([C@H](C(C)(C)O)O)O)C1=C2C[C@@H]([C@H]3[C@]4(CCC(=O)C([C@@H]4CC[C@@]3([C@]2(CC1)C)C)(C)C)C)O,C30H50O5,15558616,C30H50O5,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
alisol B,Alisma orientale(泽泻),15558620.0,472.7,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)O)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2)C)C)(C)C)C)O,C30H48O4,15558620,C30H48O4,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
alisol C,Alisma orientale(泽泻),101306923.0,486.7,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)O)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2=O)C)C)(C)C)C)O,C30H46O5,101306923,C30H46O5,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
alisol B acetate,Alisma orientale(泽泻),14036811.0,514.7,C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)OC(=O)C)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2)C)C)(C)C)C)O,C32H50O5,14036811,C32H50O5,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
16-oxo-alisol A,Alisma orientale(泽泻),9983614.0,504.7,C[C@H](C[C@@H]([C@H](C(C)(C)O)O)O)C1=C2C[C@@H]([C@H]3[C@]4(CCC(=O)C([C@@H]4CC[C@@]3([C@]2(CC1=O)C)C)(C)C)C)O,C30H48O6,9983614,C30H48O6,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
alismol,Alisma orientale(泽泻),137357.0,220.35,CC(C)C1=C[C@H]2[C@H](CC[C@@]2(C)O)C(=C)CC1,C15H24O,137357,C15H24O,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
alismoxide,Alisma orientale(泽泻),10988340.0,238.37,CC(C)C1=C[C@H]2[C@@H](CC[C@]2(C)O)[C@](CC1)(C)O,C15H26O2,10988340,C15H26O2,True,True,False,True,True,True,PASS,identical_isomeric_SMILES_with_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
obtusifolin,Cassia obtusifolia(决明子),3083575.0,284.26,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C2=O)C=CC=C3O,C16H12O5,3083575,C16H12O5,True,True,True,True,False,False,PASS,identical_graph_no_stereo,herb-source authenticity; isolated-vs-database stereo; reviewer sign-off
