name,target,seed42_rank,rank_median,rank_min,rank_max,rank_iqr,is_hit13,aff_mean,aff_sd,aff_min,aff_max,exploratory_sd_le_0p3
"1,2-dimethoxy-4-vinylbenzene",FXR,44,43.5,43,44,1.0,False,-6.27,0.01,-6.28,-6.25,True
1-deoxynojirimycin,FXR,48,51.0,48,54,5.5,False,-5.07,0.57,-5.51,-4.26,False
16-oxo-alisol A,FXR,38,39.5,38,45,5.5,False,-6.6,0.34,-6.87,-6.12,False
3'-methoxydaidzein,FXR,6,7.0,6,7,0.8,True,-8.89,0.01,-8.91,-8.88,True
alismol,FXR,49,50.5,48,52,3.8,False,-5.33,0.18,-5.57,-5.16,True
alismoxide,FXR,50,50.0,49,52,2.2,False,-5.31,0.04,-5.37,-5.28,True
alisol A,FXR,41,42.0,41,44,2.8,False,-6.46,0.17,-6.61,-6.25,True
alisol B,FXR,29,32.0,29,36,5.8,False,-7.16,0.09,-7.26,-7.08,True
alisol B acetate,FXR,46,36.5,35,46,8.5,False,-6.78,0.54,-7.16,-5.98,False
alisol C,FXR,28,30.5,28,34,4.8,False,-7.25,0.05,-7.29,-7.18,True
arcapillin,FXR,22,22.5,18,24,4.8,False,-7.8,0.19,-8.08,-7.65,True
astragalin,FXR,31,24.5,14,31,13.0,False,-7.68,0.52,-8.39,-7.14,False
aurantio-obtusin,FXR,45,45.5,45,47,1.8,False,-6.08,0.1,-6.2,-5.97,True
biochanin A,FXR,9,11.0,9,11,1.5,True,-8.64,0.01,-8.65,-8.62,True
capillarisin,FXR,17,17.0,16,18,1.5,True,-8.24,0.03,-8.27,-8.2,True
capillene,FXR,36,37.0,35,40,4.2,False,-6.93,0.03,-6.97,-6.91,True
capillin,FXR,33,35.0,33,39,5.0,False,-6.98,0.01,-6.99,-6.98,True
catechin,FXR,3,5.0,3,23,15.0,False,-8.69,0.66,-9.07,-7.7,False
chryso-obtusin,FXR,52,51.0,48,52,3.0,False,-5.35,0.2,-5.53,-5.13,True
corosolic acid,FXR,53,49.0,47,53,5.0,False,-5.39,0.4,-5.8,-4.84,False
daidzein,FXR,7,8.5,7,9,1.8,True,-8.79,0.02,-8.8,-8.76,True
daidzin,FXR,11,1.5,1,11,7.8,True,-9.56,0.7,-10.29,-8.61,False
epicatechin,FXR,13,10.5,8,25,14.0,True,-8.43,0.54,-8.8,-7.65,False
formononetin,FXR,5,5.5,5,6,1.0,True,-8.95,0.02,-8.98,-8.92,True
genistin,FXR,2,2.0,1,30,21.8,True,-8.98,1.05,-9.72,-7.42,False
hyperoside,FXR,35,32.5,20,41,17.0,False,-7.21,0.5,-7.85,-6.69,False
hypophyllanthin,FXR,42,42.0,42,42,0.0,False,-6.56,0.03,-6.6,-6.54,True
isoquercitrin,FXR,37,38.0,29,40,8.8,False,-6.91,0.33,-7.37,-6.61,False
isorhamnetin,FXR,12,13.5,12,14,1.8,True,-8.54,0.08,-8.6,-8.44,True
isovitexin,FXR,21,20.5,19,21,1.8,False,-7.93,0.11,-8.05,-7.79,True
maslinic acid,FXR,27,46.0,27,47,15.0,False,-6.31,0.68,-7.33,-5.89,False
moracin M,FXR,8,10.0,8,10,1.5,True,-8.73,0.04,-8.77,-8.69,True
moracin N,FXR,1,3.0,1,3,1.5,True,-9.32,0.01,-9.33,-9.32,True
mulberrofuran G,FXR,30,33.0,30,35,4.2,False,-7.18,0.05,-7.23,-7.12,True
niranthin,FXR,20,20.0,17,22,3.8,False,-7.95,0.12,-8.07,-7.81,True
nirtetralin,FXR,43,49.0,43,54,10.2,False,-5.61,0.8,-6.45,-4.89,False
obtusifolin,FXR,34,37.5,34,41,5.5,False,-6.91,0.08,-6.98,-6.83,True
obtusin,FXR,40,36.0,32,44,11.0,False,-6.85,0.5,-7.22,-6.16,False
oleanolic acid,FXR,47,22.0,9,47,33.0,False,-7.54,1.54,-8.79,-5.46,False
ononin,FXR,18,18.5,15,29,10.8,False,-8.02,0.42,-8.43,-7.43,False
oxyresveratrol,FXR,10,12.0,10,15,3.8,False,-8.59,0.02,-8.61,-8.56,True
piceid,FXR,4,5.0,4,12,6.5,True,-8.92,0.2,-9.1,-8.63,True
procyanidin B2,FXR,51,49.5,38,51,10.0,False,-5.73,0.87,-7.04,-5.23,False
puerarin,FXR,15,4.0,2,15,9.8,False,-9.06,0.54,-9.66,-8.34,False
rubrofusarin,FXR,16,16.0,15,17,1.5,False,-8.28,0.02,-8.3,-8.26,True
sarmentosin,FXR,32,33.0,32,37,3.8,False,-7.08,0.17,-7.19,-6.83,True
scoparone,FXR,23,22.5,22,24,1.8,False,-7.73,0.01,-7.75,-7.72,True
scopoletin,FXR,24,25.5,24,26,1.8,False,-7.54,0.01,-7.55,-7.54,True
torachrysone,FXR,25,27.0,25,28,2.2,False,-7.46,0.05,-7.52,-7.42,True
toralactone,FXR,19,19.0,18,21,2.2,True,-8.04,0.01,-8.05,-8.02,True
tormentic acid,FXR,54,53.5,51,54,2.5,False,-5.07,0.26,-5.29,-4.8,True
umbelliferone,FXR,26,26.5,26,28,1.8,False,-7.48,0.01,-7.49,-7.47,True
ursolic acid,FXR,14,15.0,13,21,6.5,False,-8.29,0.35,-8.51,-7.76,False
vitexin,FXR,39,28.5,23,39,12.2,False,-7.34,0.37,-7.71,-6.83,False
"1,2-dimethoxy-4-vinylbenzene",THRB,40,39.0,37,40,2.2,False,-6.43,0.02,-6.44,-6.41,True
1-deoxynojirimycin,THRB,51,51.5,51,54,2.5,False,-5.07,0.45,-5.41,-4.45,False
16-oxo-alisol A,THRB,46,45.5,33,47,10.8,False,-6.16,0.26,-6.54,-5.96,True
3'-methoxydaidzein,THRB,6,5.0,5,6,0.8,True,-9.66,0.03,-9.7,-9.64,True
alismol,THRB,38,42.0,38,45,5.8,False,-6.27,0.2,-6.56,-6.09,True
alismoxide,THRB,53,50.0,48,53,4.2,False,-5.48,0.81,-5.93,-4.26,False
alisol A,THRB,42,38.5,31,45,12.2,False,-6.44,0.38,-6.87,-5.96,False
alisol B,THRB,36,41.0,32,46,13.0,False,-6.34,0.42,-6.73,-5.93,False
alisol B acetate,THRB,29,39.0,29,41,9.5,False,-6.54,0.34,-7.05,-6.34,False
alisol C,THRB,39,37.5,32,40,6.8,False,-6.52,0.23,-6.83,-6.28,True
arcapillin,THRB,27,32.5,22,39,15.5,False,-6.85,0.52,-7.42,-6.3,False
astragalin,THRB,49,49.5,47,50,2.5,False,-5.77,0.2,-6.05,-5.57,True
aurantio-obtusin,THRB,22,21.0,19,28,7.2,False,-7.35,0.21,-7.48,-7.03,True
biochanin A,THRB,9,9.0,8,10,1.5,True,-9.32,0.04,-9.37,-9.26,True
capillarisin,THRB,4,5.5,3,7,3.8,True,-9.63,0.18,-9.83,-9.42,True
capillene,THRB,23,23.0,23,23,0.0,False,-7.29,0.01,-7.31,-7.28,True
capillin,THRB,26,25.5,25,26,1.0,False,-7.19,0.02,-7.21,-7.17,True
catechin,THRB,3,3.5,3,4,1.0,False,-9.76,0.05,-9.8,-9.69,True
chryso-obtusin,THRB,50,51.0,50,52,2.0,False,-5.56,0.26,-5.96,-5.38,True
corosolic acid,THRB,34,34.5,33,40,5.5,False,-6.58,0.13,-6.72,-6.44,True
daidzein,THRB,2,2.0,2,2,0.0,True,-10.05,0.04,-10.09,-9.99,True
daidzin,THRB,11,11.5,8,15,5.5,True,-8.9,0.49,-9.57,-8.4,False
epicatechin,THRB,8,7.0,6,11,4.2,True,-9.38,0.42,-9.7,-8.76,False
formononetin,THRB,10,10.0,9,11,1.5,True,-9.2,0.03,-9.23,-9.17,True
genistin,THRB,17,16.5,11,17,4.8,True,-8.3,0.53,-9.1,-7.98,False
hyperoside,THRB,47,43.0,42,47,4.2,False,-6.13,0.18,-6.32,-5.91,True
hypophyllanthin,THRB,54,53.0,48,54,4.5,False,-4.97,0.66,-5.84,-4.23,False
isoquercitrin,THRB,44,43.5,43,47,3.2,False,-6.12,0.16,-6.23,-5.89,True
isorhamnetin,THRB,14,13.5,13,15,1.8,True,-8.47,0.05,-8.52,-8.42,True
isovitexin,THRB,15,18.0,15,18,2.2,False,-7.94,0.3,-8.32,-7.67,False
maslinic acid,THRB,30,29.5,28,30,1.8,False,-6.99,0.01,-7.01,-6.98,True
moracin M,THRB,5,4.5,3,7,3.2,True,-9.68,0.02,-9.71,-9.66,True
moracin N,THRB,1,1.0,1,1,0.0,True,-11.25,0.02,-11.28,-11.24,True
mulberrofuran G,THRB,41,41.5,36,44,6.2,False,-6.31,0.16,-6.48,-6.13,True
niranthin,THRB,18,17.5,17,19,1.8,False,-7.77,0.06,-7.83,-7.72,True
nirtetralin,THRB,52,53.5,52,54,1.8,False,-4.64,0.07,-4.7,-4.57,True
obtusifolin,THRB,20,20.5,20,21,1.0,False,-7.51,0.1,-7.65,-7.46,True
obtusin,THRB,33,33.5,31,38,5.5,False,-6.68,0.15,-6.76,-6.45,True
oleanolic acid,THRB,32,30.0,27,32,4.2,False,-6.85,0.21,-7.07,-6.57,True
ononin,THRB,37,25.0,20,37,13.2,False,-7.21,0.47,-7.78,-6.63,False
oxyresveratrol,THRB,7,7.5,6,9,2.5,False,-9.53,0.11,-9.62,-9.38,True
piceid,THRB,19,26.5,13,49,30.8,True,-7.18,1.16,-8.54,-5.97,False
procyanidin B2,THRB,48,48.5,48,51,2.5,False,-5.77,0.22,-6.0,-5.51,True
puerarin,THRB,45,41.0,36,46,9.5,False,-6.33,0.32,-6.72,-6.07,False
rubrofusarin,THRB,12,12.0,12,14,1.5,False,-8.67,0.2,-8.79,-8.37,True
sarmentosin,THRB,24,24.5,22,32,7.8,False,-7.09,0.37,-7.34,-6.54,False
scoparone,THRB,28,28.0,26,29,2.2,False,-7.05,0.02,-7.06,-7.02,True
scopoletin,THRB,21,21.0,19,22,2.2,False,-7.46,0.01,-7.47,-7.45,True
torachrysone,THRB,16,16.0,15,16,0.8,False,-8.27,0.1,-8.38,-8.17,True
toralactone,THRB,13,13.5,10,14,3.2,True,-8.55,0.19,-8.84,-8.45,True
tormentic acid,THRB,35,31.5,30,35,4.5,False,-6.77,0.07,-6.84,-6.68,True
umbelliferone,THRB,25,24.5,24,27,2.5,False,-7.2,0.11,-7.27,-7.03,True
ursolic acid,THRB,31,32.5,27,37,8.2,False,-6.8,0.27,-7.08,-6.57,True
vitexin,THRB,43,42.0,35,44,7.2,False,-6.38,0.26,-6.75,-6.17,True
"1,2-dimethoxy-4-vinylbenzene",FASN,50,50.0,50,50,0.0,False,-6.83,0.03,-6.85,-6.79,True
1-deoxynojirimycin,FASN,54,54.0,54,54,0.0,False,-5.26,0.02,-5.28,-5.25,True
16-oxo-alisol A,FASN,35,36.5,29,41,9.8,False,-7.99,0.19,-8.27,-7.85,True
3'-methoxydaidzein,FASN,10,9.0,8,10,2.0,True,-9.37,0.07,-9.44,-9.29,True
alismol,FASN,52,52.0,52,52,0.0,False,-5.86,0.14,-6.06,-5.76,True
alismoxide,FASN,53,53.0,53,53,0.0,False,-5.75,0.03,-5.78,-5.71,True
alisol A,FASN,34,33.0,32,35,2.8,False,-8.04,0.09,-8.14,-7.93,True
alisol B,FASN,11,17.0,9,24,14.2,False,-8.95,0.53,-9.41,-8.49,False
alisol B acetate,FASN,12,10.0,7,12,4.2,False,-9.34,0.03,-9.37,-9.29,True
alisol C,FASN,20,19.0,12,21,7.2,False,-8.86,0.23,-9.18,-8.66,True
arcapillin,FASN,33,31.5,28,36,6.8,False,-8.11,0.09,-8.21,-8.02,True
astragalin,FASN,42,42.0,34,45,8.2,False,-7.78,0.21,-8.1,-7.67,True
aurantio-obtusin,FASN,36,37.0,34,39,4.2,False,-7.92,0.02,-7.94,-7.91,True
biochanin A,FASN,14,14.0,13,14,0.8,True,-9.06,0.02,-9.08,-9.03,True
capillarisin,FASN,17,15.5,15,17,1.8,True,-8.97,0.09,-9.06,-8.88,True
capillene,FASN,26,26.5,24,27,2.5,False,-8.43,0.02,-8.45,-8.4,True
capillin,FASN,25,26.0,25,26,0.8,False,-8.43,0.02,-8.44,-8.41,True
catechin,FASN,22,21.0,20,23,2.8,False,-8.63,0.07,-8.73,-8.59,True
chryso-obtusin,FASN,39,45.5,39,47,6.8,False,-7.51,0.25,-7.82,-7.26,True
corosolic acid,FASN,40,33.0,29,40,10.2,False,-8.03,0.23,-8.29,-7.82,True
daidzein,FASN,7,7.0,6,8,1.5,True,-9.61,0.01,-9.62,-9.59,True
daidzin,FASN,2,3.0,2,6,3.0,True,-9.8,0.16,-10.03,-9.66,True
epicatechin,FASN,16,23.0,16,40,19.0,True,-8.47,0.49,-8.94,-7.8,False
formononetin,FASN,4,5.0,4,6,1.5,True,-9.71,0.01,-9.72,-9.7,True
genistin,FASN,13,12.5,10,19,7.0,True,-9.11,0.26,-9.37,-8.75,True
hyperoside,FASN,43,42.0,40,47,5.8,False,-7.63,0.32,-7.86,-7.17,False
hypophyllanthin,FASN,49,48.0,48,49,0.8,False,-7.18,0.1,-7.29,-7.05,True
isoquercitrin,FASN,47,46.5,42,49,5.5,False,-7.4,0.25,-7.76,-7.25,True
isorhamnetin,FASN,15,15.5,14,17,2.5,True,-9.0,0.03,-9.04,-8.96,True
isovitexin,FASN,21,27.5,21,31,7.8,False,-8.38,0.2,-8.66,-8.16,True
maslinic acid,FASN,8,15.5,8,17,7.0,False,-9.07,0.29,-9.48,-8.85,True
moracin M,FASN,18,18.5,17,19,1.8,True,-8.84,0.01,-8.86,-8.84,True
moracin N,FASN,1,1.5,1,2,1.0,True,-10.18,0.05,-10.21,-10.11,True
mulberrofuran G,FASN,3,3.0,1,4,2.2,False,-10.25,0.92,-11.63,-9.74,False
niranthin,FASN,45,40.5,36,45,7.5,False,-7.79,0.18,-7.98,-7.54,True
nirtetralin,FASN,48,48.5,46,49,2.5,False,-7.15,0.23,-7.44,-6.96,True
obtusifolin,FASN,29,30.5,29,33,3.2,False,-8.14,0.02,-8.17,-8.13,True
obtusin,FASN,38,38.5,38,40,1.8,False,-7.88,0.05,-7.92,-7.82,True
oleanolic acid,FASN,30,21.0,11,37,24.0,False,-8.65,0.69,-9.27,-7.98,False
ononin,FASN,5,4.5,1,10,7.0,False,-9.83,0.46,-10.39,-9.28,False
oxyresveratrol,FASN,23,22.0,22,23,0.8,False,-8.59,0.04,-8.65,-8.55,True
piceid,FASN,9,9.0,7,13,4.5,True,-9.42,0.19,-9.68,-9.25,True
procyanidin B2,FASN,27,26.0,11,31,15.5,False,-8.55,0.45,-9.21,-8.2,False
puerarin,FASN,6,4.5,2,6,3.2,False,-9.9,0.21,-10.18,-9.67,True
rubrofusarin,FASN,31,33.0,31,35,3.0,False,-8.05,0.03,-8.07,-8.0,True
sarmentosin,FASN,51,51.0,51,51,0.0,False,-6.46,0.14,-6.58,-6.28,True
scoparone,FASN,46,45.5,45,46,1.0,False,-7.48,0.01,-7.5,-7.46,True
scopoletin,FASN,41,42.5,41,44,3.0,False,-7.71,0.02,-7.73,-7.68,True
torachrysone,FASN,32,35.5,32,37,4.0,False,-7.97,0.05,-8.04,-7.92,True
toralactone,FASN,19,18.5,18,20,1.8,True,-8.81,0.05,-8.89,-8.76,True
tormentic acid,FASN,28,30.0,25,34,7.8,False,-8.21,0.21,-8.47,-8.04,True
umbelliferone,FASN,44,43.0,43,44,0.8,False,-7.69,0.06,-7.76,-7.64,True
ursolic acid,FASN,24,23.5,13,30,13.0,False,-8.6,0.36,-9.11,-8.27,False
vitexin,FASN,37,26.0,21,37,13.0,False,-8.34,0.31,-8.59,-7.9,False
