name,target,aff_seed42,aff_seed7,aff_seed123,aff_seed20260909,aff_mean,aff_sd,aff_range,rank_full_library_seed42,rank_among13_median,rank_among13_iqr,S1_stable_20_iqr10
3'-methoxydaidzein,FXR,-8.91,-8.89,-8.88,-8.9,-8.89,0.01,0.03,6,5.0,0.8,True
3'-methoxydaidzein,THRB,-9.64,-9.68,-9.64,-9.7,-9.66,0.03,0.06,6,4.0,0.8,True
3'-methoxydaidzein,FASN,-9.41,-9.35,-9.44,-9.29,-9.37,0.07,0.15,10,5.5,1.0,True
biochanin A,FXR,-8.62,-8.64,-8.64,-8.65,-8.64,0.01,0.03,9,8.5,1.8,True
biochanin A,THRB,-9.32,-9.26,-9.31,-9.37,-9.32,0.04,0.11,9,7.0,1.5,True
biochanin A,FASN,-9.06,-9.07,-9.08,-9.03,-9.06,0.02,0.05,14,8.0,0.8,True
capillarisin,FXR,-8.27,-8.2,-8.23,-8.26,-8.24,0.03,0.07,17,12.0,1.5,True
capillarisin,THRB,-9.73,-9.42,-9.56,-9.83,-9.63,0.18,0.41,4,4.0,2.8,True
capillarisin,FASN,-8.92,-9.03,-9.06,-8.88,-8.97,0.09,0.18,17,9.0,1.5,True
daidzein,FXR,-8.79,-8.8,-8.76,-8.79,-8.79,0.02,0.04,7,6.5,1.8,True
daidzein,THRB,-10.09,-10.04,-9.99,-10.07,-10.05,0.04,0.1,2,2.0,0.0,True
daidzein,FASN,-9.62,-9.61,-9.61,-9.59,-9.61,0.01,0.03,7,4.0,0.8,True
daidzin,FXR,-8.61,-9.66,-9.7,-10.29,-9.56,0.7,1.68,11,1.5,6.2,True
daidzin,THRB,-8.91,-8.73,-8.4,-9.57,-8.9,0.49,1.17,11,9.5,4.0,True
daidzin,FASN,-9.76,-9.75,-9.66,-10.03,-9.8,0.16,0.37,2,2.0,0.8,True
epicatechin,FXR,-8.52,-7.65,-8.76,-8.8,-8.43,0.54,1.16,13,9.0,5.5,True
epicatechin,THRB,-9.46,-8.76,-9.6,-9.7,-9.38,0.42,0.94,8,5.5,3.2,True
epicatechin,FASN,-8.94,-7.8,-8.68,-8.47,-8.47,0.49,1.14,16,13.0,2.2,True
formononetin,FXR,-8.95,-8.92,-8.95,-8.98,-8.95,0.02,0.05,5,4.0,0.0,True
formononetin,THRB,-9.23,-9.17,-9.22,-9.19,-9.2,0.03,0.06,10,8.0,1.5,True
formononetin,FASN,-9.71,-9.72,-9.7,-9.72,-9.71,0.01,0.03,4,3.0,0.8,True
genistin,FXR,-9.28,-7.42,-9.72,-9.49,-8.98,1.05,2.3,2,2.0,9.0,True
genistin,THRB,-7.98,-8.06,-9.1,-8.04,-8.3,0.53,1.11,17,12.0,3.0,True
genistin,FASN,-9.18,-9.15,-9.37,-8.75,-9.11,0.26,0.62,13,7.0,4.5,True
isorhamnetin,FXR,-8.6,-8.54,-8.6,-8.44,-8.54,0.08,0.17,12,10.5,1.8,True
isorhamnetin,THRB,-8.42,-8.52,-8.5,-8.43,-8.47,0.05,0.09,14,11.0,1.5,True
isorhamnetin,FASN,-9.02,-8.99,-9.04,-8.96,-9.0,0.03,0.08,15,9.5,1.8,True
moracin M,FXR,-8.75,-8.77,-8.72,-8.69,-8.73,0.04,0.08,8,7.5,1.8,True
moracin M,THRB,-9.66,-9.71,-9.67,-9.67,-9.68,0.02,0.05,5,3.5,2.5,True
moracin M,FASN,-8.86,-8.84,-8.84,-8.84,-8.84,0.01,0.02,18,11.5,1.8,True
moracin N,FXR,-9.32,-9.33,-9.33,-9.32,-9.32,0.01,0.01,1,2.5,1.8,True
moracin N,THRB,-11.24,-11.24,-11.25,-11.28,-11.25,0.02,0.04,1,1.0,0.0,True
moracin N,FASN,-10.2,-10.18,-10.21,-10.11,-10.18,0.05,0.1,1,1.0,0.0,True
piceid,FXR,-9.0,-9.1,-8.63,-8.93,-8.92,0.2,0.46,4,4.0,5.8,True
piceid,THRB,-7.69,-6.51,-5.97,-8.54,-7.18,1.16,2.57,19,13.0,2.2,True
piceid,FASN,-9.43,-9.31,-9.25,-9.68,-9.42,0.19,0.43,9,5.5,2.5,True
toralactone,FXR,-8.04,-8.05,-8.04,-8.02,-8.04,0.01,0.04,19,13.0,1.5,True
toralactone,THRB,-8.45,-8.84,-8.46,-8.46,-8.55,0.19,0.38,13,10.5,2.5,True
toralactone,FASN,-8.76,-8.89,-8.8,-8.81,-8.81,0.05,0.13,19,11.5,1.8,True
