类别,字段,值,来源/依据,核实方式,核实日期,状态
身份,规范名,Moracin N,第五轮 PubChem raw (CID 641376),PubChem PUG API,2026-09-10,已核实
身份,CAS,135248-05-4,MCE 页面 + 第五轮 PubChem raw,页面渲染+API,2026-09-12,已核实
身份,分子式 / MW,C19H18O4 / 310.34,MCE 页面；RDKit 310.35 计算值一致,页面渲染+RDKit 2026.03.3,2026-09-12,已核实
身份,InChIKey,WBSCSIABHGPAMC-UHFFFAOYSA-N,第五轮 PubChem raw,PubChem PUG API,2026-09-10,已核实
身份,PubChem CID,641376,第五轮 PubChem raw,PubChem PUG API,2026-09-10,已核实
身份,canonical SMILES,CC(=CCC1=C(C=C2C(=C1)C=C(O2)C3=CC(=CC(=C3)O)O)C)C,第五轮 PubChem raw,PubChem PUG API,2026-09-10,已核实
身份,外观,白色至类白色固体,MCE 页面,页面渲染,2026-09-12,页面核实
身份,立体化学风险,无手性中心；异戊烯基双键 E/Z 几何未在 PubChem/MCE 立体指定（两来源 SMILES 均无立体标记）,PubChem/MCE SMILES 对比,交叉核对,2026-09-12,已识别-低风险
溶解储运,DMSO 溶解,100 mg/mL（322.39 mM，需超声）,MCE 页面溶解表,页面渲染,2026-09-12,页面核实
溶解储运,水溶性,未提供；clogP 4.73（RDKit）→ 不可假设水相直接溶解,MCE 页面未列水溶性,RDKit 预测,2026-09-12,预测值
溶解储运,粉末保存,-20°C 避光 3 年（MCE）；GlpBio 同 -20°C 避光,两供应商页面,页面渲染,2026-09-12,页面核实
溶解储运,溶液保存,-80°C 6 个月 / -20°C 1 个月；建议 10 mM DMSO 母液分装避光,MCE 页面,页面渲染,2026-09-12,页面核实
已知浓度,神经保护(HT22 erastin),EC50 < 0.5 μM,PMID 34281775（MCE 页面引用）,文献,2026-09-12,文献值
已知浓度,肿瘤系自噬/凋亡(A549/PC9/HeLa-GFP-LC3/L929-tfLC3),"10-45 μM, 6-24 h",PMID 32477104 等（MCE Bioactivity 节）,文献,2026-09-12,文献值
已知浓度,"肿瘤系直接毒性(A2780/A549/BGC-823/Bel-7402/HCT-8, 96h MTT)",IC50 > 10 μg/mL（≈>32 μM）,PMID 25461329（MCE 页面引用）,文献,2026-09-12,文献值
已知浓度,体内(MCAO 小鼠),20 mg/kg/day 脑室给药,PMID 40972263,文献,2026-09-10,文献值
供应商,首选：GlpBio,"GC71917, 1 mg, $72≈¥520, In-stock, 提供 COA；随单提供 10 mM×25 μL 样品溶液",glpbio.com/moracin-n.html,搜索快照+页面渲染（直连 403）,2026-09-12,快照核实-需下单确认
供应商,备选1：MCE 中国站,"HY-N11849, 1 mg ¥2320 In-stock / 5 mg 询价现货, 纯度 98.74%（批间至 99.74%）, COA 提供",medchemexpress.cn/moracin-n.html,页面渲染+搜索快照（直连 412）,2026-09-12,页面/快照核实
供应商,备选2：MCE 免费试用装,同一机构一年内可免费申领 3 个不同产品试用装（10 mM×25 μL = 77.6 μg）,MCE 中国站试用装政策,页面渲染,2026-09-12,政策核实-需申请
供应商,其他,AbMole 有售（规格价格未取得）；TargetMol moracin N 页面未取得（有 moracin M/O）,搜索命中,搜索,2026-09-12,unverified
采购风险,风险评级,中-高：稀有化合物、供应商少；GlpBio 直连 403 到货周期未验证；MCE 单价 ¥2320/mg 显著高于预算舒适区；E/Z 未指定需收货 COA+LC-MS/NMR 复核,本表综合,综合评估,2026-09-12,已评估
用量核算,全项目需求,Gate1 全量(7 浓度×3 生物学重复)≈0.27 mg；Gate2/3 窄浓度≈0.15 mg；1 mg 足够全部门控；试用装 77.6 μg 仅够 Gate1+部分 Gate2，过关后需正式采购,本方案剂量设计,计算,2026-09-12,已计算
