档位,阶段,物料,金额(元),类别
最低档（试用装杠杆全成功）,Gate1 阶段下单,棕榈酸 PA,300,试剂/耗材
最低档（试用装杠杆全成功）,Gate1 阶段下单,油酸 OA,400,试剂/耗材
最低档（试用装杠杆全成功）,Gate1 阶段下单,无脂肪酸 BSA,450,试剂/耗材
最低档（试用装杠杆全成功）,Gate1 阶段下单,CCK-8,400,试剂/耗材
最低档（试用装杠杆全成功）,Gate1 阶段下单,油红O,150,试剂/耗材
最低档（试用装杠杆全成功）,Gate1 阶段下单,TG 试剂盒,500,试剂/耗材
最低档（试用装杠杆全成功）,Gate1 阶段下单,96孔板等耗材,400,试剂/耗材
最低档（试用装杠杆全成功）,Gate1 小计,,2600,
最低档（试用装杠杆全成功）,Gate2 阶段下单,GSH 试剂盒,450,试剂/耗材
最低档（试用装杠杆全成功）,Gate2 阶段下单,DCFH-DA,400,试剂/耗材
最低档（试用装杠杆全成功）,Gate2 小计,,850,
最低档（试用装杠杆全成功）,Gate3 阶段下单,Ferrostatin-1 5mg,235,试剂/耗材
最低档（试用装杠杆全成功）,Gate3 小计,,235,
最低档（试用装杠杆全成功）,合计,2600+850+235,3685,
标准档（全采购）,Gate1 阶段下单,Moracin N 1mg (GlpBio),520,化合物
标准档（全采购）,Gate1 阶段下单,Formononetin 5mg (MCE),299,化合物
标准档（全采购）,Gate1 阶段下单,棕榈酸 PA,300,试剂/耗材
标准档（全采购）,Gate1 阶段下单,油酸 OA,400,试剂/耗材
标准档（全采购）,Gate1 阶段下单,无脂肪酸 BSA,450,试剂/耗材
标准档（全采购）,Gate1 阶段下单,CCK-8,400,试剂/耗材
标准档（全采购）,Gate1 阶段下单,油红O,150,试剂/耗材
标准档（全采购）,Gate1 阶段下单,TG 试剂盒,500,试剂/耗材
标准档（全采购）,Gate1 阶段下单,96孔板等耗材,400,试剂/耗材
标准档（全采购）,Gate1 小计,,3419,
标准档（全采购）,Gate2 阶段下单,GSH 试剂盒,450,试剂/耗材
标准档（全采购）,Gate2 阶段下单,DCFH-DA,400,试剂/耗材
标准档（全采购）,Gate2 小计,,850,
标准档（全采购）,Gate3 阶段下单,ML385 1mg,300,试剂/耗材
标准档（全采购）,Gate3 阶段下单,Ferrostatin-1 5mg,235,试剂/耗材
标准档（全采购）,Gate3 小计,,535,
标准档（全采购）,合计,3419+850+535,4804,
扩展档,Gate1 阶段下单,Moracin N 1mg (GlpBio),520,化合物
扩展档,Gate1 阶段下单,Formononetin 5mg (MCE),299,化合物
扩展档,Gate1 阶段下单,棕榈酸 PA,300,试剂/耗材
扩展档,Gate1 阶段下单,油酸 OA,400,试剂/耗材
扩展档,Gate1 阶段下单,无脂肪酸 BSA,450,试剂/耗材
扩展档,Gate1 阶段下单,CCK-8,400,试剂/耗材
扩展档,Gate1 阶段下单,油红O,150,试剂/耗材
扩展档,Gate1 阶段下单,TG 试剂盒,500,试剂/耗材
扩展档,Gate1 阶段下单,96孔板等耗材,400,试剂/耗材
扩展档,Gate1 小计,,3419,
扩展档,Gate2 阶段下单,GSH 试剂盒,450,试剂/耗材
扩展档,Gate2 阶段下单,DCFH-DA,400,试剂/耗材
扩展档,Gate2 小计,,850,
扩展档,Gate3 阶段下单,ML385 1mg,300,试剂/耗材
扩展档,Gate3 阶段下单,Ferrostatin-1 5mg,235,试剂/耗材
扩展档,Gate3 小计,,535,
扩展档,扩展追加,Guggulsterone 5mg (Ambeed),441,试剂/化合物
扩展档,扩展追加,C11-BODIPY 1mg (Thermo D3861),1580,试剂/化合物
扩展档,扩展追加,Moracin N 续购 1mg,520,试剂/化合物
扩展档,扩展追加,抗体/试剂余量 (GPX4 等),1200,试剂/化合物
扩展档,扩展追加,运费/汇率缓冲,300,试剂/化合物
扩展档,扩展小计,,4041,
扩展档,合计,3419+850+535+4041,8845,
