activity_id,assay_chembl_id,assay_type,assay_description,assay_variant_accession,molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,potential_duplicate,data_validity_comment
1610246,CHEMBL881762,B,Inhibitory concentration against Farnesoid X receptor; range from 50-100000,,CHEMBL410683,C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,IC50,=,100000.0,nM,4.00,0,
1610259,CHEMBL881762,B,Inhibitory concentration against Farnesoid X receptor; range from 50-100000,,CHEMBL402063,C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,IC50,=,100000.0,nM,4.00,0,
1939095,CHEMBL892390,B,Inhibition of FXR in HEK293 cells in presence of CDCA by GAL4 transactivation activity,,CHEMBL231899,O=C(O)c1cccc(/C=C/c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3-c3ccc4ccccc4c3)cc2Cl)c1,IC50,=,22200.0,nM,4.65,0,
1939096,CHEMBL892390,B,Inhibition of FXR in HEK293 cells in presence of CDCA by GAL4 transactivation activity,,CHEMBL398012,O=C(O)c1cccc(/C=C/c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3-c3ccc(-c4ccccc4)cc3)cc2Cl)c1,IC50,=,33900.0,nM,4.47,0,
1939097,CHEMBL892390,B,Inhibition of FXR in HEK293 cells in presence of CDCA by GAL4 transactivation activity,,CHEMBL234371,O=C(O)c1cccc(NC(=O)c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3-c3ccc4ccccc4c3)cc2Cl)c1,IC50,=,4000.0,nM,5.40,0,
1939098,CHEMBL892390,B,Inhibition of FXR in HEK293 cells in presence of CDCA by GAL4 transactivation activity,,CHEMBL234747,O=C(O)c1cccc(NC(=O)c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3-c3ccc(-c4ccccc4)cc3)cc2Cl)c1,IC50,=,3700.0,nM,5.43,0,
1939100,CHEMBL892390,B,Inhibition of FXR in HEK293 cells in presence of CDCA by GAL4 transactivation activity,,CHEMBL274652,O=C(O)c1cccc(/C=C/c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3-c3ccccc3)cc2Cl)c1,IC50,=,15800.0,nM,4.80,0,
1947209,CHEMBL892390,B,Inhibition of FXR in HEK293 cells in presence of CDCA by GAL4 transactivation activity,,CHEMBL410683,C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,IC50,=,12000.0,nM,4.92,0,
2520672,CHEMBL980673,B,Displacement of radioligand from human FXR by scintillation proximity assay,,CHEMBL318457,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,IC50,=,64.0,nM,7.19,0,
2520673,CHEMBL980673,B,Displacement of radioligand from human FXR by scintillation proximity assay,,CHEMBL466315,COc1ccccc1-c1noc(C(C)C)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,IC50,=,250.0,nM,6.60,0,
