#Archive/File	Name	Time	Size	Type
Archive	GSE135251_RAW.tar	12/03/2020 10:17:51	45854720	TAR
File	GSM3998167_017-Ann-Daly_S1.counts.txt.gz	08/01/2019 13:11:28	212070	TXT
File	GSM3998168_018-Ann-Daly_S2.counts.txt.gz	08/01/2019 13:11:28	211405	TXT
File	GSM3998169_029-Ann-Daly_S4.counts.txt.gz	08/01/2019 13:11:29	212338	TXT
File	GSM3998170_030-Ann-Daly_S5.counts.txt.gz	08/01/2019 13:11:29	213435	TXT
File	GSM3998171_031-Ann-Daly_S6.counts.txt.gz	08/01/2019 13:11:29	213097	TXT
File	GSM3998172_032-Ann-Daly_S7.counts.txt.gz	08/01/2019 13:11:29	211053	TXT
File	GSM3998173_033-Ann-Daly_S8.counts.txt.gz	08/01/2019 13:11:29	212858	TXT
File	GSM3998174_035-Ann-Daly_S10.counts.txt.gz	08/01/2019 13:11:29	211412	TXT
File	GSM3998175_036-Ann-Daly_S11.counts.txt.gz	08/01/2019 13:11:29	208546	TXT
File	GSM3998176_037-Ann-Daly_S12.counts.txt.gz	08/01/2019 13:11:29	210315	TXT
File	GSM3998177_038-Ann-Daly_S13.counts.txt.gz	08/01/2019 13:11:29	211237	TXT
File	GSM3998178_040-Ann-Daly_S14.counts.txt.gz	08/01/2019 13:11:29	210792	TXT
File	GSM3998179_041-Ann-Daly_S15.counts.txt.gz	08/01/2019 13:11:30	210420	TXT
File	GSM3998180_042-Ann-Daly_S16.counts.txt.gz	08/01/2019 13:11:30	210813	TXT
File	GSM3998181_043-Ann-Daly_S1.counts.txt.gz	08/01/2019 13:11:30	210020	TXT
File	GSM3998182_044-Ann-Daly_S2.counts.txt.gz	08/01/2019 13:11:30	210376	TXT
File	GSM3998183_046-Ann-Daly_S3.counts.txt.gz	08/01/2019 13:11:30	209589	TXT
File	GSM3998184_047-Ann-Daly_S4.counts.txt.gz	08/01/2019 13:11:30	211839	TXT
File	GSM3998185_048-Ann-Daly_S5.counts.txt.gz	08/01/2019 13:11:30	211835	TXT
File	GSM3998186_049-Ann-Daly_S6.counts.txt.gz	08/01/2019 13:11:30	211118	TXT
File	GSM3998187_051-Ann-Daly_S7.counts.txt.gz	08/01/2019 13:11:30	211345	TXT
File	GSM3998188_053-Ann-Daly_S9.counts.txt.gz	08/01/2019 13:11:31	212807	TXT
File	GSM3998189_054-Ann-Daly_S10.counts.txt.gz	08/01/2019 13:11:31	211945	TXT
File	GSM3998190_055-Ann-Daly_S11.counts.txt.gz	08/01/2019 13:11:31	210359	TXT
File	GSM3998191_059-Ann-Daly_S12.counts.txt.gz	08/01/2019 13:11:31	213450	TXT
File	GSM3998192_060-Ann-Daly_S13.counts.txt.gz	08/01/2019 13:11:31	210935	TXT
File	GSM3998193_061-Ann-Daly_S14.counts.txt.gz	08/01/2019 13:11:31	210368	TXT
File	GSM3998194_062-Ann-Daly_S15.counts.txt.gz	08/01/2019 13:11:31	210536	TXT
File	GSM3998195_075-Ann-Daly_S16.counts.txt.gz	08/01/2019 13:11:31	212327	TXT
