,log2FC,p,padj
A1BG,-0.11182146682042493,0.6300617580090182,0.7067373616828088
A1CF,-0.471003368659094,6.9033675395338086e-06,0.00018477072664262049
A2M,0.5112723628238456,0.1033812898553283,0.16606913843028004
A4GALT,0.3246363139167596,0.17550968363256375,0.2544339103735381
AAAS,0.2837007222778123,0.02359714777971133,0.050426203858089866
AACS,0.9233956163988788,1.550271814875282e-07,1.9391213507261334e-05
AADAC,-0.413076931092645,0.0015509132832976463,0.006183438137379189
AADAT,-0.48426081939332377,0.002179074004706082,0.007959278084948375
AAGAB,0.5806066273700008,9.525220196341146e-06,0.00022003349280719193
AAK1,0.07768912911732961,0.33103748377350695,0.42433837092612187
AAMDC,-0.6779821876734928,3.8456485253662853e-07,3.2424240419322275e-05
AAMP,0.3124982738697142,0.010485056696862116,0.026333769473711556
AAR2,0.30283651264472233,0.001574534258391456,0.006260534794626005
AARS1,0.6808392217404897,3.3170936493322346e-05,0.0004592603449438619
AARS2,0.33332802720832166,0.014518476716982946,0.034155164417541885
AASDH,0.14804028280518633,0.16337652066253083,0.24011638817844425
AASDHPPT,-0.48949874125405657,0.0019421174312127913,0.007304738510935615
AASS,0.2332320444847369,0.4834887851135924,0.5743488578970479
AATF,0.36911750307868374,0.011866786643623265,0.029055071616451378
ABAT,-0.26203004801178764,0.039495354544463755,0.07599215891213161
ABCA1,-0.48940704135788415,0.042087407407153714,0.08005432677169816
ABCA10,-1.1484459337440462,0.0023282828058910194,0.008364773661390507
ABCA2,1.7659726521459698,0.0004200777304430287,0.002432973310663653
ABCA3,1.178957472555715,0.0004253757836966689,0.002457415701480095
ABCA4,0.5315684880938765,0.0913329924727934,0.15058450114356312
ABCA5,-0.5997495071386609,0.0030494591135280936,0.01024247592447268
ABCA6,-0.04707857231712609,0.6313006432131402,0.7075236332807118
ABCA7,1.0706323129564943,0.0038559819786483335,0.012277349543733123
ABCA8,-0.30242106897266474,0.06425857751918863,0.11270743700625258
ABCA9,-0.42691737781883177,0.02549362095893942,0.05372818402065858
ABCB1,1.33831438839732,5.743574332386067e-05,0.0006434858023328274
ABCB10,-0.2594758904727197,0.06442659242736576,0.1129418859385768
ABCB11,1.0972758006440966,0.0011292057467771162,0.004916399598596296
ABCB4,1.041684115513334,2.9919717045962048e-05,0.0004305624051482919
ABCB7,0.3918530718863469,0.0011041753797188985,0.004845918841989547
ABCB8,1.4318596625633724,5.358893034864458e-05,0.0006182940358558966
ABCB9,0.5200084505769027,0.09122765921801836,0.15049760462744205
ABCC1,-0.15819077651504188,0.25135824699087955,0.3396070883930406
ABCC10,0.5806597512480964,0.005819336637287446,0.016763411035970604
ABCC11,0.8500704767000498,0.017132417603060418,0.03896639957341409
ABCC2,0.5977787814388158,0.0003808989871242943,0.0022783855169124763
ABCC3,0.7968640590185831,4.827315499544619e-05,0.0005803809942002777
ABCC4,1.176886400019641,0.002979958563364705,0.01007036603060994
ABCC5,0.3544237841176727,0.1508640068307783,0.22528545434210118
ABCC6,0.761868020161014,0.0006754710473582859,0.00340140531619584
ABCC9,-0.2842121159324975,0.10389382112343003,0.16670921425356536
ABCD1,1.0751206756900826,0.00021774307948765306,0.0015497698725655306
ABCD3,-0.4674270547460253,0.006896290214777481,0.01907443287835029
