,log2FC,p,padj
A1BG,-0.15122147333604552,0.5284005045130212,0.6177274763007526
A1CF,-0.6005621250404047,4.009616609555759e-07,2.4303450352758938e-05
A2M,0.8375722143923561,0.01495642029030334,0.03621535273902059
A4GALT,0.2803993667955411,0.26254191275409744,0.35846425466983894
AAAS,0.3478011588905012,0.00887076753573645,0.023899468536981057
AACS,0.9991820122042254,1.0904999317068508e-08,2.17323418208185e-06
AADAC,-0.4772646826001701,0.0007590408730774648,0.0037768889705756493
AADAT,-0.6224310069549812,0.0002938720792952105,0.0019154110302130349
AAGAB,0.6422592435791934,1.8298942653655016e-06,6.317217656785418e-05
AAK1,0.1497104461357699,0.08732130566661223,0.1483706411875663
AAMDC,-0.6393882536426698,2.3809070748289227e-07,1.711260697006821e-05
AAMP,0.25118576882442767,0.0313151819670161,0.06522384614602734
AAR2,0.2975256090574252,0.0017029083317209404,0.0068496493232799785
AARS1,0.5705021653630205,0.00012282237449048026,0.0010224573997932196
AARS2,0.2919524238453377,0.029564191834030223,0.06230880102930866
AASDH,0.13818418860089032,0.20293433649147796,0.29203449976722207
AASDHPPT,-0.5125722680261067,0.0014799408645046355,0.006152232045142057
AASS,0.19287458022647108,0.5652334427450512,0.652093278872525
AATF,0.3627154106699422,0.01303817873347961,0.032338518740610465
ABAT,-0.3846128997969558,0.0063273665858083195,0.01832317320632691
ABCA1,-0.5219620885472729,0.03480622422443877,0.07082398936015519
ABCA10,-0.9568513579724067,0.007141012171102543,0.020078181506308627
ABCA2,1.7157153878062763,0.00048080911554250407,0.0027014448085136934
ABCA3,1.1860697000867875,0.0003608444601267655,0.0022168085866638705
ABCA4,0.6850538262134931,0.03821915019977347,0.07624700175604739
ABCA5,-0.6313592793732248,0.00214738093593948,0.008119403961197598
ABCA6,-0.11700336906042175,0.2784499378793354,0.3754050874258814
ABCA7,1.105190731477581,0.0031175107339832873,0.010708962832092498
ABCA8,-0.3212086557381486,0.05544817170772813,0.1030535258544225
ABCA9,-0.3043032283582079,0.10321772124744798,0.1697348058442127
ABCB1,1.3969649717595463,2.5467673132687297e-05,0.00034893365074399585
ABCB10,-0.34657179021382944,0.02513869844077013,0.054707031864898996
ABCB11,0.967801335218125,0.002756165053103929,0.009800443077446873
ABCB4,1.0263475716774089,1.761728678410265e-05,0.00026912912087259254
ABCB7,0.33328608725991593,0.003407359998291702,0.011434438660932217
ABCB8,1.3869250530943678,5.472835840287565e-05,0.0005838135426382996
ABCB9,0.6226136630089059,0.05077493712667451,0.09592167744160077
ABCC1,-0.059058884469748385,0.6888380980435231,0.7583734413297447
ABCC10,0.6053930582083451,0.004741460961870598,0.014699596554696671
ABCC11,0.6948721756872143,0.042571846261020126,0.08315228599215885
ABCC2,0.6256080221031031,0.00022142007175683258,0.0015733863877999022
ABCC3,0.7986034767540868,3.195097890014217e-05,0.00040808526101729424
ABCC4,1.4642167774185273,0.0006432748598159309,0.0033447808349005817
ABCC5,0.5212865812567777,0.04777364597369677,0.09138550981559536
ABCC6,0.6442706647543801,0.0020462767292713374,0.007835422946173478
ABCC9,-0.44920663506197833,0.01946211569514983,0.04465896855169325
ABCD1,0.9231125772079478,0.0006330359464277751,0.003302785324619011
ABCD3,-0.4895705791522751,0.005544619709670866,0.01654455150664721
ABCD4,0.08803330862428993,0.37108416570908953,0.4692241906913723
ABCE1,-0.2414986481502268,0.08598361468388697,0.14657108397319407
ABCF1,0.41422112387980903,0.001174324948378742,0.0051953312064233655
ABCF2,0.5918149169218161,2.437940404138211e-05,0.0003396846412672658
ABCF3,0.5030947145841118,2.2876152002938908e-05,0.00032563855767819854
ABCG1,-0.4171702071170804,0.06268784408589266,0.11346266867507172
ABCG2,-0.5377514647053498,0.022766842798145403,0.05048082996021687
ABCG5,-0.33348832349239466,0.1430516984988791,0.22003964335817527
ABCG8,0.34659068057836606,0.037338338449922105,0.07492161184314652
ABHD1,-0.1629679346978623,0.40360736118468643,0.5011561057641102
ABHD10,-0.7142033747380712,3.3403550643032946e-05,0.00041963409895684077
ABHD11,-0.0894294141926455,0.4548197903136081,0.550800543411738
ABHD12,0.5112012786070395,0.00010159717984293041,0.0008954361184793382
ABHD13,-0.5681088545935138,0.0025795538548169295,0.009357107515832066
ABHD14A,-0.6258641318724782,5.099407574548032e-06,0.00012106950871485609
ABHD14B,-0.21392899050948344,0.053524155217272947,0.1001142226354936
ABHD15,-0.2384381197675225,0.05529875144506991,0.10279949668996365
ABHD17A,1.0936834664971355,0.003406298530643259,0.011434438660932217
ABHD17B,-0.3388783715576311,0.004762374208901289,0.014745646885517575
ABHD17C,0.021518687981433082,0.9060464204533406,0.9321258168340077
ABHD18,-0.6990738152062326,7.977498116734499e-07,3.760861388150855e-05
ABHD2,0.6939945534803584,0.000211829045922502,0.0015241725607323133
ABHD3,-0.7650003916087211,0.00014433978787173546,0.001160403937031473
ABHD4,0.7863489179577963,3.2310456710775424e-09,8.499588742336583e-07
ABHD5,0.16528186593766225,0.5814617295267546,0.6666056069437291
ABHD6,-0.010067547131383137,0.9219907497730537,0.9441330300809021
ABHD8,0.9448237347347757,0.00634613135474679,0.018357304972286017
ABI1,-0.4048008963665328,0.0019528046260390256,0.0075834777816035735
ABI2,-0.4450239166365231,1.3789519782551937e-05,0.0002317003002398895
ABI3,-0.11621494963698709,0.562277821127195,0.6493099368995607
ABI3BP,-0.7636126808159727,3.4540766889397376e-08,4.575501003072273e-06
ABITRAM,-0.11925154378834613,0.3247056245462,0.4228986117096909
ABL1,0.3688379232142225,0.015678966012377765,0.03757752185874722
ABL2,-0.38797739424046185,6.538322614069991e-05,0.000655476809015721
ABLIM1,0.3418157330650953,0.1354046954752854,0.21024412225078848
