herb,name,status,note,cid,smiles,formula,mw,logp,hbd,hba,admet_pass,pains
Antrodia cinnamomea(樟芝),antcin A,OK,,10004121.0,C[C@H]1[C@@H]2CCC3=C([C@]2(CCC1=O)C)C(=O)C[C@]4([C@H]3CC[C@@H]4[C@H](C)CCC(=C)C(C)C(=O)O)C,C29H42O4,454.65,6.4,1.0,3.0,False,
Antrodia cinnamomea(樟芝),antcin B,OK,,387397.0,C[C@H]1C2CC(=O)C3=C(C2(CCC1=O)C)C(=O)CC4(C3CCC4C(C)CCC(=C)C(C)C(=O)O)C,C29H40O5,468.63,5.58,1.0,4.0,False,
Antrodia cinnamomea(樟芝),antcin C,OK,,68150385.0,C[C@H]1[C@@H]2C[C@@H](C3=C([C@]2(CCC1=O)C)C(=O)C[C@]4([C@H]3CC[C@@H]4[C@H](C)CCC(=C)[C@H](C)C(=O)O)C)O,C29H42O5,470.65,5.37,2.0,4.0,True,
Antrodia cinnamomea(樟芝),antcin H,PUBCHEM_MISS,,,,,,,,,,
Antrodia cinnamomea(樟芝),antcin K,OK,,53321283.0,C[C@H](CCC(=C)C(C)C(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CC[C@H]([C@]4(C)O)O)C)O)C,C29H44O6,488.67,4.27,4.0,5.0,True,
Antrodia cinnamomea(樟芝),antrodin A,OK,,139583314.0,CC1=CC(=O)[C@]2([C@@]1([C@@H]3CC(C[C@@H]3[C@@H]2O)(C)C)O)C,C15H22O3,250.34,1.68,2.0,3.0,True,
Antrodia cinnamomea(樟芝),antrodin B,OK,,139587118.0,C[C@@]12C[C@@H]([C@H]([C@@]1([C@H]([C@@H]3C2=CC(C3)(C)C)O)C)O)O,C15H24O3,252.35,1.47,3.0,3.0,True,
Antrodia cinnamomea(樟芝),antrodin C,OK,,139585100.0,C[C@@H]1[C@@H](C=C2[C@]1([C@H]([C@@H]3[C@H]2CC(C3)(C)C)O)C)O,C15H24O2,236.35,2.36,2.0,2.0,True,
Antrodia cinnamomea(樟芝),eburicoic acid,OK,,73402.0,CC(C)C(=C)CC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O,C31H50O3,470.74,7.79,2.0,2.0,False,
Antrodia cinnamomea(樟芝),dehydroeburicoic acid,OK,,15250826.0,CC(C)C(=C)CC[C@H]([C@H]1CC[C@@]2([C@@]1(CC=C3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O,C31H48O3,468.72,7.57,2.0,2.0,False,
Antrodia cinnamomea(樟芝),sulphurenic acid,PUBCHEM_MISS,,,,,,,,,,
Antrodia cinnamomea(樟芝),zhankuic acid A,OK,UNCERTAIN,10004842.0,C[C@H]1[C@@H]2CC(=O)C3=C([C@]2(CCC1=O)C)C(=O)C[C@]4([C@H]3CC[C@@H]4[C@H](C)CCC(=C)C(C)C(=O)O)C,C29H40O5,468.63,5.58,1.0,4.0,False,
Antrodia cinnamomea(樟芝),methyl antcinate K,PUBCHEM_MISS,UNCERTAIN,,,,,,,,,
Antrodia cinnamomea(樟芝),antcin I,PUBCHEM_MISS,,,,,,,,,,
Antrodia cinnamomea(樟芝),antcin L,PUBCHEM_MISS,UNCERTAIN,,,,,,,,,
Inonotus obliquus(桦褐孔菌),inotodiol,OK,,44422314.0,C[C@@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)[C@@H](CC=C(C)C)O,C30H50O2,442.73,7.45,2.0,2.0,False,
Inonotus obliquus(桦褐孔菌),trametenolic acid,OK,,12309443.0,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O)C,C30H48O3,456.71,7.54,2.0,2.0,False,
Inonotus obliquus(桦褐孔菌),betulinic acid,OK,note:mid-known,64971.0,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O,C30H48O3,456.71,7.09,2.0,2.0,False,
Inonotus obliquus(桦褐孔菌),betulin,OK,,72326.0,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)CO,C30H50O2,442.73,7.0,2.0,2.0,False,
Inonotus obliquus(桦褐孔菌),lanosterol,OK,,246983.0,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,C30H50O,426.73,8.48,1.0,1.0,False,
Inonotus obliquus(桦褐孔菌),inonotsuside A,PUBCHEM_MISS,UNCERTAIN,,,,,,,,,
Inonotus obliquus(桦褐孔菌),"3beta-hydroxylanosta-8,24-dien-21-al",OK,UNCERTAIN,44581610.0,CC(=CCC[C@@H](C=O)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C,C30H48O2,440.71,7.66,1.0,2.0,False,
Inonotus obliquus(桦褐孔菌),trametenic acid,PUBCHEM_MISS,UNCERTAIN,,,,,,,,,
Swertia spp.(当药/青叶胆/藏茵陈),swertiamarin,OK,,442435.0,C=C[C@H]1[C@@H](OC=C2[C@]1(CCOC2=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C16H22O10,374.34,-2.48,5.0,10.0,True,
Swertia spp.(当药/青叶胆/藏茵陈),sweroside,OK,,161036.0,C=C[C@@H]1[C@@H]2CCOC(=O)C2=CO[C@H]1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C16H22O9,358.34,-1.59,4.0,9.0,True,
Swertia spp.(当药/青叶胆/藏茵陈),amarogentin,OK,,115149.0,C=C[C@@H]1[C@@H]2CCOC(=O)C2=CO[C@H]1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)OC(=O)C4=C(C=C(C=C4O)O)C5=CC(=CC=C5)O,C29H30O13,586.55,1.06,6.0,13.0,False,
Swertia spp.(当药/青叶胆/藏茵陈),amaroswerin,OK,,45359883.0,C=C[C@H]1[C@@H](OC=C2[C@]1(CCOC2=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)OC(=O)C4=C(C=C(C=C4O)O)C5=CC(=CC=C5)O,C29H30O14,602.55,0.17,7.0,14.0,False,
Swertia spp.(当药/青叶胆/藏茵陈),gentiopicroside,OK,,88708.0,C=C[C@H]1[C@@H](OC=C2C1=CCOC2=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C16H20O9,356.33,-1.67,4.0,9.0,True,
Swertia spp.(当药/青叶胆/藏茵陈),bellidifolin,OK,,5281623.0,COC1=CC(=C2C(=C1)OC3=C(C=CC(=C3C2=O)O)O)O,C14H10O6,274.23,2.07,3.0,6.0,True,
Swertia spp.(当药/青叶胆/藏茵陈),demethylbellidifolin,OK,UNCERTAIN,5281626.0,C1=CC(=C2C(=C1O)C(=O)C3=C(C=C(C=C3O2)O)O)O,C13H8O6,260.2,1.77,4.0,6.0,True,
Swertia spp.(当药/青叶胆/藏茵陈),methylswertianin,OK,,5281653.0,COC1=C(C2=C(C=C1)OC3=CC(=CC(=C3C2=O)O)OC)O,C15H12O6,288.25,2.37,2.0,6.0,True,
Swertia spp.(当药/青叶胆/藏茵陈),decussatin,OK,UNCERTAIN,5378284.0,COC1=C(C2=C(C=C1)OC3=CC(=CC(=C3C2=O)O)OC)OC,C16H14O6,302.28,2.68,1.0,6.0,True,
Swertia spp.(当药/青叶胆/藏茵陈),swertianolin,OK,,5281662.0,COC1=CC(=C2C(=C1)OC3=C(C=CC(=C3C2=O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,C20H20O11,436.37,-0.46,6.0,11.0,False,
Swertia spp.(当药/青叶胆/藏茵陈),mangiferin,OK,note:mid-known,5281647.0,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,C19H18O11,422.34,-0.72,8.0,11.0,False,catechol_A(92)
Swertia spp.(当药/青叶胆/藏茵陈),"1,5,8-trihydroxy-3-methoxyxanthone",OK,UNCERTAIN,5281623.0,COC1=CC(=C2C(=C1)OC3=C(C=CC(=C3C2=O)O)O)O,C14H10O6,274.23,2.07,3.0,6.0,True,
Ampelopsis grossedentata(藤茶),dihydromyricetin,OK,flag:flavanonol-skeleton,161557.0,C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H12O8,320.25,0.89,6.0,8.0,False,catechol_A(92)
Ampelopsis grossedentata(藤茶),dihydroquercetin,OK,flag:flavanonol,439533.0,C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H12O7,304.25,1.19,5.0,7.0,True,catechol_A(92)
Ampelopsis grossedentata(藤茶),dihydrokaempferol,OK,flag:flavanonol,122850.0,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H12O6,288.25,1.48,4.0,6.0,True,
Phyllanthus niruri(叶下珠),phyllanthin,OK,,358901.0,COC[C@@H](CC1=CC(=C(C=C1)OC)OC)[C@H](CC2=CC(=C(C=C2)OC)OC)COC,C24H34O6,418.53,4.03,0.0,6.0,True,
Phyllanthus niruri(叶下珠),hypophyllanthin,OK,,182140.0,COC[C@@H]1CC2=CC(=C3C(=C2[C@@H]([C@H]1COC)C4=CC(=C(C=C4)OC)OC)OCO3)OC,C24H30O7,430.5,3.65,0.0,7.0,True,
Phyllanthus niruri(叶下珠),nirtetralin,OK,,182644.0,COC[C@H]1CC2=CC3=C(C(=C2[C@H]([C@@H]1COC)C4=CC(=C(C=C4)OC)OC)OC)OCO3,C24H30O7,430.5,3.65,0.0,7.0,True,
Phyllanthus niruri(叶下珠),phyltetralin,OK,,11223782.0,COC[C@H]1CC2=CC(=C(C=C2[C@H]([C@@H]1COC)C3=CC(=C(C=C3)OC)OC)OC)OC,C24H32O6,416.51,3.93,0.0,6.0,True,
Phyllanthus niruri(叶下珠),niranthin,OK,,11575632.0,COC[C@@H](CC1=CC(=C(C=C1)OC)OC)[C@H](CC2=CC3=C(C(=C2)OC)OCO3)COC,C24H32O7,432.51,3.75,0.0,7.0,True,
Phyllanthus niruri(叶下珠),norsecurinine,OK,,11106439.0,C1C[C@@H]2[C@]34C[C@H](N2C1)C=CC3=CC(=O)O4,C12H13NO2,203.24,1.01,0.0,3.0,True,
Phyllanthus niruri(叶下珠),isointetralin,PUBCHEM_MISS,UNCERTAIN,,,,,,,,,
Phyllanthus niruri(叶下珠),lintetralin,OK,UNCERTAIN,11361584.0,COC[C@H]1CC2=CC(=C(C=C2[C@H]([C@@H]1COC)C3=CC4=C(C=C3)OCO4)OC)OC,C23H28O6,400.47,3.65,0.0,6.0,True,
Centella asiatica(积雪草),asiatic acid,OK,,119034.0,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,C30H48O5,488.71,5.03,4.0,4.0,True,
Centella asiatica(积雪草),madecassic acid,OK,,73412.0,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(C[C@H]([C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)O)C)[C@@H]2[C@H]1C)C)C(=O)O,C30H48O6,504.71,4.0,5.0,5.0,False,
Centella asiatica(积雪草),asiaticoside,OK,glycoside-MW,11954171.0,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O)O)O)O)O,C48H78O19,959.13,-1.03,12.0,19.0,False,
Centella asiatica(积雪草),madecassoside,OK,glycoside-MW,24825675.0,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(C[C@H]([C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)O)C)[C@@H]2[C@H]1C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O)O)O)O)O,C48H78O20,975.13,-2.06,13.0,20.0,False,
Centella asiatica(积雪草),terminolic acid,OK,UNCERTAIN,12314613.0,C[C@@]12CC[C@]3(CCC(C[C@H]3C1=CC[C@H]4[C@]2(C[C@H]([C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)O)C)(C)C)C(=O)O,C30H48O6,504.71,4.15,5.0,5.0,False,
Ilex kudingcha(苦丁茶),ursolic acid,OK,note:mid-known,64945.0,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,C30H48O3,456.71,7.09,2.0,2.0,False,
Ilex kudingcha(苦丁茶),kudinogenin A,PUBCHEM_MISS,UNCERTAIN,,,,,,,,,
