herb,name,status,note,cid,smiles,formula,mw,logp,hbd,hba,admet_pass,pains,mw_pubchem
Salvia miltiorrhiza(丹参),Tanshinone I,OK,,114917.0,CC1=C2C=CC3=C(C2=CC=C1)C(=O)C(=O)C4=C3OC=C4C,C18H12O3,276.29,4.1,0.0,3.0,True,imine_one_A(321);quinone_D(2),276.3
Salvia miltiorrhiza(丹参),Tanshinone IIA,OK,,164676.0,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,C19H18O3,294.35,4.25,0.0,3.0,True,imine_one_A(321);quinone_D(2),294.3
Salvia miltiorrhiza(丹参),Tanshinone IIB,OK,,318797.0,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)CO,C19H18O4,310.35,3.22,1.0,4.0,True,imine_one_A(321);quinone_D(2),310.3
Salvia miltiorrhiza(丹参),Cryptotanshinone,OK,,160254.0,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,C19H20O3,296.37,3.44,0.0,3.0,True,imine_one_A(321);quinone_D(2),296.4
Salvia miltiorrhiza(丹参),Dihydrotanshinone I,OK,,11425923.0,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,C18H14O3,278.31,3.29,0.0,3.0,True,imine_one_A(321);quinone_D(2),278.3
Salvia miltiorrhiza(丹参),Neocryptotanshinone,OK,,389888.0,C[C@@H](CO)C1=C(C2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O)O,C19H22O4,314.38,2.96,2.0,4.0,True,imine_one_A(321);quinone_D(2),314.4
Salvia miltiorrhiza(丹参),Isocryptotanshinone,OK,UNCERTAIN,626608.0,CC1COC2=C1C(=O)C3=C(C2=O)C4=C(C=C3)C(CCC4)(C)C,C19H20O3,296.37,3.6,0.0,3.0,True,quinone_A(370),296.4
Salvia miltiorrhiza(丹参),Miltirone,OK,,160142.0,CC(C)C1=CC2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O,C19H22O2,282.38,4.11,0.0,2.0,True,imine_one_A(321);quinone_D(2),282.4
Salvia miltiorrhiza(丹参),Tanshindiol A,OK,,16730071.0,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCC[C@]4(CO)O,C18H16O5,312.32,2.15,2.0,5.0,True,imine_one_A(321);quinone_D(2),312.3
Salvia miltiorrhiza(丹参),Tanshindiol B,OK,,5321620.0,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CC[C@@H]([C@]4(C)O)O,C18H16O5,312.32,2.15,2.0,5.0,True,imine_one_A(321);quinone_D(2),312.3
Salvia miltiorrhiza(丹参),Tanshindiol C,OK,,126072.0,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CC[C@H]([C@]4(C)O)O,C18H16O5,312.32,2.15,2.0,5.0,True,imine_one_A(321);quinone_D(2),312.3
Salvia miltiorrhiza(丹参),Methylenetanshinquinone,OK,UNCERTAIN,105118.0,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4=C,C18H14O3,278.31,3.98,0.0,3.0,True,imine_one_A(321);quinone_D(2),278.3
Salvia miltiorrhiza(丹参),Salvilenone,OK,UNCERTAIN,389885.0,CC1=C2C=CC3=C4C2=C(C=C1)C(=O)C(=C4OC3(C)C)C(C)C,C20H20O2,292.38,4.98,0.0,2.0,True,,292.4
Salvia miltiorrhiza(丹参),Danshenxinkun A,OK,,149138.0,CC1=C2C=CC3=C(C2=CC=C1)C(=O)C(=O)C(=C3O)C(C)CO,C18H16O4,296.32,2.81,2.0,4.0,True,imine_one_A(321);quinone_D(2),296.3
Salvia miltiorrhiza(丹参),Danshenxinkun B,OK,,5320113.0,CC1=C2C=CC3=C(C2=CC=C1)C(=O)C(=O)C(=C3O)C(C)C,C18H16O3,280.32,3.84,1.0,3.0,True,imine_one_A(321);quinone_D(2),280.3
Salvia miltiorrhiza(丹参),Sugiol,OK,,94162.0,CC(C)C1=C(C=C2C(=C1)C(=O)C[C@@H]3[C@@]2(CCCC3(C)C)C)O,C20H28O2,300.44,5.19,1.0,2.0,True,,300.4
Salvia miltiorrhiza(丹参),Przewalskin,OK,UNCERTAIN,14139389.0,CC1=CC2=C(C=C1O)[C@@]34CCCC([C@@H]3C[C@@H]2OC4)(C)C,C18H24O2,272.39,4.24,1.0,2.0,True,,272.4
Salvia miltiorrhiza(丹参),Isotanshinone IIB,OK,UNCERTAIN,184102.0,CC1=COC2=C1C(=O)C3=C(C2=O)C4=C(C=C3)C(CCC4)(C)CO,C19H18O4,310.35,2.95,1.0,4.0,True,quinone_A(370),310.3
Glycyrrhiza uralensis(甘草),Glycyrol,OK,,5320083.0,CC(=CCC1=C(C2=C(C=C1O)OC(=O)C3=C2OC4=C3C=CC(=C4)O)OC)C,C21H18O6,366.37,4.62,2.0,6.0,True,,366.4
Glycyrrhiza uralensis(甘草),Isoglycyrol,OK,,124050.0,CC1(CCC2=C(O1)C=C3C(=C2OC)C4=C(C5=C(O4)C=C(C=C5)O)C(=O)O3)C,C21H18O6,366.37,4.51,1.0,6.0,True,,366.4
Glycyrrhiza uralensis(甘草),Glabridin,OK,,124052.0,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,C20H20O4,324.38,4.0,2.0,4.0,True,,324.4
Glycyrrhiza uralensis(甘草),Glabrene,OK,UNCERTAIN,480774.0,CC1(C=CC2=C(C=CC(=C2O1)C3=CC4=C(C=C(C=C4)O)OC3)O)C,C20H18O4,322.36,4.22,2.0,4.0,True,,322.4
Glycyrrhiza uralensis(甘草),Licochalcone A,OK,,5318998.0,CC(C)(C=C)C1=C(C=C(C(=C1)/C=C/C(=O)C2=CC=C(C=C2)O)OC)O,C21H22O4,338.4,4.47,2.0,4.0,True,,338.4
Glycyrrhiza uralensis(甘草),Licochalcone B,OK,,5318999.0,COC1=C(C=CC(=C1O)O)/C=C/C(=O)C2=CC=C(C=C2)O,C16H14O5,286.28,2.71,3.0,5.0,True,catechol_A(92),286.28
Glycyrrhiza uralensis(甘草),Echinatin,OK,,6442675.0,COC1=C(C=CC(=C1)O)/C=C/C(=O)C2=CC=C(C=C2)O,C16H14O4,270.28,3.0,2.0,4.0,True,,270.28
