canonical_smiles,pAct,n,types,target,tid
C#CCCC(=O)N[C@@H](C)c1ccc(C2CN(c3ccc(OCC4CC4)cc3)C2)cc1,5.623423042943488,1,IC50,ACC2,CHEMBL4829
C=CCC(=O)NC(C)Cc1ccc(C2CN(c3ccc(OCC4CC4)cc3)C2)cc1,5.97061622231479,1,IC50,ACC2,CHEMBL4829
C=CCC(=O)NC(C)Cc1ccc(C2CN(c3ccc4c(c3)OCCO4)C2)cc1,5.5406075122407685,1,IC50,ACC2,CHEMBL4829
C=CCC(=O)N[C@@H](C)c1ccc(C2CN(c3ccc(OCC4CC4)cc3)C2)cc1,6.200659450546418,1,IC50,ACC2,CHEMBL4829
C=CCC(=O)N[C@@H](C)c1ccc(C2CN(c3ccc4c(c3)OCCO4)C2)cc1,6.013228265733755,1,IC50,ACC2,CHEMBL4829
C=CCC(=O)N[C@@H](C)c1ccc(OC2CN(c3ccc(OCC)cc3)C2)cc1,6.346787486224656,1,IC50,ACC2,CHEMBL4829
C=Cc1cc(OCC(C)C)ccc1Oc1ncc(C#CC(C)NC(C)=O)s1,6.585026652029182,1,IC50,ACC2,CHEMBL4829
CC(=O)N1CCC(C(=O)N2CCC(N3CCN(C(=O)c4cc(-c5ccc(C)cc5)nc(-c5ccc(C)cc5)c4)CC3)CC2)CC1,7.638272163982407,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C#Cc1cnc(Oc2ccc(OC(C)C)cc2)s1)C1CC1,6.065619020893974,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C#Cc1cnc(Oc2ccc(OC(C)C)cc2)s1)CO,6.040958607678906,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)(C)C#Cc1cnc(Oc2ccc(OC(C)C)cc2)s1,6.301029995663981,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)(C)c1ccc(C#Cc2ccc(OC(C)C)nc2)cc1,4.665546248849069,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)(C)c1ccc(C#Cc2ccc(OC3CCC3)cc2)cc1,4.609064892896621,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)(C)c1ccc(C#Cc2ccnc(OC(C)C)c2)cc1,4.995678626217358,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1ccc(Oc2ccc(OC(C)C)cc2)cc1,8.090228032229065,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(C(=O)NC(C)C)cc2)s1,4.710411047457403,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(C(=O)NCC(C)C)cc2)s1,6.455931955649724,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(CC(C)C)cc2)s1,7.0915149811213505,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(NC(C)C)cc2)s1,6.823908740944319,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(NCC3CC3)c(Cl)c2)s1,7.853871964321762,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(O)cc2)s1,5.769551078621726,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OC(=O)NC(C)C)cc2)s1,6.468521082957745,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OC(C)C)cc2)s1,7.721246399047172,5,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OC(C)C)cc2Cl)s1,7.161150909262744,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OC(C)C)nc2)s1,7.823908740944319,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OC3CCCC3)cc2)s1,7.886056647693163,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OC3CCCCC3)cc2)s1,7.795880017344075,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OC3CCCCC3)cc2Cl)s1,7.468521082957745,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OC3CCOC3)cc2)s1,6.431798275933005,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC(C)C)cc2)s1,8.0,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC(C)C)cc2/C=N\O)s1,6.2441251443275085,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC(C)C)cc2Br)s1,7.455931955649724,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC(C)C)cc2C#N)s1,7.376750709602099,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC(C)C)cc2C)s1,8.045757490560675,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC(C)C)cc2C=O)s1,6.259637310505756,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC(C)C)cc2CO)s1,6.0,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC(C)C)cc2Cl)s1,7.920818753952375,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC(C)C)cc2F)s1,7.958607314841775,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC(C)C)cc2N)s1,4.801342913045578,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC(C)C)cc2[N+](=O)[O-])s1,7.154901959985743,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC3CC3)cc2)s1,8.154901959985743,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC3CC3)cc2Cl)s1,8.0,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC3CCCC3)cc2)s1,8.301029995663981,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC3CCCCC3)cc2)s1,7.568636235841012,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC3CCCCC3)cc2Cl)s1,7.537602002101044,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC3CCOC3)cc2)s1,7.173925197299173,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC3CCOC3)cc2Cl)s1,6.853871964321762,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(Oc3ccccc3)cc2)s1,7.958607314841775,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(Oc3ccccn3)cc2)s1,7.2441251443275085,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(Oc3nccs3)cc2)s1,6.537602002101044,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(S(=O)(=O)C(C)C)cc2)s1,5.392544976785331,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(SC(C)C)cc2)s1,7.259637310505756,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2cccc(OC(=O)NCC(C)C)c2)s1,6.42021640338319,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2cccc(OC(C)C)c2)s1,7.853871964321762,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2cccc(OC(F)(F)F)c2)s1,6.886056647693163,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2cccc(OC3CCCCC3)c2)s1,7.585026652029182,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2cccc(OC3CCOC3)c2)s1,6.6777807052660805,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2cccc(OCC(C)C)c2)s1,7.886056647693163,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2cccc(OCC(C)C)c2C)s1,7.7447274948966935,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2cccc(Oc3ccccc3)c2)s1,7.119186407719209,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccccc2)s1,5.707743928643524,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Oc2ccccc2OC(C)C)s1,5.210419287835574,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)C#Cc1cnc(Sc2ccc(OC(C)C)cc2)s1,7.161150909262744,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCC1CCC(Oc2ccc(OC(C)C)nc2)CC1,7.096910013008056,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(C2CN(c3ccc(OC4CC4)cc3)C2)cc1,6.318758762624412,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(C2CN(c3ccc(OCC4CC4)cc3)C2)cc1,6.721246399047171,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(C2CN(c3ccc4c(c3)OCCO4)C2)cc1,6.173925197299173,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(C2CN(c3cccc(C(F)(F)F)n3)C2)cc1,5.847711655616944,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(C2CN(c3cccc(OC(C)C)c3)C2)cc1,5.497572880015568,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(C2CN(c3ncc(C4CC4)cn3)C2)cc1,5.59176003468815,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(C2CN(c3ncc4nc(-c5ccccc5)oc4n3)C2)cc1,6.09151498112135,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(OC2=NCC(OC(C)C)N=C2)cc1,5.920818753952375,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(Oc2ccc(OC(C)C)cn2)cc1,6.761439372640169,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(Oc2ccc(OC(C)C)nc2)cc1,7.221848749616356,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(Oc2ccc(OC(C)C)nn2)cc1,5.173925197299173,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(Oc2ccc(OC3CCCC3)cn2)cc1,6.853871964321762,2,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(Oc2ccc(OC3CCOC3)cn2)cc1,5.443697499232712,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(Oc2ccc(OCC3CC3)nc2)cc1,6.769551078621726,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(Oc2ccc(OCC3CCC3)cn2)cc1,7.301029995663981,1,IC50,ACC2,CHEMBL4829
CC(=O)NC(C)CCc1ccc(Oc2ccc(OCc3ccccc3)cn2)cc1,6.843884223195947,3,IC50,ACC2,CHEMBL4829
