canonical_smiles,pAct,n,types,target,tid
C/C=C\CCCCCOc1ccc(NS(=O)(=O)c2ccc3c(c2)CN(C(=O)Nc2ccc(C(C)(C)C)cc2)C3)c(F)c1,8.698970004336019,1,IC50,DGAT2,CHEMBL2439944
C/C=C\CCCOc1ccc(NS(=O)(=O)c2ccc3c(c2)CN(C(=O)Nc2ccc(C(C)(C)C)cc2)C3)c(F)c1,6.892790030352131,1,IC50,DGAT2,CHEMBL2439944
CC(=O)Nc1cc(S(=O)(=O)Nc2ccc(F)cc2F)cc2c1N(CCc1ccccc1)CC2,9.0,1,IC50,DGAT2,CHEMBL2439944
CC(=O)c1ccc(C2=C(n3nn[nH]c3=O)C(=O)N[C@@](c3ccc(OCCCC(F)(F)F)cc3)(C(F)(F)F)C2)s1,8.096910013008056,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)[C@H]1CC[C@@H](C(=O)N2CCc3cc(S(=O)(=O)Nc4ccc(CCCC5CCCC5)cc4F)ccc3C2)CC1,6.534617148551582,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)[C@H]1CC[C@H](C(=O)N2CCc3cc(S(=O)(=O)Nc4ccc(CCCC5CCCC5)cc4F)ccc3C2)CC1,7.055517327849831,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1cc(CCN2CCc3cc(S(=O)(=O)Nc4ccc(CCCC5CCCC5)cc4F)ccc3C2)ccn1,6.785156151952302,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1cc(CN2CCc3cc(S(=O)(=O)Nc4ccc(CCCC5CCCC5)cc4F)ccc3C2)ccn1,7.1487416512809245,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1cc(CN2CCc3cc(S(=O)(=O)Nc4ccc(OCCC5CCOCC5)cc4F)ccc3C2)ccn1,6.628932137728263,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(C(=O)N2CCc3cc(S(=O)(=O)Nc4ccc(CCCC5CCCC5)cc4F)ccc3C2)cc1,6.675717544702307,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(C(C)(C)N2CCc3cc(S(=O)(=O)Nc4ccc(CCCC5CCCC5)cc4F)ccc3C2)cn1,8.301029995663981,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(C2(N3CCc4cc(S(=O)(=O)Nc5ccc(CCCC6CCCC6)cc5F)ccc4C3)CC2)cn1,7.221848749616356,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(CC(=O)N2CCc3cc(S(=O)(=O)Nc4ccc(OCCC5CCCCC5)cc4F)ccc3C2)cc1,6.826813731587726,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(CC(=O)N2Cc3ccc(S(=O)(=O)Nc4ccc(F)cc4)cc3C2)cc1,5.09312646527793,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(CC(C)(C)N2CCc3cc(S(=O)(=O)Nc4ccc(CCCC5CCCC5)cc4F)ccc3C2)cc1,7.853871964321762,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(CC(C)(C)N2CCc3cc(S(=O)(=O)Nc4ccc(OCCC5CCOCC5)cc4F)ccc3C2)cc1,6.651695136951839,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(CC2(N3CCc4cc(S(=O)(=O)Nc5ccc(CCCC6CCCC6)cc5F)ccc4C3)CC2)cc1,6.698970004336019,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(CCN2CCc3cc(S(=O)(=O)Nc4ccc(CCCC5CCCC5)cc4F)ccc3C2)cc1,7.552841968657781,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(CCN2CCc3cc(S(=O)(=O)Nc4ccc(CCCC5CCCC5)cc4F)ccc3C2)cn1,7.207608310501746,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(CCN2CCc3cc(S(=O)(=O)Nc4ccc(CCCC5CCCCC5)cc4F)ccc3C2)cc1,7.207608310501746,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(CCN2CCc3cc(S(=O)(=O)Nc4ccc(CCCC5CCOCC5)cc4F)ccc3C2)cc1,7.619788758288394,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(CCN2CCc3cc(S(=O)(=O)Nc4ccc(CCCCCc5ccccc5)cc4F)ccc3C2)cc1,7.275724130399211,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(CCN2CCc3cc(S(=O)(=O)Nc4ccc(F)cc4)ccc3C2)cc1,5.817585347565446,1,IC50,DGAT2,CHEMBL2439944
CC(C)(C)c1ccc(CCN2CCc3cc(S(=O)(=O)Nc4ccc(OCCC5CCCC5)cc4F)ccc3C2)cc1,7.537602002101044,1,IC50,DGAT2,CHEMBL2439944
