canonical_smiles,pAct,n,types,target,tid
C#Cc1ccc(C2CCN(C(=O)c3cc(C(=O)NC)c(C4CCC4)cc3C)CC2)cc1,7.161150909262744,2,IC50,FASN,CHEMBL4158
C#Cc1ccc(COC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(=O)[C@@H]2OC(=O)[C@H]2CCCCCC)NC(=O)OCc2ccccc2)cc1,5.400116927926312,1,IC50,FASN,CHEMBL4158
C/C(C(=N)C(=O)N(C)C)=C(/N)c1cc(C(=O)N2CC(c3ccc(C#N)cc3)C2)c(C)cc1C,7.619788758288394,1,IC50,FASN,CHEMBL4158
C/C(C(=N)C1CCOC1)=C(/N)c1cc(C(=O)N2CC(c3ccc(C#N)cc3)C2)ccc1C,7.026872146400302,1,IC50,FASN,CHEMBL4158
C/C=C/C/C=C/CCC(=O)[C@H]1O[C@H]1C(N)=O,4.927659498838847,3,IC50,FASN,CHEMBL4158
C=C/C(C)=C/C1(C)SC(O)=C(C)C1=O,3.8446639625349386,1,IC50,FASN,CHEMBL4158
C=C/C(C)=C/[C@@]1(C)SC(=O)C(C)=C1O,4.0,1,IC50,FASN,CHEMBL4158
C=C/C(C)=C/[C@]1(C)SC(=O)C(C)=C1O,3.681936665037238,1,IC50,FASN,CHEMBL4158
C=C/C(C)=C/[C@]1(C)SC(=O)C=C1O,4.014124642691606,1,IC50,FASN,CHEMBL4158
C=C1C(=O)O[C@H](CCCCCCCC)[C@H]1C(=O)O,4.359100519842442,2,IC50,FASN,CHEMBL4158
CC#Cc1ccc(C2CCN(C(=O)c3cc(C(=O)NC)c(C4CCC4)cc3C)CC2)cc1,6.903089986991944,2,IC50,FASN,CHEMBL4158
CC(=O)N1CC(c2nc(C)c(-c3cc(C(=O)N4CC(c5ccc(C#N)cc5)C4)ccc3C)[nH]2)C1,7.698970004336019,2,IC50,FASN,CHEMBL4158
CC(=O)N1CCC(OC(=O)Nc2cc(C(=O)N3CCC(F)(c4ccc(C#N)cc4)CC3)c(C)cc2C)C1,6.698970004336019,1,IC50,FASN,CHEMBL4158
CC(=O)N1CCC(OC(=O)Nc2ccc(C)c(C(=O)N3CCC(F)(c4ccc(C#N)cc4)CC3)c2)C1,6.782516055786093,1,IC50,FASN,CHEMBL4158
CC(=O)N1CCC(c2nc(C)c(-c3cc(C(=O)N4CC(c5ccc(C#N)cc5)C4)ccc3C)[nH]2)CC1,7.537602002101044,2,IC50,FASN,CHEMBL4158
CC(=O)N1CCC2(CC1)N=C(c1ccc(-c3ccc4c(cnn4C)c3)cc1)N(C[C@@H]1CCN(C(=O)C3CC3)C1)C2=O,6.698970004336019,1,IC50,FASN,CHEMBL4158
CC(=O)N1CCc2nc(-c3cc(C(=O)N4CCC(c5ccc(C#N)cc5)CC4)c(C)cc3C)[nH]c2C1,7.187086643357144,1,IC50,FASN,CHEMBL4158
CC(=O)N1CCc2nc(-c3cc(C(=O)N4CCC(c5ccc(C#N)cc5)CC4)c(C)cc3C)[nH]c2C1C,7.096910013008056,1,IC50,FASN,CHEMBL4158
CC(=O)N1CCc2nc(-c3cc(C(=O)N4CCC(c5ccc(C#N)cc5)CC4)c(C)cc3C)[nH]c2CC1,7.221848749616356,1,IC50,FASN,CHEMBL4158
