canonical_smiles,pAct,n,types,target,tid
C(#Cc1ccc(OCc2ccccc2)cc1)C1=CN2CCC1CC2,6.6020599913279625,1,IC50,FDFT1,CHEMBL3338
C/C(=C\[C@@H](C)Cc1ccccc1)CC[C@]12O[C@H](C(=O)O)[C@@](O)(C(=O)O)[C@](C(=O)O)(O1)[C@H](O)[C@H]2O,6.681936665037238,1,IC50,FDFT1,CHEMBL3338
C1=C(c2ccc(OCc3ccccc3)cc2)C2CCN1CC2,6.6020599913279625,1,IC50,FDFT1,CHEMBL3338
C=C(C)C[C@H]1C(=O)N(CC(=O)O)C[C@H](c2ccccc2Cl)c2cc(Cl)ccc21,5.259637310505756,1,IC50,FDFT1,CHEMBL3338
C=C(CCC12CCC(C(=O)O)(O1)C(O)(C(=O)O)C(C(=O)O)O2)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,6.366531544420413,1,IC50,FDFT1,CHEMBL3338
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)/C=C/[C@@H](C)C[C@@H](C)CC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,9.619788758288394,1,IC50,FDFT1,CHEMBL3338
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)/C=C/[C@H](C)C[C@H](C)CC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.301029995663981,1,IC50,FDFT1,CHEMBL3338
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)CCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,9.017728766960431,1,IC50,FDFT1,CHEMBL3338
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)NCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.494850021680094,1,IC50,FDFT1,CHEMBL3338
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)OCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,9.193820026016112,1,IC50,FDFT1,CHEMBL3338
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)OCCCCCCCCCCCOc1ccccc1)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,9.55284196865778,1,IC50,FDFT1,CHEMBL3338
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OCCCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,9.522878745280337,1,IC50,FDFT1,CHEMBL3338
C=C(CCC1OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)O1)C(OC(C)=O)C(C)Cc1ccccc1,5.920818753952375,1,IC50,FDFT1,CHEMBL3338
