canonical_smiles,pAct,n,types,target,tid
Brc1ccc(-c2nc(-c3ccccc3)no2)cc1,6.455931955649724,1,EC50,FXR,CHEMBL2047
Brc1ccc2nc(-c3cccs3)c(NCc3ccccc3)n2c1,6.301029995663981,1,EC50,FXR,CHEMBL2047
C#CC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,6.267606240177031,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cc(C(=O)O)ccc1C#N)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,7.3448615651886175,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cc(C(=O)O)ccc1C#N)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)c(C)c1,6.356349961782671,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cc(C(=O)O)ccc1C#N)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)c(F)c1,6.459920911195827,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cc(C(=O)O)ccc1C#N)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)cc1Cl,7.442492798094342,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cc(C)cc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,7.22767829327708,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cc(C)cc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)c(C)c1,6.281415279972563,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cc(C)cc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)c(F)c1,5.8716976828356495,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cc(C)cc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)cc1Cl,6.800519085137644,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1ccc(C(=O)O)cc1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1,6.893129455521346,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1ccc(C(=O)O)cc1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,6.873868592738016,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1ccc(C(=O)O)o1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,7.303643611266668,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1ccc(C(=O)O)o1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cn1,5.857860919867865,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)c(Cl)c1,6.586532587014175,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1,6.746904414150968,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Br,7.429457060118103,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1C(F)(F)F,6.712870379280889,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,7.324221658325915,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1F,7.253365801062421,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cn1,6.6311554931741785,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cccc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)cc1Cl,6.968591535748375,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1ccccc1C(=O)O)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,7.122628654130226,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cncc(C(=O)O)c1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1Cl,7.187086643357144,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cncc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)c(C)c1,5.737074530668169,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cncc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)c(F)c1,6.1379879487497835,1,EC50,FXR,CHEMBL2047
C/C(=N\OCc1cncc(C(=O)O)c1)c1ccc(OCc2c(-c3ccccc3OC(F)(F)F)noc2C2CC2)cc1Cl,7.261219441515631,1,EC50,FXR,CHEMBL2047
C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5.593931664324144,13,"EC50,IC50",FXR,CHEMBL2047
C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.345081586699728,7,IC50,FXR,CHEMBL2047
C=C(C)[C@@H](O)[C@@H](O)C[C@@H](C)C1=C2C=C[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1=O,5.619788758288394,1,EC50,FXR,CHEMBL2047
C=C(C)[C@@H](O)[C@@H](O)C[C@@H](C)C1=C2CC[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1,5.518557371497695,1,EC50,FXR,CHEMBL2047
C=C(C)[C@@H](O)[C@@H]1C[C@@H](C)[C@@]2(CC[C@@]3(C)C2=C[C@H](O)[C@H]2[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]23C)O1,4.810509686300633,1,EC50,FXR,CHEMBL2047
C=C(C)[C@@H](O)[C@@H]1C[C@@H](C)[C@@]2(CC[C@@]3(C)C2=C[C@H](OC)[C@H]2[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]23C)O1,4.7544873321858505,1,EC50,FXR,CHEMBL2047
C=C(C)[C@@H]1OC(C)(C)O[C@H]1C[C@@H](C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1,5.055517327849831,1,EC50,FXR,CHEMBL2047
C=C(C)[C@H](O)[C@@H](O)C[C@@H](C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1,4.618163200001657,1,EC50,FXR,CHEMBL2047
C=C(C)[C@H](O)[C@@H]1C[C@@H](C)C2=C3C[C@H](O)[C@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]4(C)[C@@]3(C)C[C@@H]2O1,4.876148359032914,1,EC50,FXR,CHEMBL2047
C=C(C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)C(=O)O,4.628932137728264,1,EC50,FXR,CHEMBL2047
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@@H]1Oc1ccc([N+](=O)[O-])cc1,6.259637310505756,1,IC50,FXR,CHEMBL2047
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@@H]1Oc1ccccc1OC,6.259637310505756,1,IC50,FXR,CHEMBL2047
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,5.013228265733755,2,IC50,FXR,CHEMBL2047
C=C1CC[C@@H]2[C@]3(C)COC(C)(C)O[C@@H]3CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@@H]1Oc1ccc([N+](=O)[O-])cc1OC,6.259637310505756,1,IC50,FXR,CHEMBL2047
C=C1[C@@H](O)CC[C@]2(C)C3CC[C@@]4(C)C(=C3CC[C@@H]12)CC[C@@H]4[C@H](C)CC[C@H](CC)C(C)C,4.3979400086720375,1,IC50,FXR,CHEMBL2047
C=CC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,6.318758762624412,1,EC50,FXR,CHEMBL2047
C=CC[C@H](C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)C(=O)O,4.356547323513812,1,EC50,FXR,CHEMBL2047
