canonical_smiles,pAct,n,types,target,tid
C#CCCC1(CCOP(=O)(OC(C)C)C(Cc2cc(C(C)(C)C)nc(C(C)(C)C)c2)P(=O)(OC(C)C)OC(C)C)N=N1,6.379863945026242,1,EC50,HMGCR,CHEMBL402
C#CCCOP(=O)(OC(C)C)C(Cc1cc(C(C)(C)C)nc(C(C)(C)C)c1)P(=O)(OC(C)C)OC(C)C,6.0996328713435295,1,EC50,HMGCR,CHEMBL402
C#CCOP(=O)(OC(C)C)C(Cc1cc(C(C)(C)C)nc(C(C)(C)C)c1)P(=O)(OC(C)C)OC(C)C,6.198596289982644,1,EC50,HMGCR,CHEMBL402
C#Cc1cc(CC(P(=O)(OC(C)C)OC(C)C)P(=O)(OC(C)C)OC(C)C)cc(C(C)(C)C)c1,5.450996737974212,1,EC50,HMGCR,CHEMBL402
C#Cc1ccc(CNC(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]4C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O4)[C@H]32)cc1,7.269217724333611,1,IC50,HMGCR,CHEMBL402
C#Cc1ccc(NC(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]4C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O4)[C@H]32)cc1,7.437707135543525,1,IC50,HMGCR,CHEMBL402
C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3=O)C(=O)O,4.651695136951839,1,IC50,HMGCR,CHEMBL402
C/C(=C\CC[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C)C(=O)O,4.663540266151471,1,IC50,HMGCR,CHEMBL402
C/C=C/c1cc(OC)c(OC)cc1OC,6.336038067534508,2,IC50,HMGCR,CHEMBL402
C=CCOC1C[C@H](OCc2ccccc2)C[C@@H](/C=C/c2c(-c3ccc(F)cc3)nc(N(C)S(C)(=O)=O)nc2C(C)C)O1,8.522878745280337,1,IC50,HMGCR,CHEMBL402
CC(=O)[C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CCC1C2=CCC2C(C)(C)[C@@H](O)CC[C@]12C,6.0,1,IC50,HMGCR,CHEMBL402
CC(C)(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,8.088842391260023,1,IC50,HMGCR,CHEMBL402
CC(C)(O)CCCCc1cccc(/C=C/[C@]2(C)CC[C@@H](O)CC2)c1,5.0,1,IC50,HMGCR,CHEMBL402
CC(C)=C[C@H]1C[C@H](C)[C@]2(CC[C@]3(C)C[C@@H]4C(=O)C=C5C4=C(CC[C@H]32)C(=O)N5CCO)O1,5.6020599913279625,1,IC50,HMGCR,CHEMBL402
CC(C)=C[C@H]1C[C@H](C)[C@]2(CC[C@]3(C)C[C@@H]4C(C)=CC(=O)[C@H]4/C(C=O)=C\C[C@H]32)O1,5.075720713938118,1,IC50,HMGCR,CHEMBL402
CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C(C)O)C3=CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3CC[C@]12C,5.673393743112328,2,IC50,HMGCR,CHEMBL402
CC(C)C[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)O,3.756218083906205,1,IC50,HMGCR,CHEMBL402
CC(C)C[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)O,3.3145090605115266,1,IC50,HMGCR,CHEMBL402
