canonical_smiles,pAct,n,types,target,tid
C#CCC(CC#C)(C(=O)O)c1ccc(COc2cccc(-c3ccc(C(F)(F)F)c4ncc(C(=O)c5ccccc5)cc34)c2)cc1,8.698970004336019,1,IC50,LXRa,CHEMBL2808
C=C1c2ccccc2C(=O)N(C)c2ccc(O)cc21,5.421574049464994,2,IC50,LXRa,CHEMBL2808
C=CCC(C(=O)O)c1ccc(COc2cccc(-c3ccc(C(F)(F)F)c4ncc(C(=O)c5ccccc5)cc34)c2)cc1,7.795880017344075,1,IC50,LXRa,CHEMBL2808
C=CCCCOC(=O)[C@@]1(C)CCC[C@]2(C)c3cc(O)ccc3CC[C@@H]12,5.42021640338319,1,IC50,LXRa,CHEMBL2808
C=CCCOC(=O)[C@@]1(C)CCC[C@]2(C)c3cc(O)ccc3CC[C@@H]12,5.2958494831602,1,IC50,LXRa,CHEMBL2808
CC#CCC(C(=O)O)c1ccc(COc2cccc(-c3ccc(C(F)(F)F)c4ncc(C(=O)c5ccccc5)cc34)c2)cc1,8.221848749616356,1,IC50,LXRa,CHEMBL2808
CC(=O)Oc1ccc2c(c1)[C@@]1(C)CCCC(C)(C(=O)OC(=O)[C@@]3(C)CCC[C@]4(C)c5cc(OC(C)=O)ccc5CC[C@@H]34)[C@@H]1CC2,8.698970004336019,2,IC50,LXRa,CHEMBL2808
CC(C(=O)O)c1ccc(CNc2cccc(-c3c(C(=O)c4ccccc4)cnc4c(C(F)(F)F)cccc34)c2)cc1,7.818156412055227,1,IC50,LXRa,CHEMBL2808
CC(C)(C(=O)O)c1ccc(CNc2cccc(-c3c(C(=O)c4ccccc4)cnc4c(C(F)(F)F)cccc34)c2)cc1,7.764471553092451,1,IC50,LXRa,CHEMBL2808
CC(C)(C)OC(=O)CN(Cc1ccc(Cl)cc1)Cc1ccc([N+](=O)[O-])s1,5.301029995663981,1,IC50,LXRa,CHEMBL2808
CC(C)(C)c1ccc(/C=C/c2ccccc2N2C(=O)c3ccccc3C2=O)cc1,5.167491087293763,1,IC50,LXRa,CHEMBL2808
CC(C)(C)c1ccc(CC(C(=O)O)c2ccc(COc3cccc(-c4ccc(C(F)(F)F)c5ncc(C(=O)c6ccccc6)cc45)c3)cc2)cc1,7.187086643357144,1,IC50,LXRa,CHEMBL2808
