canonical_smiles,pAct,n,types,target,tid
C#CCOC(=O)N1CCc2c(OCCc3nc(-c4ccccc4)oc3C)ccc(CCC(=O)O)c2C1,7.366649016557956,2,"EC50,IC50",PPARG,CHEMBL235
C#CCOc1cc(COc2ccc(C(F)(F)F)cc2)ccc1Sc1ccc(OCC(=O)O)c(C)c1C,6.022878745280337,2,"Ki,EC50",PPARG,CHEMBL235
C#CCOc1cc(COc2ccc(C(F)(F)F)cc2)ccc1Sc1ccc(OCC(=O)O)c2c1CCCC2,5.6153113369619305,2,"Ki,EC50",PPARG,CHEMBL235
C#CCOc1cccc(Cc2c(C)n(C(=O)c3ccc(OC)cc3)c3ccc(OC(F)(F)F)cc23)c1,7.207608310501746,1,IC50,PPARG,CHEMBL235
C/C(=C/C(=O)c1ccccc1)N[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)C(=O)O,9.4172706576646,3,"Ki,EC50",PPARG,CHEMBL235
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4c(Cl)cccn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,8.48940535046503,2,EC50,PPARG,CHEMBL235
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4c5c(ccn34)OCC5)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,7.679759281514789,2,EC50,PPARG,CHEMBL235
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4cc(Cl)ccn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,8.648784731777237,2,EC50,PPARG,CHEMBL235
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4cc(F)ccn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,8.327803863157445,2,EC50,PPARG,CHEMBL235
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4ccc(Cl)cn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,8.328788659588897,2,EC50,PPARG,CHEMBL235
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4ccccn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,7.998485264723191,2,EC50,PPARG,CHEMBL235
C/C(=C1/c2ccc(Cn3c(C4CC4)nc4c(Cl)ccnc43)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,7.494850021680094,2,EC50,PPARG,CHEMBL235
C/C(=C1/c2ccc(Cn3c(C4CC4)nc4c(Cl)nccc43)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,7.6386830387330935,2,EC50,PPARG,CHEMBL235
C/C(=C1/c2ccc(Cn3c(C4CC4)nc4cscc43)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,8.100329725273209,2,EC50,PPARG,CHEMBL235
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/C=C/c3ccc(C(F)(F)F)cc3)cc2)cc1)C(=O)O,7.494850021680094,1,EC50,PPARG,CHEMBL235
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/C=C/c3ccc(Cl)cc3)cc2)cc1)C(=O)O,7.920818753952375,1,EC50,PPARG,CHEMBL235
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/C=C/c3ccccc3)cc2)cc1)C(=O)O,7.327902142064282,1,EC50,PPARG,CHEMBL235
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/N=N/c3ccc(Cl)cc3)cc2)cc1)C(=O)O,7.327902142064282,1,EC50,PPARG,CHEMBL235
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/N=N/c3ccc([N+](=O)[O-])cc3)cc2)cc1)C(=O)O,7.537602002101044,1,EC50,PPARG,CHEMBL235
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCCOc2ccc(/N=N/c3ccccc3)cc2)cc1)C(=O)O,5.863279432843593,1,EC50,PPARG,CHEMBL235
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCOc2ccc(/C=C/c3ccc(C(F)(F)F)cc3)cc2)cc1)C(=O)O,7.075720713938118,1,EC50,PPARG,CHEMBL235
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCOc2ccc(/C=C/c3ccc(C)cc3)cc2)cc1)C(=O)O,7.6777807052660805,1,EC50,PPARG,CHEMBL235
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCOc2ccc(/C=C/c3ccc(Cl)cc3)cc2)cc1)C(=O)O,7.585026652029182,1,EC50,PPARG,CHEMBL235
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCOc2ccc(/C=C/c3ccccc3)cc2)cc1)C(=O)O,7.920818753952375,1,EC50,PPARG,CHEMBL235
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCOc2ccc(/N=N/c3ccc(Cl)cc3)cc2)cc1)C(=O)O,7.4089353929735005,1,EC50,PPARG,CHEMBL235
C/C(=C\C(=O)c1ccccc1)NC(Cc1ccc(OCCOc2ccc(/N=N/c3ccccc3)cc2)cc1)C(=O)O,6.73754891026957,1,EC50,PPARG,CHEMBL235
C/C(=C\CC[C@]1(C)CCc2cc(O)cc(C)c2O1)CC/C=C(\C)C(=O)O,7.075720713938118,1,EC50,PPARG,CHEMBL235
C/C(=N/OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2ccccc2)nc1,6.721246399047171,1,EC50,PPARG,CHEMBL235
C/C(=N/OCCOc1cccc(CC2SC(=O)NC2=O)c1)c1ccc(-c2ccccc2)cc1,6.721246399047171,1,IC50,PPARG,CHEMBL235
C/C(=N\O)c1ccc(OC(Cc2ccccc2)C(=O)O)cc1,5.026872146400301,1,EC50,PPARG,CHEMBL235
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2ccccc2)cn1,5.958607314841775,1,EC50,PPARG,CHEMBL235
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2ccccc2)nc1,6.721246399047171,3,EC50,PPARG,CHEMBL235
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2ccccn2)cc1,6.1938200260161125,1,EC50,PPARG,CHEMBL235
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2cccnc2)cc1,6.096910013008056,1,EC50,PPARG,CHEMBL235
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccc(-c2ccncc2)cc1,5.795880017344075,1,EC50,PPARG,CHEMBL235
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1cccc(-c2ccccc2)c1,6.481486060122112,1,EC50,PPARG,CHEMBL235
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccc1,5.769551078621726,1,EC50,PPARG,CHEMBL235
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,5.552841968657781,1,EC50,PPARG,CHEMBL235
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1cccnc1,5.552841968657781,1,EC50,PPARG,CHEMBL235
C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccncc1,5.102372908709558,1,EC50,PPARG,CHEMBL235
C/C(CC(=O)Nc1ccc(C)cc1C)=N\NC(=N)N,3.7447274948966935,1,IC50,PPARG,CHEMBL235
C/C(O)=C/C(C)=N/[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,5.710001024518515,1,Ki,PPARG,CHEMBL235
C/C=C(\C)C(=O)OC[C@@]12C(=O)C[C@@H](C)[C@](C)(CCC3=CC(=O)OC3)[C@H]1CCC[C@]2(O)CCl,5.899629454882437,1,IC50,PPARG,CHEMBL235
C/C=C(\C)C(=O)OC[C@@]12C(=O)C[C@@H](C)[C@](C)(CCC3=CC(=O)OC3)[C@H]1CCC[C@]21CO1,5.688246138944246,1,IC50,PPARG,CHEMBL235
C/C=C(\C)C(=O)OC[C@@]12[C@@H](OC(C)=O)C[C@@H](C)[C@](C)(CCC3=CC(=O)OC3)[C@H]1CCC[C@]2(O)CCl,4.991399828238082,1,IC50,PPARG,CHEMBL235
C/C=C(\C)C(=O)OC[C@@]12[C@@H](OC(C)=O)C[C@@H](C)[C@](C)(CCC3=CC(=O)OC3)[C@H]1CCC[C@]21CO1,5.078313524516398,1,IC50,PPARG,CHEMBL235
C/C=C(\C)C(=O)OC[C@@]12[C@@H](OC(C)=O)C[C@@H](C)[C@](C)(C[C@H](O)C3=CC(=O)OC3)[C@H]1CCC[C@]21CO1,4.823908740944319,1,IC50,PPARG,CHEMBL235
C/C=C(\C)C(=O)OC[C@@]12[C@H](CCC[C@]1(O)CCl)[C@@](C)(CCC1=CC(=O)OC1)[C@H](C)C[C@@H]2O,4.982966660701219,1,IC50,PPARG,CHEMBL235
C/C=C(\C)C(=O)OC[C@@]12[C@H](CCC[C@]1(O)CCl)[C@@](C)(C[C@H](O)C1=CC(=O)OC1)[C@H](C)C[C@@H]2O,4.939302159646388,1,IC50,PPARG,CHEMBL235
C/C=C(\C)C(=O)OC[C@@]12[C@H](CCC[C@]13CO3)[C@@](C)(CCC1=CC(=O)OC1)[C@H](C)C[C@@H]2O,4.924453038607469,1,IC50,PPARG,CHEMBL235
