canonical_smiles,pAct,n,types,target,tid
C#CC(O)CC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC(O)C#C,3.0,1,Ki,SQLE,CHEMBL3592
C#CC(O)CC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,3.210108201691595,2,"Ki,IC50",SQLE,CHEMBL3592
C/C(=C\CC/C=C(\C)CC/C=C(\C)CCCNC1CC1)CC/C=C(\C)CCCNCCCCCCN,5.619788758288394,1,Ki,SQLE,CHEMBL3592
C=C=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,4.221848749616356,1,IC50,SQLE,CHEMBL3592
CC(C)=CCC/C(=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)CN,4.228711761869735,2,IC50,SQLE,CHEMBL3592
CC(C)=CCC/C(=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)CO,5.3979400086720375,1,Ki,SQLE,CHEMBL3592
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCCC(O)C[N+](=O)[O-],3.568636235841013,1,IC50,SQLE,CHEMBL3592
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCCCO,5.3979400086720375,1,IC50,SQLE,CHEMBL3592
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCCN(C)O,4.886056647693163,1,IC50,SQLE,CHEMBL3592
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCCO,5.3979400086720375,1,IC50,SQLE,CHEMBL3592
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCO,4.3979400086720375,1,IC50,SQLE,CHEMBL3592
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CCCO,4.0,1,IC50,SQLE,CHEMBL3592
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,4.920818753952375,1,IC50,SQLE,CHEMBL3592
CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(NC[Si](C)(C)c2ccccc2C)c1,7.0,1,IC50,SQLE,CHEMBL3592
CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OCCN(C)S(=O)(=O)c2cccs2)c1,7.198970004336019,2,IC50,SQLE,CHEMBL3592
CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccc(C#N)cc2)c1,7.698970004336019,1,IC50,SQLE,CHEMBL3592
CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccc(N=[N+]=[N-])cc2)c1,6.2839966563652006,1,IC50,SQLE,CHEMBL3592
CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccccc2C)c1,7.522878745280337,1,IC50,SQLE,CHEMBL3592
CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OCc2cc(CO)cc(C3(C(F)(F)F)N=N3)c2)c1,3.3010299956639813,1,IC50,SQLE,CHEMBL3592
CCN(CC#Cc1ccc(N=[N+]=[N-])cc1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,6.017728766960431,1,IC50,SQLE,CHEMBL3592
CCN(CC#Cc1cccc(N=[N+]=[N-])c1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,6.568636235841012,1,IC50,SQLE,CHEMBL3592
CCN(CC#Cc1ccccc1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,7.0,1,IC50,SQLE,CHEMBL3592
CCN(Cc1cccc(OCc2cc(-c3cccs3)cs2)c1)c1cc(C2(C(F)(F)F)N=N2)ccc1O,3.3010299956639813,1,IC50,SQLE,CHEMBL3592
CCN(Cc1cccc(OCc2cc(-c3cccs3)cs2)c1)c1cc(O)cc(C2(C(F)(F)F)N=N2)c1,3.3010299956639813,1,IC50,SQLE,CHEMBL3592
CCN(Cc1cccc(OCc2cc(-c3cccs3)cs2)c1)c1ccc(C(=O)c2ccc(CCl)cc2)cc1,3.3010299956639813,1,IC50,SQLE,CHEMBL3592
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,6.372363747448347,2,"Ki,IC50",SQLE,CHEMBL3592
