canonical_smiles,pAct,n,types,target,tid
C#CC(=O)Nc1ccc(CCCCCC)cc1,4.454692883534176,1,IC50,THRb,CHEMBL1947
C#CC(=O)Oc1ccc(CCCCCC)cc1,5.207608310501746,1,IC50,THRb,CHEMBL1947
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCCOC4CC[C@@]5(C)[C@@H](C4)C[C@@H](O)[C@@H]4[C@@H]5C[C@H](O)[C@]5(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]45)cc3)C[C@@]21C,5.721246399047171,1,Ki,THRb,CHEMBL1947
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCOC4CC[C@@]5(C)[C@@H](C4)C[C@@H](O)[C@@H]4[C@@H]5C[C@H](O)[C@]5(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]45)cc3)C[C@@]21C,5.823908740944319,1,Ki,THRb,CHEMBL1947
C#Cc1nn(-c2cc(Cl)c(Oc3cc(C(C)C)c(=O)[nH]n3)c(Cl)c2)c(=O)[nH]c1=O,7.494426319612101,2,EC50,THRb,CHEMBL1947
C/C=C/C(=O)c1ccc(CCCCCCC)cc1,5.119186407719209,1,IC50,THRb,CHEMBL1947
C=C(C)C(=O)c1ccc(CCCCCCC)cc1,4.634512015109101,1,IC50,THRb,CHEMBL1947
C=CC(=O)Nc1ccc(CCCCCC)cc1,4.692503962086787,1,IC50,THRb,CHEMBL1947
C=CC(=O)Oc1ccc(CCC)cc1,4.214670164989233,1,IC50,THRb,CHEMBL1947
C=CC(=O)Oc1ccc(CCCCC)cc1,4.253365801062421,1,IC50,THRb,CHEMBL1947
C=CC(=O)Oc1ccccc1CCCCCC,5.086186147616283,1,IC50,THRb,CHEMBL1947
C=CC(=O)[C@H]1CC[C@H](CC(C)(C)C)CC1,4.1605219526258015,1,IC50,THRb,CHEMBL1947
C=CC(=O)c1ccc(CC(C)(C)C)cc1,4.361510743045363,1,IC50,THRb,CHEMBL1947
C=CC(=O)c1ccc(CCC)cc1,4.0,1,IC50,THRb,CHEMBL1947
C=CC(=O)c1ccc(CCCC)cc1,4.180456064458132,1,IC50,THRb,CHEMBL1947
C=CC(=O)c1ccc(CCCCC)cc1,4.4698003017969175,1,IC50,THRb,CHEMBL1947
C=CC(=O)c1ccc(CCCCCC)cc1,5.277197898363202,2,IC50,THRb,CHEMBL1947
C=CC(=O)c1ccc(CCCCCCC)cc1,4.978810700930062,1,IC50,THRb,CHEMBL1947
C=CC(=O)c1ccc(CCCCCCCC)cc1,4.943095148663527,1,IC50,THRb,CHEMBL1947
C=CC(=O)c1ccc(NC(=O)CCC)cc1,4.066006836168758,1,IC50,THRb,CHEMBL1947
