herb,name,status,note,cid,smiles,formula,mw,logp,hbd,hba,admet_pass,pains,mw_pubchem,fxr_mu_pIC50,fxr_sigma,leverage_h,confidence_weight_w,tier,dG_THRB,dG_ACC,s_FXR,s_THRB,s_ACC,w_conf,CW_BCS,flag_FXR_active,flag_THRB_good,flag_ACC_good,n_targets_covered
Coptis chinensis(黄连),Coptisine,OK,,72322.0,C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6,C19H14NO4+,320.32,2.81,0.0,4.0,True,,320.3,8.439,0.784,0.0395,0.561,in_domain_low_conf(域内低置信),-8.463,-10.4,0.9613364152132803,0.8783394710411784,0.8233318732661704,0.5605381165919282,0.7304,True,True,True,3
Coptis chinensis(黄连),Worenine,OK,UNCERTAIN,20055073.0,CC1=C2C3=CC4=C(C=C3CC[N+]2=CC5=CC6=C(C=C15)OCO6)OCO4,C20H16NO4+,334.35,3.12,0.0,4.0,True,,334.3,8.623,0.748,0.0372,0.572,in_domain_low_conf(域内低置信),-7.509,-10.08,1.0,0.8144626715768332,0.7766097240473062,0.5720823798627003,0.7126,True,True,True,3
Coptis chinensis(黄连),Epiberberine,OK,,160876.0,COC1=C(C=C2C(=C1)CC[N+]3=C2C=C4C=CC5=C(C4=C3)OCO5)OC,C20H18NO4+,336.37,3.1,0.0,4.0,True,,336.4,8.141,0.66,0.0225,0.602,in_domain_high_conf(域内高置信),-6.854,-10.64,0.8987182181130491,0.7706059591563442,0.8583734851803184,0.6024096385542168,0.7101,True,False,True,2
Coptis chinensis(黄连),Groenlandicine,OK,UNCERTAIN,3084708.0,COC1=C(C=C2CC[N+]3=C(C2=C1)C=C4C=CC5=C(C4=C3)OCO5)O,C19H16NO4+,322.34,2.79,1.0,4.0,True,,322.3,7.778,0.657,0.0245,0.603,in_domain_high_conf(域内高置信),-7.808,-10.47,0.8224416894305526,0.8344827586206898,0.8335523434077969,0.6035003017501509,0.7015,True,True,True,3
Coptis chinensis(黄连),8-Oxocoptisine,OK,UNCERTAIN,5245667.0,C1CN2C(=CC3=C(C2=O)C4=C(C=C3)OCO4)C5=CC6=C(C=C51)OCO6,C19H13NO5,335.32,2.68,0.0,5.0,True,,335.3,7.826,0.734,0.0463,0.577,in_domain_low_conf(域内低置信),-5.787,-11.61,0.8325278419836101,0.6991630398393037,1.0,0.5767012687427913,0.695,True,False,True,2
Coptis chinensis(黄连),Stylopine,OK,,440583.0,C1CN2CC3=C(C[C@H]2C4=CC5=C(C=C41)OCO5)C=CC6=C3OCO6,C19H17NO4,323.35,2.8,0.0,5.0,True,,323.3,6.714,0.585,0.0457,0.631,in_domain_high_conf(域内高置信),-8.631,-11.19,0.5988653078377812,0.8895882156009376,0.938677179150241,0.6309148264984227,0.6808,True,True,True,3
Coptis chinensis(黄连),Berberrubine,OK,,72704.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)O,C19H16NO4+,322.34,2.79,1.0,4.0,True,,322.3,7.812,0.649,0.0245,0.606,in_domain_high_conf(域内高置信),-7.016,-9.77,0.8295860474889685,0.7814529628389689,0.7313476419915316,0.6064281382656155,0.66,True,True,True,3
Coptis chinensis(黄连),Berberine,OK,,2353.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,C20H18NO4+,336.37,3.1,0.0,4.0,True,,336.4,8.208,0.639,0.0225,0.61,in_domain_high_conf(域内高置信),-6.398,-9.454,0.9127968060516917,0.7400736524941414,0.6852095196379034,0.6101281269066504,0.6561,True,False,True,2
Sophora flavescens(苦参),Maackiain,OK,,91510.0,C1[C@@H]2[C@H](C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C24)OCO5,C16H12O5,284.27,2.73,1.0,5.0,True,,284.26,7.502,0.737,0.0357,0.576,in_domain_low_conf(域内低置信),-8.862,-9.045,0.7644463122504729,0.905055239370606,0.6254927726675428,0.5757052389176741,0.6292,True,True,True,3
Coptis chinensis(黄连),Jatrorrhizine,OK,,72323.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)O)OC)OC,C20H20NO4+,338.38,3.08,1.0,4.0,True,,338.4,7.58,0.62,0.0112,0.617,in_domain_high_conf(域内高置信),-5.134,-9.299,0.7808363101491911,0.6554402410445265,0.6625784786100161,0.6172839506172839,0.5938,True,False,True,2
