pathway,name,overlap,size,p,padj
hsa04976,hsa04976,34,70,0.000858463433931361,0.27985907946162364
hsa05171,hsa05171,76,198,0.007162398224454529,0.7276672604151496
hsa04978,hsa04978,21,45,0.01396252213621834,0.7276672604151496
hsa04382,hsa04382,38,92,0.014252737985065985,0.7276672604151496
hsa04540,hsa04540,28,65,0.017855099188830034,0.7276672604151496
hsa04022,hsa04022,49,125,0.018058738251903326,0.7276672604151496
hsa04371,hsa04371,41,104,0.026151708423190225,0.7276672604151496
hsa02010,hsa02010,17,37,0.03036118856794388,0.7276672604151496
hsa05222,hsa05222,33,82,0.0318535883242766,0.7276672604151496
hsa03273,hsa03273,8,14,0.03216768159569861,0.7276672604151496
hsa04820,hsa04820,65,177,0.03343317138838358,0.7276672604151496
hsa05218,hsa05218,23,54,0.03456076648602712,0.7276672604151496
hsa00600,hsa00600,20,46,0.03747449065032239,0.7276672604151496
hsa00430,hsa00430,7,12,0.03939079731898643,0.7276672604151496
hsa04924,hsa04924,21,49,0.03946289813090265,0.7276672604151496
hsa04512,hsa04512,28,69,0.04095172705868088,0.7276672604151496
hsa04136,hsa04136,14,30,0.04116931839678657,0.7276672604151496
hsa00561,hsa00561,22,52,0.04127952679990803,0.7276672604151496
hsa04518,hsa04518,51,137,0.04325590390067477,0.7276672604151496
hsa00983,hsa00983,27,67,0.04818800963696309,0.7276672604151496
hsa04140,hsa04140,57,156,0.048547827096553614,0.7276672604151496
hsa05206,hsa05206,51,138,0.049106379537218685,0.7276672604151496
hsa05146,hsa05146,31,80,0.06079862070143487,0.76943290343069
hsa05214,hsa05214,25,63,0.06648627183115773,0.76943290343069
hsa05418,hsa05418,45,123,0.07182977547961618,0.76943290343069
