target,herb,name,affinity,note
THRB_3GWS,Salvia miltiorrhiza(丹参),Tanshinone I,-9.13,
THRB_3GWS,Salvia miltiorrhiza(丹参),Tanshinone IIA,-8.742,
THRB_3GWS,Salvia miltiorrhiza(丹参),Tanshinone IIB,-8.888,
THRB_3GWS,Salvia miltiorrhiza(丹参),Cryptotanshinone,-8.283,
THRB_3GWS,Salvia miltiorrhiza(丹参),Dihydrotanshinone I,-8.155,
THRB_3GWS,Salvia miltiorrhiza(丹参),Neocryptotanshinone,-8.019,
THRB_3GWS,Salvia miltiorrhiza(丹参),Isocryptotanshinone,-8.186,
THRB_3GWS,Salvia miltiorrhiza(丹参),Miltirone,-8.03,
THRB_3GWS,Salvia miltiorrhiza(丹参),Tanshindiol A,-8.004,
THRB_3GWS,Salvia miltiorrhiza(丹参),Tanshindiol B,-7.914,
THRB_3GWS,Salvia miltiorrhiza(丹参),Tanshindiol C,-8.099,
THRB_3GWS,Salvia miltiorrhiza(丹参),Methylenetanshinquinone,-8.687,
THRB_3GWS,Salvia miltiorrhiza(丹参),Salvilenone,-7.669,
THRB_3GWS,Salvia miltiorrhiza(丹参),Danshenxinkun A,-8.346,
THRB_3GWS,Salvia miltiorrhiza(丹参),Danshenxinkun B,-8.171,
THRB_3GWS,Salvia miltiorrhiza(丹参),Sugiol,-8.452,
THRB_3GWS,Salvia miltiorrhiza(丹参),Przewalskin,-8.526,
THRB_3GWS,Salvia miltiorrhiza(丹参),Isotanshinone IIB,-7.866,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Glycyrol,-7.398,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Isoglycyrol,-7.952,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Glabridin,-8.63,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Glabrene,-8.487,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Licochalcone A,-7.576,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Licochalcone B,-8.025,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Echinatin,-8.377,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Liquiritigenin,-9.096,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Isoliquiritigenin,-8.267,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Liquiritin,-8.515,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Neoliquiritin,-8.678,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Formononetin,-8.956,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Licoisoflavone A,-8.631,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Licoisoflavone B,-9.343,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Isolicoflavonol,-8.125,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Semilicoisoflavone B,-9.044,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Glyasperin C,-9.122,
THRB_3GWS,Glycyrrhiza uralensis(甘草),Licoflavanone,-9.642,
THRB_3GWS,Bupleurum chinense(柴胡),Saikogenin A,3.631,
THRB_3GWS,Bupleurum chinense(柴胡),Saikogenin D,4.655,
THRB_3GWS,Bupleurum chinense(柴胡),Saikogenin F,1.135,
THRB_3GWS,Schisandra chinensis(五味子),Schisandrin A,-0.8941,
THRB_3GWS,Schisandra chinensis(五味子),Schisandrin B,-3.426,
THRB_3GWS,Schisandra chinensis(五味子),Schisandrin C,-3.434,
THRB_3GWS,Schisandra chinensis(五味子),Schisandrol A,0.05159,
THRB_3GWS,Schisandra chinensis(五味子),Schisandrol B,-1.291,
THRB_3GWS,Schisandra chinensis(五味子),Gomisin H,-0.4021,
THRB_3GWS,Schisandra chinensis(五味子),Gomisin J,-1.372,
THRB_3GWS,Schisandra chinensis(五味子),Gomisin K1,-2.267,
THRB_3GWS,Schisandra chinensis(五味子),Gomisin K3,-1.031,
THRB_3GWS,Schisandra chinensis(五味子),Gomisin L1,-3.136,
THRB_3GWS,Schisandra chinensis(五味子),Gomisin L2,-1.231,
THRB_3GWS,Schisandra chinensis(五味子),Gomisin M1,-3.068,
THRB_3GWS,Schisandra chinensis(五味子),Gomisin M2,-2.78,
THRB_3GWS,Schisandra chinensis(五味子),Gomisin N,-3.205,
THRB_3GWS,Schisandra chinensis(五味子),Gomisin O,-1.4,
THRB_3GWS,Schisandra chinensis(五味子),Schisanhenol,-1.031,
THRB_3GWS,Schisandra chinensis(五味子),Pregomisin,-9.01,
THRB_3GWS,Schisandra chinensis(五味子),Chamigrenal,-7.237,
THRB_3GWS,Ganoderma lucidum(灵芝),Lucidenic acid A,-5.22,
THRB_3GWS,Ganoderma lucidum(灵芝),Lucidenic acid B,-6.065,
THRB_3GWS,Ganoderma lucidum(灵芝),Lucidenic acid C,-7.313,
THRB_3GWS,Ganoderma lucidum(灵芝),Lucidenic acid F,-6.35,
THRB_3GWS,Ganoderma lucidum(灵芝),Lucidenic acid N,-5.554,
THRB_3GWS,Ganoderma lucidum(灵芝),Lucidenic acid O,-4.764,
THRB_3GWS,Coptis chinensis(黄连),Berberine,-6.398,
THRB_3GWS,Coptis chinensis(黄连),Coptisine,-8.463,
THRB_3GWS,Coptis chinensis(黄连),Palmatine,-5.248,
THRB_3GWS,Coptis chinensis(黄连),Epiberberine,-6.854,
THRB_3GWS,Coptis chinensis(黄连),Jatrorrhizine,-5.134,
THRB_3GWS,Coptis chinensis(黄连),Columbamine,-6.763,
THRB_3GWS,Coptis chinensis(黄连),Magnoflorine,-3.509,
THRB_3GWS,Coptis chinensis(黄连),Berberrubine,-7.016,
THRB_3GWS,Coptis chinensis(黄连),Worenine,-7.509,
THRB_3GWS,Coptis chinensis(黄连),Canadine,-6.922,
THRB_3GWS,Coptis chinensis(黄连),Stylopine,-8.631,
THRB_3GWS,Coptis chinensis(黄连),Groenlandicine,-7.808,
THRB_3GWS,Coptis chinensis(黄连),Menisperine,-0.1471,
THRB_3GWS,Coptis chinensis(黄连),8-Oxocoptisine,-5.787,
THRB_3GWS,Sophora flavescens(苦参),Matrine,-7.91,
THRB_3GWS,Sophora flavescens(苦参),Oxymatrine,-8.073,
THRB_3GWS,Sophora flavescens(苦参),Sophoridine,-7.948,
THRB_3GWS,Sophora flavescens(苦参),Sophocarpine,-8.002,
THRB_3GWS,Sophora flavescens(苦参),Oxysophocarpine,-8.314,
THRB_3GWS,Sophora flavescens(苦参),Sophoramine,-8.326,
THRB_3GWS,Sophora flavescens(苦参),Aloperine,-8.21,
THRB_3GWS,Sophora flavescens(苦参),N-Methylcytisine,-7.453,
THRB_3GWS,Sophora flavescens(苦参),Anagyrine,-8.672,
THRB_3GWS,Sophora flavescens(苦参),Baptifoline,-8.184,
THRB_3GWS,Sophora flavescens(苦参),Kurarinol,-1.053,
THRB_3GWS,Sophora flavescens(苦参),Sophoraflavanone G,-3.514,
THRB_3GWS,Sophora flavescens(苦参),Kushenol C,-1.286,
THRB_3GWS,Sophora flavescens(苦参),Kushenol E,-9.221,
THRB_3GWS,Sophora flavescens(苦参),Kushenol H,-1.005,
THRB_3GWS,Sophora flavescens(苦参),Kushenol I,-1.084,
THRB_3GWS,Sophora flavescens(苦参),Formononetin,-8.956,
THRB_3GWS,Sophora flavescens(苦参),Maackiain,-8.862,
THRB_3GWS,Silybum marianum(水飞蓟),Silybin A,-2.07,
THRB_3GWS,Silybum marianum(水飞蓟),Silybin B,-1.108,
THRB_3GWS,Silybum marianum(水飞蓟),Isosilybin A,-4.891,
THRB_3GWS,Silybum marianum(水飞蓟),Isosilybin B,-4.996,
THRB_3GWS,Silybum marianum(水飞蓟),Silydianin,-2.521,
THRB_3GWS,Silybum marianum(水飞蓟),Silandrin,-7.152,
THRB_3GWS,Silybum marianum(水飞蓟),Silyhermin,-7.721,
THRB_3GWS,Silybum marianum(水飞蓟),Neosilyhermin A,-4.381,
THRB_3GWS,Silybum marianum(水飞蓟),Neosilyhermin B,-8.137,
THRB_3GWS,Silybum marianum(水飞蓟),Silymonin,-2.716,
THRB_3GWS,Silybum marianum(水飞蓟),"2,3-Dehydrosilybin",-1.455,
THRB_3GWS,Artemisia annua(青蒿),Artemisinin,-8.123,
THRB_3GWS,Artemisia annua(青蒿),Arteannuin B,-7.377,
THRB_3GWS,Artemisia annua(青蒿),Artemisinic acid,-8.904,
THRB_3GWS,Artemisia annua(青蒿),Dihydroartemisinic acid,-7.838,
THRB_3GWS,Artemisia annua(青蒿),Deoxyartemisinin,-10.28,
THRB_3GWS,Artemisia annua(青蒿),Dihydroartemisinin,-7.165,
THRB_3GWS,Artemisia annua(青蒿),Artemisitene,-7.794,
THRB_3GWS,Artemisia annua(青蒿),beta-Caryophyllene,-5.95,
THRB_3GWS,Artemisia annua(青蒿),Caryophyllene oxide,-5.9,
THRB_3GWS,Artemisia annua(青蒿),Camphor,-6.202,
THRB_3GWS,Artemisia annua(青蒿),"1,8-Cineole",-5.968,
THRB_3GWS,Artemisia annua(青蒿),Artemisia ketone,-5.788,
THRB_3GWS,Artemisia annua(青蒿),Casticin,-6.004,
THRB_3GWS,Artemisia annua(青蒿),Chrysosplenol D,-5.919,
THRB_3GWS,Artemisia annua(青蒿),Chrysosplenetin,-6.374,
THRB_3GWS,Artemisia annua(青蒿),Artemetin,-6.496,
THRB_3GWS,Artemisia annua(青蒿),Cirsilineol,-8.358,
THRB_3GWS,Artemisia annua(青蒿),Eupatorin,-8.013,
THRB_3GWS,Artemisia annua(青蒿),Cirsimaritin,-7.921,
THRB_3GWS,Artemisia annua(青蒿),Scopoletin,-6.849,
THRB_3GWS,Artemisia annua(青蒿),Scopolin,-6.433,
THRB_3GWS,Artemisia annua(青蒿),4-Methylesculetin,-7.47,
THRB_3GWS,Artemisia annua(青蒿),Umbelliferone,-6.725,
THRB_3GWS,Tripterygium wilfordii(雷公藤),Triptophenolide,-10.04,
THRB_3GWS,Tripterygium wilfordii(雷公藤),Tripterifordin,-7.926,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Tanshinone I,-10.14,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Tanshinone IIA,-9.871,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Tanshinone IIB,-9.925,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Cryptotanshinone,-9.656,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Dihydrotanshinone I,-10.24,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Neocryptotanshinone,-8.546,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Isocryptotanshinone,-10.4,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Miltirone,-9.988,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Tanshindiol A,-9.761,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Tanshindiol B,-9.749,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Tanshindiol C,-9.689,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Methylenetanshinquinone,-9.989,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Salvilenone,-10.04,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Danshenxinkun A,-9.501,
ACC2_5KKN,Salvia miltiorrhiza(丹参),Danshenxinkun B,-9.856,
