herb,name,status,note,cid,smiles,formula,mw,logp,hbd,hba,admet_pass,pains,fxr_mu_pIC50,fxr_sigma,leverage_h,tier,arm
Antrodia cinnamomea(樟芝),antcin A,OK,,10004121.0,C[C@H]1[C@@H]2CCC3=C([C@]2(CCC1=O)C)C(=O)C[C@]4([C@H]3CC[C@@H]4[C@H](C)CCC(=C)C(C)C(=O)O)C,C29H42O4,454.65,6.4,1.0,3.0,False,,4.753,0.44,0.0158,high_conf,"SENSITIVITY(relaxed ADMET: logP<8, MW<600)"
Antrodia cinnamomea(樟芝),antcin B,OK,,387397.0,C[C@H]1C2CC(=O)C3=C(C2(CCC1=O)C)C(=O)CC4(C3CCC4C(C)CCC(=C)C(C)C(=O)O)C,C29H40O5,468.63,5.58,1.0,4.0,False,,4.688,0.401,0.0135,high_conf,"SENSITIVITY(relaxed ADMET: logP<8, MW<600)"
Antrodia cinnamomea(樟芝),eburicoic acid,OK,,73402.0,CC(C)C(=C)CC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O,C31H50O3,470.74,7.79,2.0,2.0,False,,4.707,0.545,0.0262,high_conf,"SENSITIVITY(relaxed ADMET: logP<8, MW<600)"
Antrodia cinnamomea(樟芝),dehydroeburicoic acid,OK,,15250826.0,CC(C)C(=C)CC[C@H]([C@H]1CC[C@@]2([C@@]1(CC=C3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O,C31H48O3,468.72,7.57,2.0,2.0,False,,4.649,0.481,0.0233,high_conf,"SENSITIVITY(relaxed ADMET: logP<8, MW<600)"
Antrodia cinnamomea(樟芝),zhankuic acid A,OK,UNCERTAIN,10004842.0,C[C@H]1[C@@H]2CC(=O)C3=C([C@]2(CCC1=O)C)C(=O)C[C@]4([C@H]3CC[C@@H]4[C@H](C)CCC(=C)C(C)C(=O)O)C,C29H40O5,468.63,5.58,1.0,4.0,False,,4.66,0.41,0.0135,high_conf,"SENSITIVITY(relaxed ADMET: logP<8, MW<600)"
Inonotus obliquus(桦褐孔菌),inotodiol,OK,,44422314.0,C[C@@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)[C@@H](CC=C(C)C)O,C30H50O2,442.73,7.45,2.0,2.0,False,,5.077,0.51,0.0281,high_conf,"SENSITIVITY(relaxed ADMET: logP<8, MW<600)"
Inonotus obliquus(桦褐孔菌),trametenolic acid,OK,,12309443.0,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O)C,C30H48O3,456.71,7.54,2.0,2.0,False,,4.859,0.547,0.0245,high_conf,"SENSITIVITY(relaxed ADMET: logP<8, MW<600)"
Inonotus obliquus(桦褐孔菌),betulinic acid,OK,note:mid-known,64971.0,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O,C30H48O3,456.71,7.09,2.0,2.0,False,,4.981,0.702,0.0322,low_conf,"SENSITIVITY(relaxed ADMET: logP<8, MW<600)"
Inonotus obliquus(桦褐孔菌),betulin,OK,,72326.0,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)CO,C30H50O2,442.73,7.0,2.0,2.0,False,,5.084,0.773,0.0338,low_conf,"SENSITIVITY(relaxed ADMET: logP<8, MW<600)"
Inonotus obliquus(桦褐孔菌),"3beta-hydroxylanosta-8,24-dien-21-al",OK,UNCERTAIN,44581610.0,CC(=CCC[C@@H](C=O)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C,C30H48O2,440.71,7.66,1.0,2.0,False,,4.825,0.563,0.0298,high_conf,"SENSITIVITY(relaxed ADMET: logP<8, MW<600)"
