gene,log2FC,padj
ACAT2,0.49,4.3e-02
ACSS2,1.16,1.0e-03
APOA4,-0.05,9.2e-01
AQP1,0.61,1.4e-01
CGREF1,0.56,8.0e-02
COL1A2,0.5,3.9e-02
DHCR7,1.29,1.3e-03
DKK3,0.35,7.6e-02
DPT,-0.18,6.8e-01
EDAR,0.84,7.0e-02
EFEMP1,-0.22,6.0e-01
ERG28,0.41,5.9e-02
FBLN5,0.13,5.3e-01
FDFT1,0.88,1.8e-03
FDPS,1.4,2.2e-04
FGF21,-0.68,1.5e-01
FRMPD1,0.09,8.7e-01
GPRC5B,0.69,2.9e-02
HMGCR,0.87,1.6e-02
HMGCS1,0.86,4.8e-02
HPS5,0.1,7.6e-01
IDI1,0.46,8.9e-02
ITGBL1,0.65,3.4e-02
LSS,1.52,2.3e-04
LTBP2,0.86,8.0e-02
MERTK,-0.08,6.8e-01
MFAP4,0.08,8.1e-01
MMP2,0.14,7.6e-01
MVD,1.83,1.8e-03
MVK,1.23,3.8e-04
NSDHL,0.81,1.8e-03
PLA1A,-0.51,5.2e-03
PLIN1,0.05,8.8e-01
PLIN2,-0.15,5.9e-01
PMEPA1,0.37,1.0e-01
PODN,0.92,3.5e-02
SLC12A1,0.87,2.5e-01
SLC13A2,-0.09,8.3e-01
SPINT1,1.35,5.3e-03
SQLE,0.9,7.0e-02
SUMO4,0.57,4.1e-01
THY1,0.94,4.1e-02
TMEM97,0.49,1.8e-02
WNT11,-0.24,3.0e-01
ZNF385D,1.03,1.0e-01
