name,organism,n,MTS,profile
Inolitazone,nan,6,43.82,PPARG:8.6;DGAT2:7.6;FDFT1:7.6;LXRa:6.7;THRb:6.7;ACC2:6.6
STL551538,nan,6,41.65,DGAT2:7.7;THRb:7.3;FDFT1:6.7;PPARG:6.7;ACC2:6.6;FXR:6.6
STL552500,nan,6,41.56,DGAT2:7.8;HMGCR:7.0;THRb:6.8;ACC2:6.7;FDFT1:6.6;FXR:6.6
STL551586,nan,6,41.43,DGAT2:7.4;HMGCR:7.1;THRb:7.0;ACC2:6.8;PPARG:6.6;FDFT1:6.5
STL552569,nan,6,41.41,DGAT2:7.7;THRb:7.2;ACC2:6.8;FXR:6.6;FDFT1:6.6;PPARG:6.5
STL551721,nan,6,41.41,DGAT2:7.6;HMGCR:7.0;THRb:6.9;ACC2:6.7;FDFT1:6.6;FXR:6.6
STL551928,nan,6,41.4,DGAT2:7.6;HMGCR:7.0;THRb:6.8;ACC2:6.7;FDFT1:6.6;FXR:6.6
"2-[2-amino-5-(3-methoxyphenoxy)pyrimidin-4-yl]-5-[(3,4-dichlorobenzyl)oxy]phenol",nan,6,41.32,THRb:7.2;DGAT2:7.1;FDFT1:7.0;PPARG:6.9;HMGCR:6.6;LXRa:6.5
STL550403,nan,6,41.24,DGAT2:7.6;FDFT1:6.8;THRb:6.8;ACC2:6.7;FXR:6.6;PPARG:6.6
STL547465,nan,6,41.17,DGAT2:7.7;THRb:7.0;FXR:6.7;ACC2:6.7;FDFT1:6.6;PPARG:6.5
STL552326,nan,6,41.12,DGAT2:7.7;THRb:6.8;ACC2:6.8;FXR:6.7;FDFT1:6.6;PPARG:6.5
STL551365,nan,6,40.92,DGAT2:7.6;THRb:7.0;FDFT1:6.6;ACC2:6.6;FXR:6.6;PPARG:6.5
