canonical_smiles,name,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,n_active,MTS,admet_ok,pains,mw2,obscure,final
CC1=CC(OC2=CC=C3N=C(COC4=CC=C(CC5SC(=O)NC5=O)C=C4)N(C)C3=C2)=CC(C)=C1N,Inolitazone,,Alkaloids,6.61,7.61,5.54,7.57,5.78,5.63,6.73,8.6,5.22,6.7,7.93,8.6,6,43.82,True,False,502.5960000000002,0.0,43.82
COC1=CC(OC)=C2C(=O)[C@@]3(OC2=C1Cl)C(=O)C=C(N[C@@H](CC1=CC=CC=C1)C(N)=O)C[C@H]3C,STL551538,,Polyketides,6.63,7.65,5.54,6.73,6.62,5.97,5.57,6.68,5.18,7.34,7.24,7.65,6,41.65,True,False,484.9360000000002,0.0,41.65
COC1=CC(OC)=C2C(=O)[C@@]3(OC2=C1Cl)C(O)=C(C(CC(=O)NCC1=CC=C(C2=NC=CS2)C=C1)C1=CC=C(SC)C=C1)C(=O)C[C@H]3C,STL552500,,,6.71,7.78,5.57,6.64,6.64,6.96,5.99,5.93,5.22,6.83,7.19,7.78,6,41.56,True,False,705.2540000000001,0.0,41.56
CC(=O)C1=C(O)C(C)=C(O)C2=C1OC1=CC(=O)/C(=C(/C)NC3=CC(C4=NN(C(C)C)N=N4)=CC=C3O)C(=O)[C@@]12C,STL551586,,Polyketides,6.75,7.39,5.52,6.5,6.44,7.12,5.95,6.64,5.29,7.03,7.18,7.39,6,41.43,True,False,545.5520000000001,0.0,41.43
COC1=CC(C(CC(=O)NCC2=CSC(C)=N2)C2=C(O)[C@@]3(OC4=C(Cl)C(OC)=CC(OC)=C4C3=O)[C@H](C)CC2=O)=CC=C1O,STL552569,,,6.75,7.68,5.39,6.58,6.61,5.78,5.7,6.54,5.1,7.25,7.23,7.68,6,41.41,True,False,643.1140000000003,0.0,41.41
COC1=CC(OC)=C2C(=O)[C@@]3(OC2=C1Cl)C(O)=C(C(CC(=O)NCC1=NC(C2=CC=C(N(C)C)C=C2)=NO1)C1=CC=C(SC)C=C1)C(=O)C[C@H]3C,STL551721,,,6.72,7.56,5.75,6.64,6.62,7.01,5.82,5.97,5.27,6.86,7.14,7.56,6,41.41,True,False,733.2430000000002,0.0,41.41
COC1=CC(OC)=C2C(=O)[C@@]3(OC2=C1Cl)C(O)=C(C(CC(=O)NCCC1=NC(C2=CC=C(N(C)C)C=C2)=NO1)C1=CC=C(SC)C=C1)C(=O)C[C@H]3C,STL551928,,,6.72,7.56,5.82,6.64,6.62,7.02,5.81,5.94,5.27,6.84,7.14,7.56,6,41.4,True,False,747.2700000000002,0.0,41.4
COC1=CC=CC(OC2=CN=C(N)N=C2C2=CC=C(OCC3=CC=C(Cl)C(Cl)=C3)C=C2O)=C1,"2-[2-amino-5-(3-methoxyphenoxy)pyrimidin-4-yl]-5-[(3,4-dichlorobenzyl)oxy]phenol",,Alkaloids,6.21,7.11,5.87,7.03,5.92,6.57,6.5,6.89,5.52,7.22,7.12,7.22,6,41.32,True,False,484.33900000000017,0.0,41.32
CNC(=O)[C@H](CC1=CC=CC=C1)NC1=CC(=O)[C@@]2(OC3=C(Cl)C(OC)=CC(OC)=C3C2=O)[C@H](C)C1,STL550403,,Polyketides,6.65,7.64,5.56,6.85,6.64,5.97,5.55,6.62,5.25,6.84,7.11,7.64,6,41.24,True,False,498.96300000000036,0.0,41.24
CC(=O)C1=C(O)C(C)=C(O)C2=C1OC1=CC(=O)/C(=C(/C)NCC3=NC4=CC(Cl)=CC=C4N3C)C(=O)[C@@]12C,STL547465,,Polyketides,6.66,7.72,5.62,6.57,6.69,5.59,5.91,6.5,5.15,7.03,7.15,7.72,6,41.17,True,False,521.9570000000002,0.0,41.17
