identifier,canonical_smiles,name,chemical_super_class,np_classifier_pathway,np_classifier_superclass,np_classifier_class,organisms,dois,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,mw,logp,hbd,hba,obscure,composite
CNP0527973.1,CC(C)C[C@@H]1OC(=O)[C@H](C)/N=C(\O)[C@H](C(C)(C)O)OC(=O)[C@H](C)N(C)C(=O)[C@@H](C)/N=C(\O)[C@@H](CC2=CC=CC=C2)N(C)C1=O,"(3~{S},4~{Z},6~{S},9~{S},12~{R},13~{Z},15~{R},18~{S})-15-benzyl-5,14-dihydroxy-6-(1-hydroxy-1-methyl-ethyl)-18-isobutyl-3,9,10,12,16-pentamethyl-1,7-dioxa-4,10,13,16-tetrazacyclooctadeca-4,13-diene-2,8,11,17-tetrone",Organic acids and derivatives,Amino acids and Peptides,Oligopeptides,Cyclic peptides,Acremonium sp.|Trichothecium species|Unidentifiable sponge-derived fungus,10.1021/np060178k|10.1021/np2004243|10.1021/np200885e,Acremonium sp.|Trichothecium species|Unidentifiable sponge-derived fungus,Amino acids and Peptides,6.91,7.58,5.56,6.3,5.42,5.39,5.61,5.75,5.12,6.85,7.11,7.58,618.7280000000003,2.247200000000003,3,9,3.0,10.31
CNP0479433.1,CC(C)C[C@@H]1OC(=O)[C@H](C)/N=C(\O)[C@H](C(C)C)OC(=O)[C@H](C)N(C)C(=O)[C@@H](C)/N=C(\O)[C@@H](CC2=CC=CC=C2)N(C)C1=O,"(3~{S},4~{Z},6~{S},9~{S},12~{R},13~{Z},15~{R},18~{S})-15-benzyl-5,14-dihydroxy-18-isobutyl-6-isopropyl-3,9,10,12,16-pentamethyl-1,7-dioxa-4,10,13,16-tetrazacyclooctadeca-4,13-diene-2,8,11,17-tetrone",Organic acids and derivatives,Amino acids and Peptides,Oligopeptides,Cyclic peptides,Acremonium sp.|Unidentifiable sponge-derived fungus,10.1021/np060178k|10.1021/np200885e,Acremonium sp.|Unidentifiable sponge-derived fungus,Amino acids and Peptides,6.75,7.58,5.66,6.06,5.44,5.22,5.61,5.53,5.13,6.84,7.06,7.58,602.7290000000003,3.1323000000000043,2,8,3.0,10.24
CNP0508574.1,C/C=C/C1=CC=C/C(=C2\C(=O)CN=C2O)O1,,,Polyketides,Chromanes,Azaphilones,unidentified marine-derived fungus cri247-01,,unidentified marine-derived fungus cri247-01,Polyketides,6.45,7.74,4.34,6.03,5.31,5.44,5.78,5.25,5.07,6.96,7.05,7.74,217.22399999999996,1.8260999999999998,1,3,3.0,10.22
CNP0073012.4,COC1=CC2=C(C(=O)C3=C(O)C=C(C[C@H](C)O)C=C3[C@H]2[C@H]2C3=CC(C[C@@H](C)O)=CC(O)=C3C(=O)C3=C2C=C(OC)C(Cl)=C3O)C(O)=C1Cl,Allianthrone A,Benzenoids,Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones,Aspergillus alliaceus|two fungal morphs of the marine algal-derived Aspergillus alliaceus,10.1021/ACS.JNATPROD.8B00024|10.1021/acs.jnatprod.8b00024,Aspergillus alliaceus|two fungal morphs of the marine algal-derived Aspergillus alliaceus,Polyketides,6.46,7.6,4.36,6.39,5.26,5.85,6.09,5.46,5.14,6.77,6.94,7.6,695.5480000000002,5.732400000000008,6,10,3.0,10.06
CNP0232461.1,COC1=CC2=C3C(=C1)C(=O)N=C([C@@H]1CCCN1)N3C1=CC=CC=C1C(=O)O2,Aspergicin,Organoheterocyclic compounds,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Aspergillus|Aspergillus sp.|Two marine-derived mangrove epiphytic Aspergillus sp. Fungi|two Aspergillus sp. strains,10.1007/S10600-011-0053-8|10.1007/s10600-011-0053-8|10.1016/j.biotechadv.2020.107521,Aspergillus|Aspergillus sp.|Two marine-derived mangrove epiphytic Aspergillus sp. Fungi|two Aspergillus sp. strains,Shikimates and Phenylpropanoids,6.38,7.34,5.71,6.34,5.66,5.35,5.0,5.63,4.86,6.77,6.83,7.34,363.37300000000005,2.3514,1,6,3.0,9.9
CNP0357664.1,CC1=C([C@@H](C)[C@@H](C)OC=O)C(=O)C2=C(C1=O)[C@H]1O[C@@H](C)[C@H](C)C3=C(C)C(O)=CC(=C31)O2,,Organoheterocyclic compounds,Polyketides,Chromanes,Azaphilones,Marine fungi|Penicillium,10.1007/S12272-017-0890-5|10.1007/s12272-017-0890-5,Marine fungi|Penicillium,Polyketides,6.5,7.5,4.3,6.45,5.29,6.27,5.67,5.35,5.41,6.32,6.82,7.5,426.4650000000002,3.5763200000000026,1,7,3.0,9.89
CNP0249183.1,CC(C)[C@@H]1OC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC2=CC=CC=C2)NC1=O,Alternaramide,Organic acids and derivatives,Amino acids and Peptides,Oligopeptides,Cyclic peptides,Alternaria|Alternaria sp.|Alternaria sp. SF-5016|Marine fungi,10.1016/J.CBI.2015.11.024|10.1016/j.cbi.2015.11.024|10.1021/NP900464P|10.1021/np900464p|10.1039/c005001f,Alternaria|Alternaria sp.|Alternaria sp. SF-5016|Marine fungi,Amino acids and Peptides,6.52,7.5,5.62,5.99,5.38,5.04,5.01,5.45,4.96,5.83,6.67,7.5,588.7050000000003,2.0048000000000017,2,6,3.0,9.67
CNP0183895.1,C/C=C/C(=O)C1=C(C)OC(=O)C=C1OC,,,Polyketides,Cyclic polyketides,2-pyrone derivatives,Alternaria|Aristolochia indica|Berchemia zeyheri|Bignonia venusta|Crambe chelastra|Marine fungi|Penicillium paxilli|Penicillium paxilli PSU-A71|Penicillium waksmanii|Pyrenochaeta terrestris|Sargassum ringoldianum|Setophoma terrestris,10.1016/S0031-9422(00)84136-9|10.1080/00021369.1979.10863831|10.1104/PP.79.1.308|10.1155/2014/767061|10.1248/CPB.55.1383|10.1271/BBB1961.43.2409|10.1271/BBB1961.45.1675|10.1515/ZNC-1986-11-1213|10.7164/ANTIBIOTICS.51.432,Alternaria|Aristolochia indica|Berchemia zeyheri|Bignonia venusta|Crambe chelastra|Marine fungi|Penicillium paxilli|Penicillium paxilli PSU-A71|Penicillium waksmanii|Pyrenochaeta terrestris|Sargassum ringoldianum|Setophoma terrestris,Polyketides,6.37,7.55,4.4,5.87,5.32,6.07,5.85,5.26,5.01,5.64,6.66,7.55,208.21299999999997,1.7156200000000001,0,4,3.0,9.66
CNP0611049.0,CCCCCCCCC=CC(=O)CCC1=CC=C(O)C(OC)=C1,,,Polyketides,Aromatic polyketides,Catechols with side chains,Rosmarinus officinalis,10.3390/IJMS151120585,Rosmarinus officinalis,Polyketides,5.96,7.34,5.2,5.92,5.19,6.23,6.0,5.19,5.53,8.63,7.4,8.63,318.45700000000005,5.209300000000006,1,3,2.0,9.62
CNP0137278.1,C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C=C/C=C/C(C)CC(C)CC)CC[C@@H]2C(=O)O,07H239-A,Lipids and lipid-like molecules,Terpenoids,Sesquiterpenoids,,Unknown-fungus sp. LL-07H239.|Xylariaceous fungus LL-07H239|unidentified species of Family Xylariaceae,10.1021/np049924g|10.1039/b502792f,Unknown-fungus sp. LL-07H239.|Xylariaceous fungus LL-07H239|unidentified species of Family Xylariaceae,Terpenoids,6.77,7.46,4.39,7.93,5.54,5.23,5.67,5.9,5.16,5.48,7.39,7.93,456.5790000000003,4.854300000000005,1,5,2.0,9.61
