combo,z_union
Berberine+Resmetirom,-1.061
ButyrolactoneVI+Alternaramide,-0.897
AntrocinnamominF+Alternaramide,-0.575
Alternaramide+Berberine,-0.575
ButyrolactoneVI+Berberine,-0.359
Alternaramide+VersicolamideB,-0.218
Alternaramide+Resmetirom,-0.11
ButyrolactoneVI+Resmetirom,-0.109
AntrocinnamominF+Berberine,-0.028
AntrocinnamominF+Resmetirom,0.173
VersicolamideB+Berberine,0.479
AsiaticAcid+Berberine,0.647
AntrocinnamominF+ButyrolactoneVI,0.694
ButyrolactoneVI+AsiaticAcid,0.731
VersicolamideB+Resmetirom,1.001
AntrocinnamominF+AsiaticAcid,1.067
Alternaramide+AsiaticAcid,1.27
VersicolamideB+AsiaticAcid,1.391
ButyrolactoneVI+VersicolamideB,1.613
AntrocinnamominF+VersicolamideB,1.949
AsiaticAcid+Resmetirom,3.453
