a	b	score
CBX5	MECP2	0.849
CBX5	CHD4	0.881
FKBP3	CALML3	0.726
FKBP3	MTOR	0.951
PLOD3	COL1A1	0.71
PLOD3	PLOD2	0.948
ACTA2	COL1A2	0.814
ACTA2	COL3A1	0.882
ACTA2	COL1A1	0.928
COL1A1	PLOD2	0.826
COL1A1	COL3A1	0.999
COL1A1	COL1A2	0.999
CCND1	HSP90AB1	0.711
CCND1	MAP2K1	0.751
CCND1	MTOR	0.802
CCND1	ACTB	0.811
CCND1	CASP3	0.847
CCND1	HIF1A	0.876
CCND1	FBXO4	0.956
CCND1	BCL2	0.958
ARPC3	ACTB	0.968
EIF1B	EIF3A	0.946
AFTPH	AP2A1	0.907
ACSS2	PCK1	0.883
ACSS2	ACAT2	0.959
ACSS2	ACACB	0.96
MED10	MED6	0.999
ERG28	FDFT1	0.984
DDB2	CUL4B	0.998
NAT10	PES1	0.897
NAT10	IMP3	0.982
ECPAS	ADRM1	0.907
DNAJC13	ATP13A2	0.734
WBP11	DHX9	0.819
DHX8	IMP3	0.707
DHX8	MAGOH	0.93
PI4K2B	EEA1	0.75
PI4K2B	PI4K2A	0.908
MGLL	ABHD4	0.747
AFG3L2	OMA1	0.817
PHIP	CUL4B	0.898
PLOD2	COL3A1	0.713
PLOD2	COL1A2	0.817
MAN2B2	MAN2B1	0.923
GNAQ	GNAS	0.717
GNAQ	AGTR1	0.997
PPARG	HSP90AB1	0.712
PPARG	FAM120B	0.811
PPARG	MAP2K1	0.813
PPARG	HIF1A	0.854
PPARG	NR1H3	0.865
PPARG	MECP2	0.883
PPARG	PCK1	0.907
PPARG	MTOR	0.964
PPARG	ACTB	0.971
BAX	CASP3	0.884
BAX	BBC3	0.951
BAX	BCL2	0.999
COL1A2	COL3A1	0.999
MAP2K1	BCL2	0.749
MAP2K1	HSP90AB1	0.761
HSPA4	CALML3	0.72
HSPA4	ACTB	0.72
HSPA4	MTOR	0.748
HSPA4	PINK1	0.847
HSPA4	BCL2	0.899
HSPA4	DNAJC5	0.903
HSPA4	CASP3	0.906
HSPA4	IKBKG	0.924
HSPA4	HIF1A	0.938
HSPA4	HSP90AB1	0.999
CTNNA1	ACTB	0.957
ATP5ME	NDUFC1	0.738
ATP5ME	NDUFB6	0.798
ATP5ME	COX4I1	0.857
ARL6IP1	IMP3	0.826
CASP3	MTOR	0.723
CASP3	BBC3	0.752
CASP3	HIF1A	0.766
CASP3	COX4I1	0.796
CASP3	HSP90AB1	0.858
CASP3	HIP1	0.905
CASP3	BCL2	0.987
CASP3	ACTB	0.989
CALML3	MTOR	0.707
CALML3	HSP90AB1	0.995
PCK1	NR1H3	0.8
HMGCS1	DHCR24	0.877
HMGCS1	FDFT1	0.988
HMGCS1	FDPS	0.997
HMGCS1	ACAT2	0.998
IMP3	EIF5AL1	0.869
IMP3	PES1	0.946
ATP13A2	PINK1	0.924
MT1E	MT1G	0.795
HIP1	AP2A1	0.897
ACACB	PRKAA1	0.943
ACACB	ACAT2	0.949
PRKAA1	MTOR	0.972
MYH7	MYH2	0.977
FDPS	DHCR24	0.795
FDPS	ACAT2	0.829
FDPS	FDFT1	0.995
PELI1	MYD88	0.748
DNAJC5	HSP90AB1	0.751
MTOR	ACTB	0.752
MTOR	BCL2	0.765
MTOR	HIF1A	0.789
MTOR	ATG13	0.917
MTOR	HSP90AB1	0.998
ACAT2	FDFT1	0.822
DHX9	HNRNPDL	0.776
DHX9	MYD88	0.952
GNAS	AGTR1	0.734
DHCR24	FDFT1	0.831
MAGOH	POLDIP3	0.894
HSP90AB1	BCL2	0.775
HSP90AB1	PINK1	0.889
HSP90AB1	ACTB	0.911
HSP90AB1	IKBKG	0.928
HSP90AB1	HIF1A	0.998
EDN2	AGTR1	0.704
PBX3	AGPAT1	0.81
BMPR2	CTDNEP1	0.853
BMI1	BCL2	0.723
BMI1	ANAPC10	0.901
PIGO	PIGP	0.777
NDUFB6	COX4I1	0.963
NDUFB6	NDUFC1	0.998
BCL2	IKBKG	0.805
BCL2	ACTB	0.885
BCL2	HIF1A	0.946
BCL2	BBC3	0.999
HIF1A	ACTB	0.787
NDUFC1	COX4I1	0.886
COX4I1	ACTB	0.763
KXD1	ADRM1	0.846
IKBKG	MYD88	0.999
SIRT1	SQSTM1	0.707
SIRT1	USP22	0.933
SIRT1	RELA	0.995
TGFB1	TLR4	0.721
TGFB1	SMAD4	0.959
VPS4B	VPS4A	0.988
SEC61A1	RPS20	0.974
RFXAP	RFX5	0.999
PPP1R1A	PPP2CA	0.944
TANK	TLR4	0.745
TANK	SQSTM1	0.922
RAB21	SBF1	0.72
SNRPF	ZNF473	0.745
SNRPF	WDR25	0.866
SNRPF	PRMT5	0.931
SOD1	SQSTM1	0.91
PRKDC	TTI1	0.79
PRMT5	RELA	0.707
TOP3A	TOP3B	0.919
SPAG5	TK1	0.727
RNF123	USP19	0.994
SMAD4	WWTR1	0.875
UPF2	PYM1	0.951
UPF2	SMG7	0.971
UPF2	SMG5	0.979
SMG5	PPP2CA	0.789
SMG5	SMG7	0.999
TLR4	RELA	0.966
SEPTIN8	SQSTM1	0.9
SQSTM1	UBE2D2	0.769
SQSTM1	RELA	0.912
UTP14A	TRMT112	0.907
UTP14A	UTP14C	0.961
RELA	PPP2CA	0.949
PPP2CA	PPP4R3A	0.749
PPP2CA	SMG7	0.789
PPP2CA	WWTR1	0.903
