canonical_smiles,name,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,tcm,n_active,MTS
CC(=O)O[C@@H]1[C@@H](O)[C@H]([C@@H](O)CO)O[C@H]1C1=C(O)C=C(O)C2=C1OC(C1=CC=C(O)C=C1)=CC2=O,,Crataegus pinnatifida,Shikimates and Phenylpropanoids,6.61,7.74,5.1,7.65,5.46,7.36,5.9,5.49,5.16,6.53,7.58,7.74,山楂,5,35.89
O=C1C(O[C@@H]2O[C@H]([C@H](O)CO)[C@H](O)[C@H]2O)=C(C2=CC=C(O)C(O)=C2)OC2=CC(O)=CC(O)=C12,21637-25-2,Acmella ciliata|Aria edulis|Astragalus bornmuellerianus|Astragalus captiosus|Camellia japonica|Camellia sinensis|Caragana spinosa|Chamerion dodonaei|Chenopodium botrys|Dysphania botrys|Epilobium dodonaei|Epilobium prantlii|Euphorbia marschalliana|Euphorbia smirnovii|Globularia bisnagarica|Hedysarum coronarium|Hypericum brasiliense|Hypericum elegans|Hypericum perforatum|Lagerstroemia speciosa|Lonicera japonica|Marrubium velutinum|Matteuccia struthiopteris|Nelumbo nucifera|Phaseolus vulgaris|Phoenix loureiroi var. loureiroi|Phyllanthus virgatus|Reynoutria sachalinensis|Salix caprea|Salix denticulata|Sorbus aria|Sulla coronaria|Theobroma cacao|Trifolium repens|Tripodanthus acutifolius|Viburnum tinus|Vicia sativa|Volutaria lippii|Warburgia ugandensis,Shikimates and Phenylpropanoids,6.64,7.8,5.07,6.25,5.42,7.33,6.64,5.24,5.17,7.0,7.38,7.8,地耳草/田基黄,5,35.41
O=C1C=C(C2=CC=C(O)C(O)=C2)OC2=CC(O[C@@H]3O[C@H]([C@H](O)CO)[C@H](O)[C@H]3O)=CC(O)=C12,,Sonchus arvensis,Shikimates and Phenylpropanoids,6.63,7.78,4.84,6.26,5.38,7.3,6.65,5.5,5.16,7.04,7.37,7.78,苣荬菜,5,35.4
O=C1C(O[C@@H]2O[C@H]([C@@H](O)CO)[C@H](O)[C@H]2O)=C(C2=CC=C(O)C(O)=C2)OC2=CC(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=CC(O)=C12,,Senecio glaucus|Senecio subdentatus|Tephroseris subdentata,Shikimates and Phenylpropanoids,6.66,7.78,5.1,6.26,5.38,7.31,6.64,5.54,5.18,7.0,7.36,7.78,千里光,5,35.39
COC1=C(C2=CC=C(O)C(O)=C2)OC2=C3C=CC(C)(C)OC3=CC(O)=C2C1=O,"2-(3,4-dihydroxyphenyl)-5-hydroxy-3-methoxy-8,8-dimethyl-4h,8h-benzo[1,2-b:3,4-b']dipyran-4-one",Hypericum japonicum,Shikimates and Phenylpropanoids,6.73,7.59,5.18,6.23,6.61,7.31,5.83,5.6,5.09,7.09,7.33,7.59,地耳草/田基黄,5,35.33
C[C@@H]1O[C@H](OC[C@@H](O)[C@@H]2O[C@@H](OC3=C(C4=CC=C(O)C(O)=C4)OC4=CC(O)=CC(O)=C4C3=O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@H]1O,,Astragalus melilotoides|Astragalus onobrychis|Lespedeza hedysaroides|Lespedeza juncea|Robinia pseudoacacia,Shikimates and Phenylpropanoids,6.63,7.75,5.07,6.12,5.65,7.34,6.54,5.45,5.16,7.03,7.37,7.75,黄芪,5,35.29
CC[C@H]1C=C[C@@H]([C@@H](O)C=C(C)C)OC(=O)/C(C)=C\C/C(O)=N\C2=CC(O)=CC3=C2O[C@@]2(CC1)CC(=O)[C@@H](C)C3O2,"(1~{S},4~{R},7~{S},10~{Z},13~{E},21~{S})-4-ethyl-13,17-dihydroxy-7-[(1~{S})-1-hydroxy-3-methyl-but-2-enyl]-10,21-dimethyl-8,24,26-trioxa-14-azatetracyclo[13.8.2.1^{1,20}.0^{19,25}]hexacosa-5,10,13,15,17,19(25)-hexaene-9,22-dione",Aegiceras corniculatum|Agaricus integer|Agaricus silvaticus|Ajuga bracteosa|Allium monspessulanum|Arbutus menziesii|Artemisia taurica|Bruguiera gymnorhiza|Buchenavia tetraphylla|Ceramium botryocarpum|Cereus chrysacanthus|Chromodoris obsoleta|Cinnamosma madagascariensis|Coeloseira pacifica|Daldinia concentrica|Echiochilon pauciflorum|Fumaria kraliki|Helichrysum nudifolium|Hyella caespitosa|Hypoxis nyasica|Isoberlinia angolensis|Justicia trinervia|Lepista irina|Macaranga sinensis|Mirabilis jalapa|Otostegia fruticosa|Paranephelius uniflorus|Pardachirus pavoninus|Periploca forrestii|Petalostemon purpureum|Plakinastrella clathrata|Podocarpus amarus|Potebniamyces gallicola|Pseudomonas chlororaphis|Ptilota pectinata|Rhododendron aureum|Saccharothrix mutabilis|Sipunculus nudus|Sonneratia alba|Sophora viciifolia|Stichopus horrens|Streptomyces atratus|Streptomyces caelestis|Tephroseris integrifolia|Teucrium orientale|Trichoderma citrinum|Ulva prolifera|Umbilicaria cinereorufescens|Veltheimia viridifolia|Xylopia aethiopica,Amino acids and Peptides,7.04,7.63,4.56,6.07,7.02,5.18,5.58,6.75,5.05,6.81,7.23,7.63,茵陈/青蒿,5,35.25
CC1(C)C=CC2=C(C=C(O)C3=C2OC(C2=CC=C(O)C(O)=C2)=CC3=O)O1,ARTOCHAMIN C,Agabus bipustulatus|Artocarpus chama|Artocarpus chaplasha|Cereus validus|Conyza incana|Helinus ovatus|Oenothera laciniata|Primula glaucescens|Senecio oxyodon|Solanum sarrachoides,Shikimates and Phenylpropanoids,6.77,7.59,4.87,6.16,6.6,7.03,5.81,5.6,5.1,7.22,7.28,7.59,千里光,5,35.21
CC[C@H]1/C=C/[C@H](O)[C@H](C=C(C)C)OC(=O)[C@@]2(C)C=CC(O)=NC3=C2C(C)=C2C(=C(O)C(C)=CC2=C3C)C(=O)CC1,"(9~{R},10~{E},12~{S},13~{S},16~{S})-9-ethyl-4,12,19-trihydroxy-3,16,23,25-tetramethyl-13-(2-methylprop-1-enyl)-14-oxa-20-azatetracyclo[19.3.1.0^{5,24}.0^{16,22}]pentacosa-1(25),2,4,10,17,19,21,23-octaene-6,15-dione",Aegiceras corniculatum|Agaricus integer|Agaricus silvaticus|Ajuga bracteosa|Allium monspessulanum|Arbutus menziesii|Artemisia taurica|Bruguiera gymnorhiza|Buchenavia tetraphylla|Ceramium botryocarpum|Cereus chrysacanthus|Chromodoris obsoleta|Cinnamosma madagascariensis|Coeloseira pacifica|Daldinia concentrica|Echiochilon pauciflorum|Fumaria kraliki|Helichrysum nudifolium|Hyella caespitosa|Hypoxis nyasica|Isoberlinia angolensis|Justicia trinervia|Lepista irina|Macaranga sinensis|Mirabilis jalapa|Otostegia fruticosa|Paranephelius uniflorus|Pardachirus pavoninus|Periploca forrestii|Petalostemon purpureum|Plakinastrella clathrata|Podocarpus amarus|Potebniamyces gallicola|Pseudomonas chlororaphis|Ptilota pectinata|Rhododendron aureum|Saccharothrix mutabilis|Sipunculus nudus|Sonneratia alba|Sophora viciifolia|Stichopus horrens|Streptomyces atratus|Streptomyces caelestis|Tephroseris integrifolia|Teucrium orientale|Trichoderma citrinum|Ulva prolifera|Umbilicaria cinereorufescens|Veltheimia viridifolia|Xylopia aethiopica,Polyketides,6.53,7.93,4.43,5.73,7.0,5.24,5.79,6.63,5.06,7.0,7.31,7.93,茵陈/青蒿,5,35.09
CC(O)CC1=C(O)C(=O)C2=C3OC(C4=CC=C(O)C(O)=C4)=CC(=O)C3=C(O)C=C2O1,Anthraxin,Hedyotis acutangula,Shikimates and Phenylpropanoids,6.51,7.59,4.88,6.51,5.25,7.11,5.85,5.67,5.25,7.24,7.31,7.59,白花蛇舌草,5,34.96
