tcm,name,organism,n_active,MTS,top3_mean,pathway
山楂,,Crataegus pinnatifida,5,35.89,7.58,Shikimates and Phenylpropanoids
地耳草/田基黄,21637-25-2,Acmella ciliata|Aria edulis|Astragalus bornmuellerianus|Astragalus captiosus|Camellia japonica|Camellia sinensis|Caragana spinosa|Chamerion dodonaei|Chenopodium botrys|Dysphania botrys|Epilobium dodonaei|Epilobium prantlii|Euphorbia marschalliana|Euphorbia smirnovii|Globularia bisnagarica|Hedysarum coronarium|Hypericum brasiliense|Hypericum elegans|Hypericum perforatum|Lagerstroemia speciosa|Lonicera japonica|Marrubium velutinum|Matteuccia struthiopteris|Nelumbo nucifera|Phaseolus vulgaris|Phoenix loureiroi var. loureiroi|Phyllanthus virgatus|Reynoutria sachalinensis|Salix caprea|Salix denticulata|Sorbus aria|Sulla coronaria|Theobroma cacao|Trifolium repens|Tripodanthus acutifolius|Viburnum tinus|Vicia sativa|Volutaria lippii|Warburgia ugandensis,5,35.41,7.38,Shikimates and Phenylpropanoids
苣荬菜,,Sonchus arvensis,5,35.4,7.37,Shikimates and Phenylpropanoids
千里光,,Senecio glaucus|Senecio subdentatus|Tephroseris subdentata,5,35.39,7.36,Shikimates and Phenylpropanoids
地耳草/田基黄,"2-(3,4-dihydroxyphenyl)-5-hydroxy-3-methoxy-8,8-dimethyl-4h,8h-benzo[1,2-b:3,4-b']dipyran-4-one",Hypericum japonicum,5,35.33,7.33,Shikimates and Phenylpropanoids
黄芪,,Astragalus melilotoides|Astragalus onobrychis|Lespedeza hedysaroides|Lespedeza juncea|Robinia pseudoacacia,5,35.29,7.37,Shikimates and Phenylpropanoids
茵陈/青蒿,"(1~{S},4~{R},7~{S},10~{Z},13~{E},21~{S})-4-ethyl-13,17-dihydroxy-7-[(1~{S})-1-hydroxy-3-methyl-but-2-enyl]-10,21-dimethyl-8,24,26-trioxa-14-azatetracyclo[13.8.2.1^{1,20}.0^{19,25}]hexacosa-5,10,13,15,17,19(25)-hexaene-9,22-dione",Aegiceras corniculatum|Agaricus integer|Agaricus silvaticus|Ajuga bracteosa|Allium monspessulanum|Arbutus menziesii|Artemisia taurica|Bruguiera gymnorhiza|Buchenavia tetraphylla|Ceramium botryocarpum|Cereus chrysacanthus|Chromodoris obsoleta|Cinnamosma madagascariensis|Coeloseira pacifica|Daldinia concentrica|Echiochilon pauciflorum|Fumaria kraliki|Helichrysum nudifolium|Hyella caespitosa|Hypoxis nyasica|Isoberlinia angolensis|Justicia trinervia|Lepista irina|Macaranga sinensis|Mirabilis jalapa|Otostegia fruticosa|Paranephelius uniflorus|Pardachirus pavoninus|Periploca forrestii|Petalostemon purpureum|Plakinastrella clathrata|Podocarpus amarus|Potebniamyces gallicola|Pseudomonas chlororaphis|Ptilota pectinata|Rhododendron aureum|Saccharothrix mutabilis|Sipunculus nudus|Sonneratia alba|Sophora viciifolia|Stichopus horrens|Streptomyces atratus|Streptomyces caelestis|Tephroseris integrifolia|Teucrium orientale|Trichoderma citrinum|Ulva prolifera|Umbilicaria cinereorufescens|Veltheimia viridifolia|Xylopia aethiopica,5,35.25,7.23,Amino acids and Peptides
千里光,ARTOCHAMIN C,Agabus bipustulatus|Artocarpus chama|Artocarpus chaplasha|Cereus validus|Conyza incana|Helinus ovatus|Oenothera laciniata|Primula glaucescens|Senecio oxyodon|Solanum sarrachoides,5,35.21,7.28,Shikimates and Phenylpropanoids
茵陈/青蒿,"(9~{R},10~{E},12~{S},13~{S},16~{S})-9-ethyl-4,12,19-trihydroxy-3,16,23,25-tetramethyl-13-(2-methylprop-1-enyl)-14-oxa-20-azatetracyclo[19.3.1.0^{5,24}.0^{16,22}]pentacosa-1(25),2,4,10,17,19,21,23-octaene-6,15-dione",Aegiceras corniculatum|Agaricus integer|Agaricus silvaticus|Ajuga bracteosa|Allium monspessulanum|Arbutus menziesii|Artemisia taurica|Bruguiera gymnorhiza|Buchenavia tetraphylla|Ceramium botryocarpum|Cereus chrysacanthus|Chromodoris obsoleta|Cinnamosma madagascariensis|Coeloseira pacifica|Daldinia concentrica|Echiochilon pauciflorum|Fumaria kraliki|Helichrysum nudifolium|Hyella caespitosa|Hypoxis nyasica|Isoberlinia angolensis|Justicia trinervia|Lepista irina|Macaranga sinensis|Mirabilis jalapa|Otostegia fruticosa|Paranephelius uniflorus|Pardachirus pavoninus|Periploca forrestii|Petalostemon purpureum|Plakinastrella clathrata|Podocarpus amarus|Potebniamyces gallicola|Pseudomonas chlororaphis|Ptilota pectinata|Rhododendron aureum|Saccharothrix mutabilis|Sipunculus nudus|Sonneratia alba|Sophora viciifolia|Stichopus horrens|Streptomyces atratus|Streptomyces caelestis|Tephroseris integrifolia|Teucrium orientale|Trichoderma citrinum|Ulva prolifera|Umbilicaria cinereorufescens|Veltheimia viridifolia|Xylopia aethiopica,5,35.09,7.31,Polyketides
白花蛇舌草,Anthraxin,Hedyotis acutangula,5,34.96,7.31,Shikimates and Phenylpropanoids
地耳草/田基黄,5041-73-6,Aconitum brevicalcaratum|Ammodendron conollyi|Carduus nutans|Cirsium dipsacolepis|Cocculus diversifolius|Crinum kirkii|Croton rhamnifolius|Cytisus scoparius|Eria subsessilis|Fucus spiralis|Hypericum triquetrifolium|Isodon japonicus|Knightia deplanchei|Malva sylvestris|Mesembryanthemum anatomicum|Myrica multiflora|Nerium oleander|Ophiarthrum elegans|Parerythropodium fulvum|Plantago lanceolata|Ptilidium ciliare|Rhynchosporium orthosporum|Scutellaria seleriana|Solanum racemigerum|Streptomyces eurythermus|Teucrium pestalozzae|Trifolium apertum|Tripodanthus acutifolius|Veronica pectinata|Verpa digitaliformis|Viguiera annua,5,34.73,7.21,Shikimates and Phenylpropanoids
