rank,pool,id,MTS,dG_FXR,dG_ACC,Act,Dock,Evidence,Evidence_note,Novelty,Obtain,FINAL,rank_basis
1,ALL,樟芝 Antrocinnamomin F,34.4,-8.01,-8.93,0.764,0.847,1.0,"樟芝物种级临床证据(28例菌丝体全粉,SteatoTest血清学终点,PMID32657670)+双异源计算交叉印证",0.8,1.0,0.859,
2,TCM,白花蛇舌草 | Anthraxin,34.96,-9.342,-9.865,0.777,0.96,0.5,中药传统肝效用+计算,0.8,1.0,0.792,
3,TCM,甘草 | Derrone,34.71,-10.17,-8.717,0.771,0.944,0.5,中药传统肝效用+计算,0.8,1.0,0.786,
4,ALL,土曲霉 Aspernolide D族丁内酯,35.6,-8.63,-8.97,0.791,0.88,0.3,纯计算,0.8,1.0,0.737,
5,TCM,茵陈 | 螺甾烷苷元(MTS35.3),35.25,-5.835,-7.141,0.783,0.649,0.5,中药传统肝效用+计算,0.8,1.0,0.716,
6,ALL,海洋 Alternaramide,20.0,-6.51,-8.25,0.444,0.738,0.5,TLR4/NF-kB文献(身份待复核),0.8,1.0,0.62,
7,ALL,内生曲霉 Aspergicin,20.0,-8.09,-9.42,0.444,0.876,0.3,纯计算(结构争议),0.8,1.0,0.614,
8,ALL,内生真菌 07H239-A,22.2,-8.06,-9.0,0.493,0.853,0.3,纯计算(细胞毒家族史),0.8,0.0,0.526,
9,ALL,海绵 Alisiaquinol,22.2,-7.1,-9.85,0.493,0.847,0.3,纯计算(醌隐患),0.8,0.0,0.524,
10,TCM,积雪草 | asiatic acid(苷元),0.0,,,0.0,,0.7,TGFb/Smad+HSC直接文献(PMID35963324),0.8,1.0,0.32,"无计算分,以直接文献(PMID35963324)入列"
