  Salvia miltiorrhiza(丹参) | Tanshinone I | CID 114917 | MW 276 | ADMET True | PAINS:['imine_one_A(321)', 'quinone_D(2)']
  Salvia miltiorrhiza(丹参) | Tanshinone IIA | CID 164676 | MW 294 | ADMET True | PAINS:['imine_one_A(321)', 'quinone_D(2)']
  Salvia miltiorrhiza(丹参) | Tanshinone IIB | CID 318797 | MW 310 | ADMET True | PAINS:['imine_one_A(321)', 'quinone_D(2)']
  Salvia miltiorrhiza(丹参) | Cryptotanshinone | CID 160254 | MW 296 | ADMET True | PAINS:['imine_one_A(321)', 'quinone_D(2)']
  Salvia miltiorrhiza(丹参) | Dihydrotanshinone I | CID 11425923 | MW 278 | ADMET True | PAINS:['imine_one_A(321)', 'quinone_D(2)']
  Salvia miltiorrhiza(丹参) | Neocryptotanshinone | CID 389888 | MW 314 | ADMET True | PAINS:['imine_one_A(321)', 'quinone_D(2)']
  Salvia miltiorrhiza(丹参) | Isocryptotanshinone | CID 626608 | MW 296 | ADMET True | PAINS:['quinone_A(370)']
  Salvia miltiorrhiza(丹参) | Miltirone | CID 160142 | MW 282 | ADMET True | PAINS:['imine_one_A(321)', 'quinone_D(2)']
  Salvia miltiorrhiza(丹参) | Tanshindiol A | CID 16730071 | MW 312 | ADMET True | PAINS:['imine_one_A(321)', 'quinone_D(2)']
  Salvia miltiorrhiza(丹参) | Tanshindiol B | CID 5321620 | MW 312 | ADMET True | PAINS:['imine_one_A(321)', 'quinone_D(2)']
  Salvia miltiorrhiza(丹参) | Tanshindiol C | CID 126072 | MW 312 | ADMET True | PAINS:['imine_one_A(321)', 'quinone_D(2)']
  Salvia miltiorrhiza(丹参) | Methylenetanshinquinone | CID 105118 | MW 278 | ADMET True | PAINS:['imine_one_A(321)', 'quinone_D(2)']
  Salvia miltiorrhiza(丹参) | Salvilenone | CID 389885 | MW 292 | ADMET True
  Salvia miltiorrhiza(丹参) | Danshenxinkun A | CID 149138 | MW 296 | ADMET True | PAINS:['imine_one_A(321)', 'quinone_D(2)']
  Salvia miltiorrhiza(丹参) | Danshenxinkun B | CID 5320113 | MW 280 | ADMET True | PAINS:['imine_one_A(321)', 'quinone_D(2)']
  Salvia miltiorrhiza(丹参) | Ferruginol | CID 442027 | MW 286 | ADMET False
  Salvia miltiorrhiza(丹参) | Sugiol | CID 94162 | MW 300 | ADMET True
  Salvia miltiorrhiza(丹参) | Przewalskin | CID 14139389 | MW 272 | ADMET True
  Salvia miltiorrhiza(丹参) | Isotanshinone IIB | CID 184102 | MW 310 | ADMET True | PAINS:['quinone_A(370)']
  Salvia miltiorrhiza(丹参) | beta-Sitosterol | CID 222284 | MW 415 | ADMET False
  Salvia miltiorrhiza(丹参) | Stigmasterol | CID 5280794 | MW 413 | ADMET False
  Salvia miltiorrhiza(丹参) | Daucosterol | CID 5742590 | MW 577 | ADMET False
  Glycyrrhiza uralensis(甘草) | Glycyrrhizic acid | CID 14982 | MW 823 | ADMET False
  Glycyrrhiza uralensis(甘草) | enoxolone | CID 10114 | MW 471 | ADMET False
  Glycyrrhiza uralensis(甘草) | 18alpha-Glycyrrhetinic acid | CID 73398 | MW 471 | ADMET False
  Glycyrrhiza uralensis(甘草) | Liquiritic acid | CID 112111 | MW 471 | ADMET False
  Glycyrrhiza uralensis(甘草) | Glycyrrhetol | CID 12310283 | MW 457 | ADMET False
  Glycyrrhiza uralensis(甘草) | Glycyrol | CID 5320083 | MW 366 | ADMET True
  Glycyrrhiza uralensis(甘草) | Isoglycyrol | CID 124050 | MW 366 | ADMET True
  Glycyrrhiza uralensis(甘草) | Glabridin | CID 124052 | MW 324 | ADMET True
  Glycyrrhiza uralensis(甘草) | Glabrol | CID 11596309 | MW 392 | ADMET False
  Glycyrrhiza uralensis(甘草) | Glabrene | CID 480774 | MW 322 | ADMET True
  Glycyrrhiza uralensis(甘草) | Licochalcone A | CID 5318998 | MW 338 | ADMET True
  Glycyrrhiza uralensis(甘草) | Licochalcone B | CID 5318999 | MW 286 | ADMET True | PAINS:['catechol_A(92)']
  Glycyrrhiza uralensis(甘草) | Echinatin | CID 6442675 | MW 270 | ADMET True
  Glycyrrhiza uralensis(甘草) | Liquiritigenin | CID 114829 | MW 256 | ADMET True
  Glycyrrhiza uralensis(甘草) | Isoliquiritigenin | CID 638278 | MW 256 | ADMET True
  Glycyrrhiza uralensis(甘草) | Liquiritin | CID 503737 | MW 418 | ADMET True
  Glycyrrhiza uralensis(甘草) | Isoliquiritin | CID 5318591 | MW 418 | ADMET False
  Glycyrrhiza uralensis(甘草) | Neoliquiritin | CID 51666248 | MW 418 | ADMET True
  Glycyrrhiza uralensis(甘草) | Formononetin | CID 5280378 | MW 268 | ADMET True
  Glycyrrhiza uralensis(甘草) | Licoisoflavone A | CID 5281789 | MW 354 | ADMET True
  Glycyrrhiza uralensis(甘草) | Licoisoflavone B | CID 5481234 | MW 352 | ADMET True
  Glycyrrhiza uralensis(甘草) | Isolicoflavonol | CID 5318585 | MW 354 | ADMET True
  Glycyrrhiza uralensis(甘草) | Semilicoisoflavone B | CID 5481948 | MW 352 | ADMET True
  Glycyrrhiza uralensis(甘草) | Licoricidin | CID 480865 | MW 425 | ADMET False
  Glycyrrhiza uralensis(甘草) | Glyasperin C | CID 480859 | MW 356 | ADMET True
  Glycyrrhiza uralensis(甘草) | Licoflavanone | CID 14218027 | MW 340 | ADMET True
  Glycyrrhiza uralensis(甘草) | beta-Sitosterol | CID 222284 | MW 415 | ADMET False
  Glycyrrhiza uralensis(甘草) | Stigmasterol | CID 5280794 | MW 413 | ADMET False
  Bupleurum chinense(柴胡) | Saikosaponin A | CID 167928 | MW 781 | ADMET False
  Bupleurum chinense(柴胡) | Saikosaponin D | CID 107793 | MW 781 | ADMET False
  Bupleurum chinense(柴胡) | Saikosaponin B1 | CID 9875547 | MW 781 | ADMET False
  Bupleurum chinense(柴胡) | Saikosaponin B2 | CID 21637642 | MW 781 | ADMET False
  Bupleurum chinense(柴胡) | Saikosaponin B3 | CID 21637635 | MW 813 | ADMET False
  Bupleurum chinense(柴胡) | Saikosaponin B4 | CID 21637636 | MW 813 | ADMET False
  Bupleurum chinense(柴胡) | Saikosaponin C | CID 167927 | MW 927 | ADMET False
  Bupleurum chinense(柴胡) | Saikosaponin E | CID 21637632 | MW 765 | ADMET False
  Bupleurum chinense(柴胡) | Saikosaponin F | CID 21598300 | MW 929 | ADMET False
  Bupleurum chinense(柴胡) | Saikosaponin H | CID 21636280 | MW 927 | ADMET False
  [miss NOT_IN_PUBCHEM] Bupleurum chinense(柴胡) | 3-O-Acetylsaikosaponin A
  [miss NOT_IN_PUBCHEM] Bupleurum chinense(柴胡) | 3-O-Acetylsaikosaponin D
  Bupleurum chinense(柴胡) | Saikogenin A | CID 99651 | MW 473 | ADMET True
  Bupleurum chinense(柴胡) | Saikogenin B | CID 12315169 | MW 457 | ADMET False
  Bupleurum chinense(柴胡) | Saikogenin C | CID 12315171 | MW 457 | ADMET False
  Bupleurum chinense(柴胡) | Saikogenin D | CID 9890994 | MW 473 | ADMET True
  Bupleurum chinense(柴胡) | Saikogenin E | CID 21594254 | MW 457 | ADMET False
  Bupleurum chinense(柴胡) | Saikogenin F | CID 21594261 | MW 473 | ADMET True
  [miss NOT_IN_PUBCHEM] Bupleurum chinense(柴胡) | Saikogenin G
  Bupleurum chinense(柴胡) | Spinasterol | CID 5281331 | MW 413 | ADMET False
  Bupleurum chinense(柴胡) | Stigmasterol | CID 5280794 | MW 413 | ADMET False
  Bupleurum chinense(柴胡) | beta-Sitosterol | CID 222284 | MW 415 | ADMET False
  Bupleurum chinense(柴胡) | Daucosterol | CID 5742590 | MW 577 | ADMET False
  Schisandra chinensis(五味子) | Schisandrin A | CID 155256 | MW 417 | ADMET True
