std_smiles,pIC50,n_rep
C#Cc1cc(C(=O)Nc2cnn(Cc3cccc(F)c3)c2)no1,5.2839966563652006,1
C=C(C)c1cc(C(=O)N2CCC3(CCc4c(F)cccc4O3)CC2)no1,5.42021640338319,1
C=C(C)c1cc(C(=O)Nc2cnn(Cc3cccc(F)c3)c2)no1,6.040958607678906,1
C=C(C)c1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)on1,5.154901959985743,1
C=C(C)c1cc(C(=O)Nc2cnn(Cc3cnccc3C(F)(F)F)c2)no1,5.4089353929735005,1
C=Cc1cc(C(=O)Nc2cnn(Cc3cccc(F)c3)c2)no1,5.721246399047171,1
CC(=O)c1cc(C(=O)Nc2cnn(Cc3cccc(F)c3)c2)no1,5.022276394711152,1
CC(C)(C)OC(=O)N1CCC2(CCN(C(=O)c3cc(-c4ccccc4)on3)C2)C1,4.532243948755967,1
CC(C)(C)OC(=O)N1CCN(C(=O)c2cc(-c3ccc4c(c3)OCO4)on2)CC1,4.688882157337495,1
CC(C)(C)OC(=O)N1CCN(c2cc(C(=O)Nc3cnn(Cc4ccccc4)c3)no2)CC1,7.2839966563652006,1
CC(C)(C)c1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)no1,5.568636235841012,1
CC(C)c1cc(C(=O)N2CC(Cc3ccccc3)C2)no1,4.795880017344075,1
CC(C)c1cc(C(=O)N2CCC(c3cccc(F)c3)C2)no1,4.6777807052660805,1
CC(C)c1cc(C(=O)Nc2cnn(Cc3cccc(F)c3)c2)no1,6.113509274827518,1
CC(C)c1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)no1,6.318758762624412,1
CC(C)c1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)on1,5.7447274948966935,1
CC(C)c1cc(C(=O)Nc2cnn(Cc3cnccc3C(F)(F)F)c2)no1,5.853871964321762,1
CC1(c2cc(C(=O)Nc3cnn(Cc4ccccc4)c3)no2)COC1,4.721246399047171,1
CC1(c2ccccc2)CCN(C(=O)c2cc(-c3ccc4c(c3)OCO4)on2)CC1,5.531652669587842,1
CC1CN(c2ccccc2)CCN1C(=O)c1cc(-c2ccc3c(c2)OCO3)on1,5.3979400086720375,1
CCc1cc(C(=O)Nc2cnn(Cc3cccc(F)c3)c2)no1,6.0,1
CN(C)c1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)no1,5.6020599913279625,1
CN(Cc1cccc(F)c1)C(=O)c1cc(-c2ccccc2)on1,4.80493100353141,1
CNC(=O)c1cc(C(=O)N2CCC(c3ccccc3)C2)no1,5.277366077466188,1
CNC(=O)c1ccc(-c2cc(C(=O)N3CC(c4ccccc4)C3)no2)cc1,5.229884705212898,1
