,tissue,disease status
GSM1539877,liver,steatosis
GSM1539878,liver,steatosis
GSM1539879,liver,non-alcoholic steatohepatitis
GSM1539880,liver,non-alcoholic steatohepatitis
GSM1539881,liver,non-alcoholic steatohepatitis
GSM1539882,liver,non-alcoholic steatohepatitis
GSM1539883,liver,non-alcoholic steatohepatitis
GSM1539884,liver,non-alcoholic steatohepatitis
GSM1539885,liver,non-alcoholic steatohepatitis
GSM1539886,liver,non-alcoholic steatohepatitis
GSM1539887,liver,non-alcoholic steatohepatitis
GSM1539888,liver,healthy
GSM1539889,liver,healthy
GSM1539890,liver,healthy
GSM1539891,liver,healthy
GSM1539892,liver,healthy
GSM1539893,liver,healthy
GSM1539894,liver,healthy
